[VANDYKE | AR | NT | Matthew | Chapter 13 | Verse 1] فِي ذَلِكَ ٱلْيَوْمِ خَرَجَ يَسُوعُ مِنَ ٱلْبَيْتِ وَجَلَسَ عِنْدَ ٱلْبَحْرِ،
[VANDYKE | AR | NT | Matthew | Chapter 13 | Verse 2] فَٱجْتَمَعَ إِلَيْهِ جُمُوعٌ كَثِيرَةٌ، حَتَّى إِنَّهُ دَخَلَ ٱلسَّفِينَةَ وَجَلَسَ. وَٱلْجَمْعُ كُلُّهُ وَقَفَ عَلَى ٱلشَّاطِئِ.
[VANDYKE | AR | NT | Matthew | Chapter 13 | Verse 3] فَكَلَّمَهُمْ كَثِيرًا بِأَمْثَالٍ قَائِلًا: «هُوَذَا ٱلزَّارِعُ قَدْ خَرَجَ لِيَزْرَعَ،
[VANDYKE | AR | NT | Matthew | Chapter 13 | Verse 4] وَفِيمَا هُوَ يَزْرَعُ سَقَطَ بَعْضٌ عَلَى ٱلطَّرِيقِ، فَجَاءَتِ ٱلطُّيُورُ وَأَكَلَتْهُ.
[VANDYKE | AR | NT | Matthew | Chapter 13 | Verse 5] وَسَقَطَ آخَرُ عَلَى ٱلْأَمَاكِنِ ٱلْمُحْجِرَةِ، حَيْثُ لَمْ تَكُنْ لَهُ تُرْبَةٌ كَثِيرَةٌ، فَنَبَتَ حَالًا إِذْ لَمْ يَكُنْ لَهُ عُمْقُ أَرْضٍ.
[VANDYKE | AR | NT | Matthew | Chapter 13 | Verse 6] وَلَكِنْ لَمَّا أَشْرَقَتِ ٱلشَّمْسُ ٱحْتَرَقَ، وَإِذْ لَمْ يَكُنْ لَهُ أَصْلٌ جَفَّ.
[VANDYKE | AR | NT | Matthew | Chapter 13 | Verse 7] وَسَقَطَ آخَرُ عَلَى ٱلشَّوْكِ، فَطَلَعَ ٱلشَّوْكُ وَخَنَقَهُ.
[VANDYKE | AR | NT | Matthew | Chapter 13 | Verse 8] وَسَقَطَ آخَرُ عَلَى ٱلْأَرْضِ ٱلْجَيِّدَةِ فَأَعْطَى ثَمَرًا، بَعْضٌ مِئَةً وَآخَرُ سِتِّينَ وَآخَرُ ثَلَاثِينَ.
[VANDYKE | AR | NT | Matthew | Chapter 13 | Verse 9] مَنْ لَهُ أُذُنَانِ لِلسَّمْعِ، فَلْيَسْمَعْ».
[VANDYKE | AR | NT | Matthew | Chapter 13 | Verse 10] فَتَقَدَّمَ ٱلتَّلَامِيذُ وَقَالُوا لَهُ: «لِمَاذَا تُكَلِّمُهُمْ بِأَمْثَالٍ؟».
[VANDYKE | AR | NT | Matthew | Chapter 13 | Verse 11] فَأَجَابَ وَقَالَ لَهُمْ: «لِأَنَّهُ قَدْ أُعْطِيَ لَكُمْ أَنْ تَعْرِفُوا أَسْرَارَ مَلَكُوتِ ٱلسَّمَاوَاتِ، وَأَمَّا لِأُولَئِكَ فَلَمْ يُعْطَ.
