[VANDYKE | AR | NT | Matthew | Chapter 11 | Verse 1] وَلَمَّا أَكْمَلَ يَسُوعُ أَمْرَهُ لِتَلَامِيذِهِ ٱلِٱثْنَيْ عَشَرَ، ٱنْصَرَفَ مِنْ هُنَاكَ لِيُعَلِّمَ وَيَكْرِزَ فِي مُدُنِهِمْ. يسوع ويوحنا المعمدان
[VANDYKE | AR | NT | Matthew | Chapter 11 | Verse 2] أَمَّا يُوحَنَّا فَلَمَّا سَمِعَ فِي ٱلسِّجْنِ بِأَعْمَالِ ٱلْمَسِيحِ، أَرْسَلَ ٱثْنَيْنِ مِنْ تَلَامِيذِهِ،
[VANDYKE | AR | NT | Matthew | Chapter 11 | Verse 3] وَقَالَ لَهُ: «أَنْتَ هُوَ ٱلْآتِي أَمْ نَنْتَظِرُ آخَرَ؟».
[VANDYKE | AR | NT | Matthew | Chapter 11 | Verse 4] فَأَجَابَ يَسُوعُ وَقَالَ لَهُمَا: «ٱذْهَبَا وَأَخْبِرَا يُوحَنَّا بِمَا تَسْمَعَانِ وَتَنْظُرَانِ:
[VANDYKE | AR | NT | Matthew | Chapter 11 | Verse 5] اَلْعُمْيُ يُبْصِرُونَ، وَٱلْعُرْجُ يَمْشُونَ، وَٱلْبُرْصُ يُطَهَّرُونَ، وَٱلصُّمُّ يَسْمَعُونَ، وَٱلْمَوْتَى يَقُومُونَ، وَٱلْمَسَاكِينُ يُبَشَّرُونَ.
[VANDYKE | AR | NT | Matthew | Chapter 11 | Verse 6] وَطُوبَى لِمَنْ لَا يَعْثُرُ فِيَّ».
[VANDYKE | AR | NT | Matthew | Chapter 11 | Verse 7] وَبَيْنَمَا ذَهَبَ هَذَانِ ٱبْتَدَأَ يَسُوعُ يَقُولُ لِلْجُمُوعِ عَنْ يُوحَنَّا: «مَاذَا خَرَجْتُمْ إِلَى ٱلْبَرِّيَّةِ لِتَنْظُرُوا؟ أَقَصَبَةً تُحَرِّكُهَا ٱلرِّيحُ؟
[VANDYKE | AR | NT | Matthew | Chapter 11 | Verse 8] لَكِنْ مَاذَا خَرَجْتُمْ لِتَنْظُرُوا؟ أَإِنْسَانًا لَابِسًا ثِيَابًا نَاعِمَةً؟ هُوَذَا ٱلَّذِينَ يَلْبَسُونَ ٱلثِّيَابَ ٱلنَّاعِمَةَ هُمْ فِي بُيُوتِ ٱلْمُلُوكِ.
[VANDYKE | AR | NT | Matthew | Chapter 11 | Verse 9] لَكِنْ مَاذَا خَرَجْتُمْ لِتَنْظُرُوا؟ أَنَبِيًّا؟ نَعَمْ، أَقُولُ لَكُمْ، وَأَفْضَلَ مِنْ نَبِيٍّ.
[VANDYKE | AR | NT | Matthew | Chapter 11 | Verse 10] فَإِنَّ هَذَا هُوَ ٱلَّذِي كُتِبَ عَنْهُ: هَا أَنَا أُرْسِلُ أَمَامَ وَجْهِكَ مَلَاكِي ٱلَّذِي يُهَيِّئُ طَرِيقَكَ قُدَّامَكَ.
[VANDYKE | AR | NT | Matthew | Chapter 11 | Verse 11] اَلْحَقَّ أَقُولُ لَكُمْ: لَمْ يَقُمْ بَيْنَ ٱلْمَوْلُودِينَ مِنَ ٱلنِّسَاءِ أَعْظَمُ مِنْ يُوحَنَّا ٱلْمَعْمَدَانِ، وَلَكِنَّ ٱلْأَصْغَرَ فِي مَلَكُوتِ ٱلسَّمَاوَاتِ أَعْظَمُ مِنْهُ.
[VANDYKE | AR | NT | Matthew | Chapter 11 | Verse 12] وَمِنْ أَيَّامِ يُوحَنَّا ٱلْمَعْمَدَانِ إِلَى ٱلْآنَ مَلَكُوتُ ٱلسَّمَاوَاتِ يُغْصَبُ، وَٱلْغَاصِبُونَ يَخْتَطِفُونَهُ.
[VANDYKE | AR | NT | Matthew | Chapter 11 | Verse 13] لِأَنَّ جَمِيعَ ٱلْأَنْبِيَاءِ وَٱلنَّامُوسَ إِلَى يُوحَنَّا تَنَبَّأُوا.
[VANDYKE | AR | NT | Matthew | Chapter 11 | Verse 14] وَإِنْ أَرَدْتُمْ أَنْ تَقْبَلُوا، فَهَذَا هُوَ إِيلِيَّا ٱلْمُزْمِعُ أَنْ يَأْتِيَ.
[VANDYKE | AR | NT | Matthew | Chapter 11 | Verse 15] مَنْ لَهُ أُذُنَانِ لِلسَّمْعِ فَلْيَسْمَعْ.
[VANDYKE | AR | NT | Matthew | Chapter 11 | Verse 16] «وَبِمَنْ أُشَبِّهُ هَذَا ٱلْجِيلَ؟ يُشْبِهُ أَوْلَادًا جَالِسِينَ فِي ٱلْأَسْوَاقِ يُنَادُونَ إِلَى أَصْحَابِهِمْ
[VANDYKE | AR | NT | Matthew | Chapter 11 | Verse 17] وَيَقُولُونَ: زَمَّرْنَا لَكُمْ فَلَمْ تَرْقُصُوا! نُحْنَا لَكُمْ فَلَمْ تَلْطِمُوا!
[VANDYKE | AR | NT | Matthew | Chapter 11 | Verse 18] لِأَنَّهُ جَاءَ يُوحَنَّا لَا يَأْكُلُ وَلَا يَشْرَبُ، فَيَقُولُونَ: فِيهِ شَيْطَانٌ.
[VANDYKE | AR | NT | Matthew | Chapter 11 | Verse 19] جَاءَ ٱبْنُ ٱلْإِنْسَانِ يَأْكُلُ وَيَشْرَبُ، فَيَقُولُونَ: هُوَذَا إِنْسَانٌ أَكُولٌ وَشِرِّيبُ خَمْرٍ، مُحِبٌّ لِلْعَشَّارِينَ وَٱلْخُطَاةِ. وَٱلْحِكْمَةُ تَبَرَّرَتْ مِنْ بَنِيهَا». ويل للمدن التي لم تَتُب
[VANDYKE | AR | NT | Matthew | Chapter 11 | Verse 20] حِينَئِذٍ ٱبْتَدَأَ يُوَبِّخُ ٱلْمُدُنَ ٱلَّتِي صُنِعَتْ فِيهَا أَكْثَرُ قُوَّاتِهِ لِأَنَّهَا لَمْ تَتُبْ:
