[IRV | GU | OT | Exodus | Chapter 33 | Verse 1] યહોવાહે મૂસાને કહ્યું, “તું અહીંથી જા અને જે લોકોને તું મિસર દેશમાંથી બહાર લઈ આવ્યો છે, તેઓને લઈને જે દેશ વિષે મેં ઇબ્રાહિમ, ઇસહાક તથા યાકૂબને સમ ખાઈને કહ્યું, ‘તારા સંતાનને હું તે આપીશ,’ તે દેશમાં જા.
[IRV | GU | OT | Exodus | Chapter 33 | Verse 2] હું તારી આગળ મારા એક દૂતને મોકલીશ અને કનાનીઓ, અમોરીઓ, હિત્તીઓ, પરિઝીઓ, હિવ્વીઓ તથા યબૂસીઓને હાંકી કાઢીશ.
[IRV | GU | OT | Exodus | Chapter 33 | Verse 3] એટલે દૂધ તથા મધથી રેલછેલવાળો દેશમાં જા. તું તો હઠીલી પ્રજા છે, માટે હું તારી મધ્યે ચાલીશ નહિ, રખેને હું રસ્તામાં તારો સંહાર કરું.”
[IRV | GU | OT | Exodus | Chapter 33 | Verse 4] જ્યારે લોકોએ આ કઠોર શબ્દો સાંભળ્યા ત્યારે તેઓએ શોક કર્યો અને કોઈએ પોતાના શરીર ઉપર દાગીના પહેર્યાં નહિ.
[IRV | GU | OT | Exodus | Chapter 33 | Verse 5] યહોવાહે મૂસાને કહ્યું, “ઇઝરાયલી લોકોને કહે કે, ‘તમે લોકો હઠીલા છો. જો હું તમારી સાથે એ પળવાર પણ આવું તો તમારો સંહાર કરી નાખું. એટલે તમે તમારાં ઘરેણાં ઉતારી નાખો કે, મારે તને શું કરવું તે હું જાણું.’
[IRV | GU | OT | Exodus | Chapter 33 | Verse 6] તેથી હોરેબ પર્વતથી માંડીને ઇઝરાયલી લોકોએ પોતાનાં ઘરેણાં ઉતારી મૂક્યાં.
[IRV | GU | OT | Exodus | Chapter 33 | Verse 7] મૂસા મંડપ લઈને છાવણી બહાર દૂર તે માંડવો ઊભો કરતો હતો અને તેણે તેનું નામ મુલાકાતમંડપ પાડ્યું. યહોવાહને શોધનાર પ્રત્યેક માણસ નીકળીને છાવણી બહારના મુલાકાતમંડપમાં જતો.
[IRV | GU | OT | Exodus | Chapter 33 | Verse 8] મૂસા જ્યારે જ્યારે મૂલાકાતમંડપમાં જતો ત્યારે ત્યારે બધા લોકો ઊઠીને પોતપોતાના તંબુના દરવાજા આગળ ઊભા રહીને, મૂસા મૂલાકાતમંડપમાં દાખલ થાય ત્યાં સુધી તેને જોઈ રહેતા.
[IRV | GU | OT | Exodus | Chapter 33 | Verse 9] મૂસા જ્યારે મંડપમાં પ્રવેશ કરતો ત્યારે વાદળનો સ્તંભ નીચે ઊતરી માંડવાના દરવાજા આગળ ઊભો રહેતો અને યહોવાહ મૂસા સાથે વાત કરતા.
[IRV | GU | OT | Exodus | Chapter 33 | Verse 10] વાદળના સ્તંભને દરવાજા આગળ જોતાં જ દરેક માણસ પોતપોતાના માંડવાના દરવાજા આગળ ભજન કરતા.
[IRV | GU | OT | Exodus | Chapter 33 | Verse 11] યહોવાહ મૂસા સાથે એક માણસ બીજા માણસ સાથે વાત કરે એ રીતે મુખોપમુખ વાત કરતા. ત્યાર પછી મૂસા પાછો છાવણીમાં આવતો, પણ તેનો નવયુવાન સેવક નૂનનો દીકરો યહોશુઆ કદી મંડપમાંથી બહાર નીકળતો નહિ.
[IRV | GU | OT | Exodus | Chapter 33 | Verse 12] મૂસાએ યહોવાહને કહ્યું, “તમે મને કહો છો, ‘આ લોકોને દોરી લઈ જાઓ,’ પણ મારી સાથે તમે કોને મોકલશો તે તમે મને જણાવ્યું નથી. પણ તમે કહ્યું, ‘હું તને નામથી ઓળખું છું અને મારી દ્રષ્ટિમાં તું કૃપા પામ્યો છે.’
[IRV | GU | OT | Exodus | Chapter 33 | Verse 13] હવે જો તમારી દ્રષ્ટિમાં હું કૃપા પામ્યો હોઉં, તો કૃપા કરીને મને તમારા માર્ગ જણાવજો કે, હું તમને ઓળખું, એ માટે તે તમારા લોકો છે એ તમે લક્ષમાં લો.”
[IRV | GU | OT | Exodus | Chapter 33 | Verse 14] યહોવાહે જવાબ આપ્યો, “મારી સમક્ષતા તારી સાથે આવશે અને હું તને વિસામો આપીશ.”
[IRV | GU | OT | Exodus | Chapter 33 | Verse 15] મૂસાએ તેને કહ્યું હતું, “જો તમારી સમક્ષતા મારી સાથે ન આવે તો અહીંથી આમને લઈ ન જાઓ.
[IRV | GU | OT | Exodus | Chapter 33 | Verse 16] કેમ કે હવે કેમ જણાય કે હું તથા તમારા લોકો તમારી દ્રષ્ટિમાં કૃપા પામ્યા છીએ? શું એથી નહિ કે તમે અમારી સાથે આવો છો, એથી હું તથા તમારા લોકો પૃથ્વી ઉપરના સર્વ લોકોથી જુદા છીએ?”
[IRV | GU | OT | Exodus | Chapter 33 | Verse 17] યહોવાહે મૂસાને કહ્યું, “હા, તેં જે માંગ્યું છે તે હું ચોક્કસ આપીશ, કારણ કે તું મારી દ્રષ્ટિમાં કૃપા પામ્યો છે અને હું તને નામથી ઓળખું છું.”
[IRV | GU | OT | Exodus | Chapter 33 | Verse 18] મૂસાએ કહ્યું, “કૃપા કરીને તમારું ગૌરવ મને દેખાડો.”
[IRV | GU | OT | Exodus | Chapter 33 | Verse 19] યહોવાહે કહ્યું, “હું મારી સંપૂર્ણ ભલાઈ તારા મુખ આગળથી પસાર કરીશ અને તારી સમક્ષ મારું નામ ‘યહોવાહ’ તરીકે જાહેર કરીશ. હું જેના પર કૃપા કરવા ચાહું તેના પર હું કૃપા કરીશ અને જેના પર રહેમ કરવા ચાહું તેના પર રહેમ કરીશ.”
[IRV | GU | OT | Exodus | Chapter 33 | Verse 20] પણ યહોવાહે કહ્યું, “તું મારું મુખ જોઈ શકીશ નહિ, કારણ કે, કોઈ પણ માણસ મને જોઈને જીવતો રહી શકે નહિ.”
[IRV | GU | OT | Exodus | Chapter 33 | Verse 21] યહોવાહે કહ્યું, “જો મારી પાસે એક જગ્યા છે અને તું ખડક પર ઊભો રહે.
[IRV | GU | OT | Exodus | Chapter 33 | Verse 22] મારું ગૌરવ તારી નજર આગળથી પસાર થાય ત્યારે હું તને આ ખડકની ફાટમાં રાખીશ અને હું પોતે પસાર થઈ જાઉં ત્યાં સુધી મારા હાથ વડે તને હું ઢાંકી દઈશ.
[IRV | GU | OT | Exodus | Chapter 33 | Verse 23] પછી હું મારો હાથ લઈ લઈશ અને તું મારી પીઠ જોવા પામીશ, પણ મારું મુખ તને દેખાશે નહિ.”
