[IRV | GU | OT | Exodus | Chapter 40 | Verse 1] પછી યહોવાહે મૂસાને કહ્યું,
[IRV | GU | OT | Exodus | Chapter 40 | Verse 2] “પ્રથમ માસના પ્રથમ દિવસે તું મુલાકાતમંડપ ઊભો કરજે.
[IRV | GU | OT | Exodus | Chapter 40 | Verse 3] તેની અંદર દશ આજ્ઞાઓ મૂકેલી છે, તે કરારકોશ મંડપમાં મૂકજે; અને કરારકોશને પડદાથી ઢાંકી દેજે.
[IRV | GU | OT | Exodus | Chapter 40 | Verse 4] મેજને અંદર લાવીને તેના પર પાત્રો ગોઠવજે અને દીવી લાવીને તેના પર દીવાઓ સળગાવજે.
[IRV | GU | OT | Exodus | Chapter 40 | Verse 5] તું સોનાની ધૂપવેદી કરારકોશની સામે મૂકજે અને મંડપના દ્વારને પડદો લગાડજે.
[IRV | GU | OT | Exodus | Chapter 40 | Verse 6] તું દહનીયાર્પણની વેદીને મુલાકાતમંડપના માંડવાના દરવાજાની સામે મૂક.
[IRV | GU | OT | Exodus | Chapter 40 | Verse 7] તું હોજને મુલાકાતમંડપની તથા વેદીની વચ્ચે મૂકજે અને તેમાં પાણી ભરજે.
[IRV | GU | OT | Exodus | Chapter 40 | Verse 8] તું મુલાકાતમંડપના બહારના ભાગમાં ચારે બાજુ આંગણું તૈયાર કરીને આંગણાના પ્રવેશદ્વારે પડદો લટકાવજે.
[IRV | GU | OT | Exodus | Chapter 40 | Verse 9] તું અભિષેકનું તેલ લઈ પવિત્રમંડપનો તથા તેમાંની સર્વ વસ્તુઓનો અભિષેક કરીને તેની તથા તેમાંના બધાં સાધનોની શુદ્ધિ કરજે તેથી એ પવિત્ર થઈ જશે.
[IRV | GU | OT | Exodus | Chapter 40 | Verse 10] તું દહનીયાર્પણની વેદીનો અને તેનાં સર્વ સાધનોનો પણ અભિષેક કરીને તેમને શુદ્ધ કરજે તેથી તે પણ અત્યંત પવિત્ર થઈ જશે.
[IRV | GU | OT | Exodus | Chapter 40 | Verse 11] તું હોજનો અને તેના તળિયાંનો અભિષેક કરીને તેને પવિત્ર કરજે.
[IRV | GU | OT | Exodus | Chapter 40 | Verse 12] તું હારુનને તથા તેના પુત્રોને મુલાકાતમંડપના પ્રવેશદ્વાર આગળ લાવજે અને તેઓને પાણીથી સ્નાન કરાવજે.
[IRV | GU | OT | Exodus | Chapter 40 | Verse 13] તું હારુનને પવિત્ર વસ્ત્રો પહેરાવીને તેનો અભિષેક કરજે અને યાજક તરીકે મારી સેવા કરવા માટે તેને પવિત્ર કરજે.
[IRV | GU | OT | Exodus | Chapter 40 | Verse 14] તું તેના પુત્રોને લાવીને અંગરખાં પહેરાવજે.
[IRV | GU | OT | Exodus | Chapter 40 | Verse 15] જેમ તેં તેઓના પિતાનો અભિષેક કર્યો હતો તેમ તેઓનો અભિષેક કર. તેઓનો અભિષેક કરવાથી તેઓ અને તેમના વંશજો કાયમ માટે યાજકો બનશે.”
[IRV | GU | OT | Exodus | Chapter 40 | Verse 16] યહોવાહે મૂસાને જે આજ્ઞા આપી હતી તે પ્રમાણે મૂસાએ કર્યું.
[IRV | GU | OT | Exodus | Chapter 40 | Verse 17] બીજા વર્ષના પ્રથમ માસના પ્રથમ દિવસે પવિત્રમંડપ ઊભો કરવામાં આવ્યો.
[IRV | GU | OT | Exodus | Chapter 40 | Verse 18] મૂસાએ કૂંભીઓ ગોઠવી, પાટિયાં બેસાડ્યાં, વળીઓ જડી દીધી, ભૂંગળો નાખી તથા તેના સ્તંભો રોપ્યા.
[IRV | GU | OT | Exodus | Chapter 40 | Verse 19] યહોવાહે મૂસાને આજ્ઞા કરી હતી તે પ્રમાણે પવિત્રમંડપ ઉપર આવરણ પાથરી દીધું અને તેની ઉપર તંબુનું આચ્છાદન કર્યું.
[IRV | GU | OT | Exodus | Chapter 40 | Verse 20] તેણે સાક્ષ્યલેખ લઈને કરારકોશમાં મૂક્યો અને કોશ પર દાંડા ગોઠવ્યા અને કોશ પર દયાસન મૂક્યું.
[IRV | GU | OT | Exodus | Chapter 40 | Verse 21] કરારકોશને મૂસાએ પવિત્રમંડપમાં લાવ્યો અને યહોવાહની આજ્ઞા અનુસાર તેને ઢાંકવા પડદો લટકાવ્યો.
[IRV | GU | OT | Exodus | Chapter 40 | Verse 22] મુલાકાતમંડપમાં ઉત્તર બાજુએ તેણે પડદાની બહાર મેજ મૂક્યું.
[IRV | GU | OT | Exodus | Chapter 40 | Verse 23] તેના ઉપર મૂસાએ યહોવાહની આજ્ઞા અનુસાર યહોવાહને અર્પેલી રોટલી મૂકી.
[IRV | GU | OT | Exodus | Chapter 40 | Verse 24] મુલાકાતમંડપની અંદર મેજની સામે દક્ષિણ બાજુએ તેણે દીવી મૂકી.
[IRV | GU | OT | Exodus | Chapter 40 | Verse 25] યહોવાહની આજ્ઞા મુજબ મૂસાએ તેના ઉપર યહોવાહ સમક્ષ દીવા સળગાવ્યાં.
[IRV | GU | OT | Exodus | Chapter 40 | Verse 26] મુલાકાતમંડપમાં પડદાની આગળ તેણે સોનાની વેદી મૂકી.
