[IRV | GU | OT | Exodus | Chapter 35 | Verse 1] મૂસાએ સર્વ ઇઝરાયલીઓની એક સભા ભેગી કરીને તેઓને કહ્યું, “આ બાબતો એ છે કે યહોવાહે તમને પાળવા માટે આજ્ઞા આપી છે.
[IRV | GU | OT | Exodus | Chapter 35 | Verse 2] છ દિવસ કામ કરવું, પણ સાતમો દિવસ તે તમારે માટે પવિત્ર દિવસ થાય, યહોવાહને માટે તે વિશ્રામવાર થાય. તે દિવસે જે કોઈ કામ કરે તે મારી નંખાય.
[IRV | GU | OT | Exodus | Chapter 35 | Verse 3] વિશ્રામવારના દિવસે તમે જ્યાં પણ રહેતા હોય ત્યાં આગ સળગાવવી નહિ.”
[IRV | GU | OT | Exodus | Chapter 35 | Verse 4] મૂસાએ ઇઝરાયલીઓની આખી સભાને કહ્યું, “જે આજ્ઞા યહોવાહે આપી છે તે આ પ્રમાણે છે.
[IRV | GU | OT | Exodus | Chapter 35 | Verse 5] યહોવાહને માટે તમારામાંથી અર્પણ લો, જે કોઈના મનમાં આપવાની ઇચ્છા હોય તે યહોવાહને સારુ અર્પણ લાવે: એટલે સોનું, ચાંદી, પિત્તળ,
[IRV | GU | OT | Exodus | Chapter 35 | Verse 6] ભૂરા, જાંબુડિયા, કિરમજી રંગનું ઊન, શણનું ઝીણું કાપડ, બકરાંના વાળ;
[IRV | GU | OT | Exodus | Chapter 35 | Verse 7] ઘેટાંનું લાલ રંગેલુ ચામડું, સીલ માછલાંના ચામડાં, બાવળનાં લાકડાં;
[IRV | GU | OT | Exodus | Chapter 35 | Verse 8] દીવાને માટે તેલ, અભિષેકના તેલ માટે, સુંગધીદાર ધૂપ માટે સુગંધી દ્રવ્યો,
[IRV | GU | OT | Exodus | Chapter 35 | Verse 9] ગોમેદ પાષાણો, એફોદમાં અને ઉરાવરણમાં જડવાના પાષાણો.
[IRV | GU | OT | Exodus | Chapter 35 | Verse 10] તમારામાંથી જેઓ ખાસ કુશળ કારીગરો છે તેઓ આવે અને યહોવાહે જે બનાવવાની આજ્ઞા કરી છે તે બનાવે;
[IRV | GU | OT | Exodus | Chapter 35 | Verse 11] પવિત્રમંડપનો તંબુ, તેનું આચ્છાદન, તેની કડીઓ, તેનાં પાટિયાં, તેની ભૂંગળો, તેના સ્તંભો તથા તેની કૂંભીઓ;
[IRV | GU | OT | Exodus | Chapter 35 | Verse 12] કરારકોશ તથા તેના દાંડા, દયાસન તથા ઓથાનો પડદો.
[IRV | GU | OT | Exodus | Chapter 35 | Verse 13] મેજ તથા તેને ઊંચકવાની દાંડીઓ, તેનાં બધાં પાત્રો તથા અર્પેલી રોટલી;
[IRV | GU | OT | Exodus | Chapter 35 | Verse 14] દીપવૃક્ષ તથા તેનાં સાધનો, દીવાઓ તથા દીવાને માટે તેલ;
[IRV | GU | OT | Exodus | Chapter 35 | Verse 15] ધૂપની વેદી અને તેની દાંડીઓ, અભિષેક માટેનું તેલ, સુગંધીદાર ધૂપ તથા મૂલાકાતમંડપનો પ્રવેશદ્વાર માટેનો પડદો;
[IRV | GU | OT | Exodus | Chapter 35 | Verse 16] દહનીયાર્પણની વેદી તથા તેની પિત્તળની જાળી, તેના દાંડા તથા તેના પાત્રો, કુંડી તથા તેનું તળિયું.
[IRV | GU | OT | Exodus | Chapter 35 | Verse 17] આંગણાની ભીંતો માટેના પડદાઓ, સ્તંભો તથા તેઓની કૂંભીઓ અને આંગણાનાં પ્રવેશદ્વાર માટેના પડદાઓ;
[IRV | GU | OT | Exodus | Chapter 35 | Verse 18] મુલાકાતમંડપના અને તેના આંગણા માટેના સ્તંભો, આંગણાની દોરીઓ;
[IRV | GU | OT | Exodus | Chapter 35 | Verse 19] પવિત્રસ્થાનમાં સેવા કરવાના માટે ઝીણાં વણેલાં વસ્ત્રો, એટલે યાજકપદ બજાવવાને માટે હારુન યાજકનાં પવિત્ર વસ્ત્રો અને તેના દીકરાઓના વસ્ત્રો.”
[IRV | GU | OT | Exodus | Chapter 35 | Verse 20] પછી ઇઝરાયલીઓની સમગ્ર સભા મૂસાની હજૂરમાંથી રવાના થઈ.
[IRV | GU | OT | Exodus | Chapter 35 | Verse 21] જેઓને હોંશ હતી અને જેઓના હૃદયોમાં આપવાની ઇચ્છા હતી તે સર્વ આવ્યા અને મુલાકાતમંડપના કામને સારુ તથા તેની સર્વ સેવાને સારુ તથા પવિત્ર વસ્ત્રોને સારુ યહોવાહને માટે અર્પણ લાવ્યા.
[IRV | GU | OT | Exodus | Chapter 35 | Verse 22] જેટલાં પુરુષો તથા સ્ત્રીઓ રાજી હતાં, તેઓ આવ્યા. તેઓ નથનીઓ, કડીઓ, વીંટીઓ, બંગડીઓ તથા સોનાનાં ઘરેણાં લઈને આવ્યાં. યહોવાહને સોનાનું અર્પણ ચઢાવનાર પ્રત્યેક માણસે એમ કર્યું.
[IRV | GU | OT | Exodus | Chapter 35 | Verse 23] પ્રત્યેક માણસ જેની પાસે ભૂરા, જાંબુડા, કિરમજી રંગનાં ઊન, ઝીણું શણ, બકરાંના વાળ, ઘેટાંના રાતા રંગેલા ચામડાં તથા શીલ માછલાંનાં ચામડાં મળી આવ્યાં તે પણ તે લઈ આવ્યો.
[IRV | GU | OT | Exodus | Chapter 35 | Verse 24] જે કોઈએ પણ યહોવાહને ચાંદી કે પિત્તળનું અર્પણ ચઢાવ્યું તે સૌ તે લાવ્યા અને પ્રત્યેક માણસ જેની પાસે સેવાના કોઈ પણ કામને માટે બાવળનું લાકડું મળી આવ્યું તે તે લાવ્યો.
[IRV | GU | OT | Exodus | Chapter 35 | Verse 25] સર્વ બુદ્ધિમાન સ્ત્રીઓ પોતે કાંતેલું, એટલે ભૂરા, જાંબુડા, કિરમજી રંગનું ઊન તથા ઝીણું શણ લાવી.
[IRV | GU | OT | Exodus | Chapter 35 | Verse 26] જે સર્વ સ્ત્રીઓના હૃદયમાં પ્રેરણા થઈ, તેઓએ બકરાંના વાળ કાંત્યા.
[IRV | GU | OT | Exodus | Chapter 35 | Verse 27] અધિકારીઓ ગોમેદ પાષાણ, એફોદ તથા ઉરાવરણમાં જડવા માટે પાષાણો લાવ્યા.
