[IRV | GU | OT | Exodus | Chapter 31 | Verse 1] વળી યહોવાહે મૂસાને કહ્યું,
[IRV | GU | OT | Exodus | Chapter 31 | Verse 2] “જુઓ, મેં યહૂદાના કુળના હૂરના દીકરા ઉરીના દીકરા બસાલેલને નામ લઈને બોલાવ્યો છે.
[IRV | GU | OT | Exodus | Chapter 31 | Verse 3] બુદ્ધિ, સમજણ, ડહાપણ તથા સર્વ પ્રકારના કળાકૌશલ્યની બાબતમાં મેં તેને ઈશ્વરના આત્માથી ભરપૂર કર્યો છે.
[IRV | GU | OT | Exodus | Chapter 31 | Verse 4] એ માટે કે તે હોશિયારીથી નમૂનો તૈયાર કરે અને સોનામાં, ચાંદીમાં, પિત્તળમાં,
[IRV | GU | OT | Exodus | Chapter 31 | Verse 5] જડવાને માટે પાષાણ કોતરવામાં તથા લાકડામાં નકશી કોતરવામાં અને સર્વ પ્રકારની કારીગરીમાં તે કામ કરે.
[IRV | GU | OT | Exodus | Chapter 31 | Verse 6] વળી તેની સાથે કામ કરવા માટે મેં દાનના કુળના અહીસામાખના દીકરા આહોલીઆબને પસંદ કર્યો છે. જે બુદ્ધિમાન છે તે સર્વનાં હૃદયોમાં મેં બુદ્ધિ મૂકી છે, એ માટે કે મેં તને જે આજ્ઞા આપી છે તે પ્રમાણે તે સર્વ તેઓ બનાવે.
[IRV | GU | OT | Exodus | Chapter 31 | Verse 7] આ સાથે મુલાકાતમંડપ, કરારકોશ, તે પરનું દયાસન, મંડપનો સરસામાન;
[IRV | GU | OT | Exodus | Chapter 31 | Verse 8] બાજઠ અને તેનાં પરની સામગ્રી, શુદ્ધ સોનાની દીવી અને તેનાં સાધનો, ધૂપ કરવાની વેદી,
[IRV | GU | OT | Exodus | Chapter 31 | Verse 9] દહનીયાર્પણની વેદી અને તેનાં બધાં સાધનો, હાથપગ ધોવાની કુંડી અને તેનું તળિયું.
[IRV | GU | OT | Exodus | Chapter 31 | Verse 10] યાજક હારુન અને તેના પુત્રો માટે સેવા સમયે પહેરવાનાં પવિત્ર પોષાક,
[IRV | GU | OT | Exodus | Chapter 31 | Verse 11] અભિષેક માટેનું તેલ અને પવિત્રસ્થાનને માટે સુગંધીદાર ધૂપ; તે સર્વ સંબંધી મેં તને જે આજ્ઞાઓ આપી છે તે પ્રમાણે તેઓ કરે.”
[IRV | GU | OT | Exodus | Chapter 31 | Verse 12] યહોવાહે મૂસાને કહ્યું,
[IRV | GU | OT | Exodus | Chapter 31 | Verse 13] “ઇઝરાયલી લોકોને કહે: ‘તમે જરૂર મારા વિશ્રામવારો પાળો, કેમ કે તમારી પેઢી દરપેઢી મારી અને તમારી વચ્ચે તે ચિહ્નરૂપ છે; એ માટે કે તમે જાણો કે તમને પવિત્ર કરનાર તે હું યહોવાહ છું.
[IRV | GU | OT | Exodus | Chapter 31 | Verse 14] આથી તમારે વિશ્રામવારનું પાલન કરવાનું છે, કારણ કે તમારા માટે એ પવિત્ર દિવસ છે. જે કોઈ તેની પવિત્રતાનો ભંગ કરે, તેને મોતની સજા કરવી. જે કોઈ વિશ્રામવારે કામ કરે તેનો સમાજમાંથી બહિષ્કાર કરજો.
[IRV | GU | OT | Exodus | Chapter 31 | Verse 15] તમને છ દિવસ કામ કરવાની છૂટ છે, પણ સાતમે દિવસે યહોવાહને માટે પવિત્ર એવો સંપૂર્ણ વિશ્રામનો સાબ્બાથ છે. જે કોઈ વિશ્રામવારે કોઈ પણ કામ કરે તેને મોતની સજા કરવી.
[IRV | GU | OT | Exodus | Chapter 31 | Verse 16] માટે ઇઝરાયલના લોકોએ મારી અને તેઓની વચ્ચેના કરાર તરીકે વિશ્રામવાર પેઢી દર પેઢી પાળવાનો છે.
[IRV | GU | OT | Exodus | Chapter 31 | Verse 17] સાબ્બાથ યહોવાહ અને ઇઝરાયલી લોકોની વચ્ચે હંમેશના ચિહ્નરૂપ છે, કેમ કે યહોવાહે છ દિવસ સુધી આકાશ અને પૃથ્વીની રચના કરી અને સાતમે દિવસે તેમણે કામ બંધ રાખીને વિસામો લીધો.’”
[IRV | GU | OT | Exodus | Chapter 31 | Verse 18] તેમણે સિનાઈ પર્વત ઉપર મૂસાની સાથે વાતચીત પૂરી કરીને તેને બે કરારપાટી, એટલે ઈશ્વરની આંગળીથી લખેલી બે શિલાપાટીઓ આપી.
