[IRV | GU | OT | Exodus | Chapter 9 | Verse 1] ત્યારે યહોવાહે મૂસાને કહ્યું, “ફારુનની પાસે જા અને તેને કહે કે, હિબ્રૂઓના ઈશ્વર યહોવાહ એમ કહે છે કે, ‘મારા લોકોને મારું ભજન કરવા જવા દે.’
[IRV | GU | OT | Exodus | Chapter 9 | Verse 2] હજુ પણ જો તું ના પાડશે અને તેઓને રોકી રાખશે તો ધ્યાનથી સાંભળી લે,
[IRV | GU | OT | Exodus | Chapter 9 | Verse 3] હું યહોવાહ, ખેતરનાં તારાં જાનવરો એટલે ઘોડાઓમાં, ગધેડાંઓમાં, ઊંટોમાં, ગાયબળદોમાં અને ઘેટાંબકરાંઓમાં ભારે રોગચાળો ફેલાવીશ અને તને સજા કરીશ.
[IRV | GU | OT | Exodus | Chapter 9 | Verse 4] પરંતુ હું યહોવાહ ઇઝરાયલીઓના અને મિસરનાં જાનવરો વચ્ચે ભેદભાવ રાખીશ. જેથી ઇઝરાયલીઓનું એક પણ જાનવર મરશે નહિ.”
[IRV | GU | OT | Exodus | Chapter 9 | Verse 5] “હું યહોવાહ આવતી કાલે આ દેશમાં એનો અમલ કરીશ.”
[IRV | GU | OT | Exodus | Chapter 9 | Verse 6] અને બીજે દિવસે સવારે મિસરમાં ઈશ્વરે પોતાના કહ્યા પ્રમાણે કર્યું, મિસરીઓનાં બધાં જાનવર મરી ગયાં પરંતુ ઇઝરાયલીઓનું એક પણ જાનવર મર્યું નહિ.
[IRV | GU | OT | Exodus | Chapter 9 | Verse 7] ફારુને પોતાના માણસોને તપાસ કરવા મોકલ્યા કે ઇઝરાયલના લોકોનું એકે જાનવર મર્યું છે કે નહિ. તપાસ દ્વારા તેને જણાવવામાં આવ્યું કે ઇઝરાયલીઓનું એક પણ જાનવર મર્યું નથી. આટલું થયા છતાં ફારુને હઠાગ્રહ ચાલુ રાખ્યો. તેણે લોકોને જવા દીધા નહિ.
[IRV | GU | OT | Exodus | Chapter 9 | Verse 8] યહોવાહે મૂસા અને હારુનને કહ્યું, “તમારા હાથમાં ભઠ્ઠીમાંથી મુઠ્ઠીઓ ભરીને રાખ લો અને મૂસા ફારુનના દેખતાં તેને હવામાં ઊંચે ઉડાડે.
[IRV | GU | OT | Exodus | Chapter 9 | Verse 9] એ રાખની ઝીણી રજકણો આખા મિસર દેશમાં ફેલાઈ જશે. તેની અસરથી સમગ્ર મિસરના માણસો અને જાનવરોને શરીરે ગૂમડાં ફૂટી નીકળશે.”
[IRV | GU | OT | Exodus | Chapter 9 | Verse 10] એટલે મૂસા અને હારુને ભઠ્ઠીમાંથી રાખ લીધી. પછી ફારુનની આગળ ઊભા રહીને મૂસાએ આકાશ તરફ રાખ ઉડાડી. તેના ફેલાવાથી માણસોને અને જાનવરોને ગૂમડાં થયાં.
[IRV | GU | OT | Exodus | Chapter 9 | Verse 11] મિસરના જાદુગરો મૂસાને આવું કરતાં રોકી શક્યા નહિ, કારણ કે જાદુગરોને તથા બધા જ મિસરના લોકોને ગૂમડાં ફૂટી નીકળ્યાં હતાં.
[IRV | GU | OT | Exodus | Chapter 9 | Verse 12] પરંતુ યહોવાહે ફારુનનું હૃદય હઠીલું બનાવ્યું. અને તેમણે કહ્યું હતું તે પ્રમાણે ફારુને મૂસાની અને હારુનની વાત સાંભળી નહિ.
[IRV | GU | OT | Exodus | Chapter 9 | Verse 13] પછી યહોવાહે મૂસાને કહ્યું, “સવારમાં વહેલો ઊઠીને ફારુન પાસે જજે. અને તેને કહેજે કે, હિબ્રૂઓના ઈશ્વર યહોવાહ એવું કહે છે કે, ‘મારા લોકોને મારું ભજન કરવા જવા દે.’
[IRV | GU | OT | Exodus | Chapter 9 | Verse 14] જો તું નહિ જવા દે તો હું મારી બધી મરકીઓ તારા પર, તારા સરદારો પર અને તારા લોકો પર મોકલીશ. ત્યારે તને ખબર પડશે કે જગતમાં મારા જેવો અન્ય કોઈ ઈશ્વર નથી.”
[IRV | GU | OT | Exodus | Chapter 9 | Verse 15] જો અત્યાર સુધીમાં મેં, તારા પર અને તારી પ્રજા પર મરકી મોકલીને તને સજા કરી હોત તો તું ભૂમિ ઉપરથી નષ્ટ થઈ ગયો હોત.
[IRV | GU | OT | Exodus | Chapter 9 | Verse 16] પણ મેં તને એટલા માટે જીવતો રાખ્યો છે કે હું તને મારું પરાક્રમ બતાવું. અને સમગ્ર પૃથ્વી પર મારું નામ પ્રગટ થાય.
[IRV | GU | OT | Exodus | Chapter 9 | Verse 17] શું તું હજુ પણ મારા લોકોની વિરુદ્ધ છે? તું મારા લોકો સાથે પોતાને ઊંચો રાખીને તેઓને જવા દેતો નથી?
[IRV | GU | OT | Exodus | Chapter 9 | Verse 18] યાદ રાખજે, આવતી કાલે આ જ સમયે હું ભારે કરાનો એવો વરસાદ વરસાવીશ કે મિસરની સ્થાપનાથી આજ સુધી એવા કરા મિસરમાં કદીય વરસ્યા નથી.
[IRV | GU | OT | Exodus | Chapter 9 | Verse 19] એટલે અત્યારે જ માણસો મોકલીને તારાં જાનવરોને તથા ખેતરમાં જે કોઈ હોય તે બધાંને સુરક્ષિત જગ્યાએ મંગાવી લેજે. કારણ જે કોઈ માણસ કે જાનવર ખેતરમાં હશે અને તેઓને ઘરમાં લાવવામાં આવ્યાં નહિ હોય, તેઓના પર કરા વરસશે અને તેઓ મરણ પામશે.
[IRV | GU | OT | Exodus | Chapter 9 | Verse 20] ફારુનના કેટલાક અમલદારો યહોવાહની આ વાણી સાંભળીને ગભરાઈ ગયા. તેઓએ જલ્દીથી પોતાના ચાકરોને અને જાનવરોને ઘરમાં લાવી દીધાં.
[IRV | GU | OT | Exodus | Chapter 9 | Verse 21] પણ જેઓએ યહોવાહની વાણીને ધ્યાનમાં લીધી નહિ તેઓએ પોતાના ગુલામોને અને જાનવરોને ખેતરમાં જ રહેવા દીઘાં.
[IRV | GU | OT | Exodus | Chapter 9 | Verse 22] યહોવાહે મૂસાને કહ્યું, “તારા હાથ આકાશ તરફ લંબાવ, જેથી આખા મિસર દેશમાં માણસો, જાનવરો અને ખેતરની બધી વનસ્પતિ પર કરા પડે.”
