[GRCGTR | EL | NT | 2 Peter | Chapter 3 | Verse 1] Ταύτην ἤδη, ἀγαπητοί, δευτέραν ὑμῖν γράφω ἐπιστολήν, ἐν αἷς διεγείρω ὑμῶν ἐν ὑπομνήσει τὴν εἰλικρινῆ διάνοιαν,
[GRCGTR | EL | NT | 2 Peter | Chapter 3 | Verse 2] μνησθῆναι τῶν προειρημένων ῥημάτων ὑπὸ τῶν ἁγίων προφητῶν, καὶ τῆς τῶν ἀποστόλων ἡμῶν ἐντολῆς τοῦ Κυρίου καὶ σωτῆρος·
[GRCGTR | EL | NT | 2 Peter | Chapter 3 | Verse 3] τοῦτο πρῶτον γινώσκοντες, ὅτι ἐλεύσονται ἐπ᾿ ἐσχάτου τῶν ἡμερῶν ἐμπαῖκται, κατὰ τὰς ἰδίας αὐτῶν ἐπιθυμίας πορευόμενοι,
[GRCGTR | EL | NT | 2 Peter | Chapter 3 | Verse 4] καὶ λέγοντες, Ποῦ ἐστὶν ἡ ἐπαγγελία τῆς παρουσίας αὐτοῦ; Ἀφ᾿ ἧς γὰρ οἱ πατέρες ἐκοιμήθησαν, πάντα οὕτω διαμένει ἀπ᾿ ἀρχῆς κτίσεως.
[GRCGTR | EL | NT | 2 Peter | Chapter 3 | Verse 5] Λανθάνει γὰρ αὐτοὺς τοῦτο θέλοντας, ὅτι οὐρανοὶ ἦσαν ἔκπαλαι, καὶ γῆ ἐξ ὕδατος καὶ δι᾿ ὕδατος συνεστῶσα, τῷ τοῦ Θεοῦ λόγῳ,
[GRCGTR | EL | NT | 2 Peter | Chapter 3 | Verse 6] δι᾿ ὧν ὁ τότε κόσμος ὕδατι κατακλυσθεὶς ἀπώλετο·
[GRCGTR | EL | NT | 2 Peter | Chapter 3 | Verse 7] οἱ δὲ νῦν οὐρανοὶ καὶ ἡ γῆ + 3:7 τῷ αὐτῷ ¦ αὐτοῦ ST τῷ αὐτῷ λόγῳ τεθησαυρισμένοι εἰσί, πυρὶ τηρούμενοι εἰς ἡμέραν κρίσεως καὶ ἀπωλείας τῶν ἀσεβῶν ἀνθρώπων.
[GRCGTR | EL | NT | 2 Peter | Chapter 3 | Verse 8] Ἓν δὲ τοῦτο μὴ λανθανέτω ὑμᾶς, ἀγαπητοί, ὅτι μία ἡμέρα παρὰ Κυρίῳ ὡς χίλια ἔτη, καὶ χίλια ἔτη ὡς ἡμέρα μία.
[GRCGTR | EL | NT | 2 Peter | Chapter 3 | Verse 9] Οὐ βραδύνει ὁ Κύριος τῆς ἐπαγγελίας, ὥς τινες βραδυτῆτα ἡγοῦνται· ἀλλὰ μακροθυμεῖ εἰς ἡμᾶς, μὴ βουλόμενός τινας ἀπολέσθαι, ἀλλὰ πάντας εἰς μετάνοιαν χωρῆσαι.
[GRCGTR | EL | NT | 2 Peter | Chapter 3 | Verse 10] Ἥξει δὲ ἡ ἡμέρα Κυρίου ὡς κλέπτης ἐν νυκτί, ἐν ᾗ οἱ οὐρανοὶ ῥοιζηδὸν παρελεύσονται, στοιχεῖα δὲ καυσούμενα λυθήσονται, καὶ γῆ καὶ τὰ ἐν αὐτῇ ἔργα κατακαήσεται.
[GRCGTR | EL | NT | 2 Peter | Chapter 3 | Verse 11] Τούτων οὖν πάντων λυομένων, ποταποὺς δεῖ ὑπάρχειν ὑμᾶς ἐν ἁγίαις ἀναστροφαῖς καὶ εὐσεβείαις,
