[GRCGTR | EL | NT | 2 Peter | Chapter 2 | Verse 1] Ἐγένοντο δὲ καὶ ψευδοπροφῆται ἐν τῷ λαῷ, ὡς καὶ ἐν ὑμῖν ἔσονται ψευδοδιδάσκαλοι, οἵτινες παρεισάξουσιν αἱρέσεις ἀπωλείας, καὶ τὸν ἀγοράσαντα αὐτοὺς δεσπότην ἀρνούμενοι, ἐπάγοντες ἑαυτοῖς ταχινὴν ἀπώλειαν.
[GRCGTR | EL | NT | 2 Peter | Chapter 2 | Verse 2] Καὶ πολλοὶ ἐξακολουθήσουσιν αὐτῶν ταῖς ἀπωλείαις, δι᾿ οὓς ἡ ὁδὸς τῆς ἀληθείας βλασφημηθήσεται.
[GRCGTR | EL | NT | 2 Peter | Chapter 2 | Verse 3] Καὶ ἐν πλεονεξίᾳ πλαστοῖς λόγοις ὑμᾶς ἐμπορεύσονται· οἷς τὸ κρίμα ἔκπαλαι οὐκ ἀργεῖ, καὶ ἡ ἀπώλεια αὐτῶν οὐ νυστάζει.
[GRCGTR | EL | NT | 2 Peter | Chapter 2 | Verse 4] Εἰ γὰρ ὁ Θεὸς ἀγγέλων ἁμαρτησάντων οὐκ ἐφείσατο, ἀλλὰ σειραῖς ζόφου ταρταρώσας παρέδωκεν εἰς κρίσιν τετηρημένους·
[GRCGTR | EL | NT | 2 Peter | Chapter 2 | Verse 5] καὶ ἀρχαίου κόσμου οὐκ ἐφείσατο, ἀλλ᾿ ὄγδοον Νῶε δικαιοσύνης κήρυκα ἐφύλαξε, κατακλυσμὸν κόσμῳ ἀσεβῶν ἐπάξας·
[GRCGTR | EL | NT | 2 Peter | Chapter 2 | Verse 6] καὶ πόλεις Σοδόμων καὶ Γομόρρας τεφρώσας καταστροφῇ κατέκρινεν, ὑπόδειγμα μελλόντων ἀσεβεῖν τεθεικώς·
[GRCGTR | EL | NT | 2 Peter | Chapter 2 | Verse 7] καὶ δίκαιον Λώτ, καταπονούμενον ὑπὸ τῆς τῶν ἀθέσμων ἐν ἀσελγείᾳ ἀναστροφῆς, ἐρρύσατο·
[GRCGTR | EL | NT | 2 Peter | Chapter 2 | Verse 8] βλέμματι γὰρ καὶ ἀκοῇ ὁ δίκαιος, ἐγκατοικῶν ἐν αὐτοῖς, ἡμέραν ἐξ ἡμέρας ψυχὴν δικαίαν ἀνόμοις ἔργοις ἐβασάνιζεν·
[GRCGTR | EL | NT | 2 Peter | Chapter 2 | Verse 9] οἶδε Κύριος εὐσεβεῖς ἐκ + 2:9 πειρασμοῦ ¦ πειρασμῶν SCR πειρασμοῦ ῥύεσθαι, ἀδίκους δὲ εἰς ἡμέραν κρίσεως κολαζομένους τηρεῖν·
[GRCGTR | EL | NT | 2 Peter | Chapter 2 | Verse 10] μάλιστα δὲ τοὺς ὀπίσω σαρκὸς ἐν ἐπιθυμίᾳ μιασμοῦ πορευομένους, καὶ κυριότητος καταφρονοῦντας. Τολμηταί, αὐθάδεις, δόξας οὐ τρέμουσι βλασφημοῦντες·
[GRCGTR | EL | NT | 2 Peter | Chapter 2 | Verse 11] ὅπου ἄγγελοι, ἰσχύϊ καὶ δυνάμει μείζονες ὄντες, οὐ φέρουσι κατ᾿ αὐτῶν παρὰ Κυρίῳ βλάσφημον κρίσιν.
[GRCGTR | EL | NT | 2 Peter | Chapter 2 | Verse 12] Οὗτοι δέ, ὡς ἄλογα ζῷα φυσικὰ + 2:12 γεγενημένα ¦ γεγεννημένα ELZ γεγενημένα εἰς ἅλωσιν καὶ φθοράν, ἐν οἷς ἀγνοοῦσι βλασφημοῦντες, ἐν τῇ φθορᾷ αὐτῶν καταφθαρήσονται,
[GRCGTR | EL | NT | 2 Peter | Chapter 2 | Verse 13] κομιούμενοι μισθὸν ἀδικίας, ἡδονὴν ἡγούμενοι τὴν ἐν ἡμέρᾳ τρυφήν, σπίλοι καὶ μῶμοι, ἐντρυφῶντες ἐν ταῖς ἀπάταις αὐτῶν συνευωχούμενοι ὑμῖν,
[GRCGTR | EL | NT | 2 Peter | Chapter 2 | Verse 14] ὀφθαλμοὺς ἔχοντες μεστοὺς μοιχαλίδος καὶ ἀκαταπαύστους ἁμαρτίας, δελεάζοντες ψυχὰς ἀστηρίκτους, καρδίαν γεγυμνασμένην πλεονεξίαις ἔχοντες, κατάρας τέκνα·
[GRCGTR | EL | NT | 2 Peter | Chapter 2 | Verse 15] καταλιπόντες τὴν εὐθεῖαν ὁδὸν ἐπλανήθησαν, ἐξακολουθήσαντες τῇ ὁδῷ τοῦ Βαλαὰμ τοῦ Βοσόρ, ὃς μισθὸν ἀδικίας ἠγάπησεν,
[GRCGTR | EL | NT | 2 Peter | Chapter 2 | Verse 16] ἔλεγξιν δὲ ἔσχεν ἰδίας παρανομίας· ὑποζύγιον ἄφωνον, ἐν ἀνθρώπου φωνῇ φθεγξάμενον, ἐκώλυσε τὴν τοῦ προφήτου παραφρονίαν.
[GRCGTR | EL | NT | 2 Peter | Chapter 2 | Verse 17] Οὗτοί εἰσι πηγαὶ ἄνυδροι, νεφέλαι ὑπὸ λαίλαπος ἐλαυνόμεναι, οἷς ὁ ζόφος τοῦ σκότους εἰς αἰῶνα τετήρηται.
[GRCGTR | EL | NT | 2 Peter | Chapter 2 | Verse 18] Ὑπέρογκα γὰρ ματαιότητος φθεγγόμενοι, δελεάζουσιν ἐν ἐπιθυμίαις σαρκός, + 2:18 ἐν ¦ — ST ἐν ἀσελγείαις, τοὺς ὄντως ἀποφυγόντας τοὺς ἐν πλάνῃ ἀναστρεφομένους,
[GRCGTR | EL | NT | 2 Peter | Chapter 2 | Verse 19] ἐλευθερίαν αὐτοῖς ἐπαγγελλόμενοι, αὐτοὶ δοῦλοι ὑπάρχοντες τῆς φθορᾶς· ᾧ γάρ τις ἥττηται, τούτῳ καὶ δεδούλωται.
[GRCGTR | EL | NT | 2 Peter | Chapter 2 | Verse 20] Εἰ γὰρ ἀποφυγόντες τὰ μιάσματα τοῦ κόσμου ἐν ἐπιγνώσει τοῦ Κυρίου καὶ σωτῆρος Ἰησοῦ Χριστοῦ, τούτοις δὲ πάλιν ἐμπλακέντες ἡττῶνται, γέγονεν αὐτοῖς τὰ ἔσχατα χείρονα τῶν πρώτων.
[GRCGTR | EL | NT | 2 Peter | Chapter 2 | Verse 21] Κρεῖττον γὰρ ἦν αὐτοῖς μὴ ἐπεγνωκέναι τὴν ὁδὸν τῆς δικαιοσύνης, ἢ ἐπιγνοῦσιν ἐπιστρέψαι ἐκ τῆς παραδοθείσης αὐτοῖς ἁγίας ἐντολῆς.
