[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 1] وَهَؤُلَاءِ هُمْ بَنُو ٱلْكُورَةِ ٱلصَّاعِدُونَ مِنْ سَبْيِ ٱلْمَسْبِيِّينَ، ٱلَّذِينَ سَبَاهُمْ نَبُوخَذْنَاصَّرُ مَلِكُ بَابِلَ إِلَى بَابِلَ، وَرَجَعُوا إِلَى أُورُشَلِيمَ وَيَهُوذَا، كُلُّ وَاحِدٍ إِلَى مَدِينَتِهِ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 2] ٱلَّذِينَ جَاءُوا مَعَ زَرُبَّابِلَ، يَشُوعُ، نَحَمْيَا، سَرَايَا، رَعْلَايَا، مُرْدَخَايُ، بِلْشَانُ، مِسْفَارُ، بِغْوَايُ، رَحُومُ، بَعْنَةَ. عَدَدُ رِجَالِ شَعْبِ إِسْرَائِيلَ:
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 3] بَنُو فَرْعُوشَ أَلْفَانِ وَمِئَةٌ وَٱثْنَانِ وَسَبْعُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 4] بَنُو شَفَطْيَا ثَلَاثُ مِئَةٍ وَٱثْنَانِ وَسَبْعُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 5] بَنُو آرَحَ سَبْعُ مِئَةٍ وَخَمْسَةٌ وَسَبْعُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 6] بَنُو فَحَثَ مُوآبَ مِنْ بَنِي يَشُوعَ وَيُوآبَ أَلْفَانِ وَثَمَانُ مِئَةٍ وَٱثْنَا عَشَرَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 7] بَنُو عِيلَامَ أَلْفٌ وَمِئَتَانِ وَأَرْبَعَةٌ وَخَمْسُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 8] بَنُو زَتُّو تِسْعُ مِئَةٍ وَخَمْسَةٌ وَأَرْبَعُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 9] بَنُو زَكَّايَ سَبْعُ مِئَةٍ وَسِتُّونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 10] بَنُو بَانِي سِتُّ مِئَةٍ وَٱثْنَانِ وَأَرْبَعُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 11] بَنُو بَابَايَ سِتُّ مِئَةٍ وَثَلَاثَةٌ وَعِشْرُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 12] بَنُو عَرْجَدَ أَلْفٌ وَمِئَتَانِ وَٱثْنَانِ وَعِشْرُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 13] بَنُو أَدُونِيقَامَ سِتُّ مِئَةٍ وَسِتَّةٌ وَسِتُّونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 14] بَنُو بِغْوَايَ أَلْفَانِ وَسِتَّةٌ وَخَمْسُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 15] بَنُو عَادِينَ أَرْبَعُ مِئَةٍ وَأَرْبَعَةٌ وَخَمْسُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 16] بَنُو آطِيرَ مِنْ يَحَزَقِيَّا ثَمَانِيَةٌ وَتِسْعُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 17] بَنُو بِيصَايَ ثَلَاثُ مِئَةٍ وَثَلَاثَةٌ وَعِشْرُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 18] بَنُو يُورَةَ مِئَةٌ وَٱثْنَا عَشَرَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 19] بَنُو حَشُومَ مِئَتَانِ وَثَلَاثَةٌ وَعِشْرُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 20] بَنُو جِبَّارَ خَمْسَةٌ وَتِسْعُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 21] بَنُو بَيْتِ لَحْمٍ مِئَةٌ وَثَلَاثَةٌ وَعِشْرُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 22] رِجَالُ نَطُوفَةَ سِتَّةٌ وَخَمْسُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 23] رِجَالُ عَنَاثُوثَ مِئَةٌ وَثَمَانِيَةٌ وَعِشْرُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 24] بَنُو عَزْمُوتَ ٱثْنَانِ وَأَرْبَعُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 25] بَنُو قَرْيَةِ عَارِيمَ كَفِيرَةَ وَبَئِيرُوتَ سَبْعُ مِئَةٍ وَثَلَاثَةٌ وَأَرْبَعُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 26] بَنُو ٱلرَّامَةِ وَجَبَعَ سِتُّ مِئَةٍ وَوَاحِدٌ وَعِشْرُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 27] رِجَالُ مِخْمَاسَ مِئَةٌ وَٱثْنَانِ وَعِشْرُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 28] رِجَالُ بَيْتِ إِيلَ وَعَايَ مِئَتَانِ وَثَلَاثَةٌ وَعِشْرُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 29] بَنُو نَبُو ٱثْنَانِ وَخَمْسُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 30] بَنُو مَغْبِيشَ مِئَةٌ وَسِتَّةٌ وَخَمْسُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 31] بَنُو عِيلَامَ ٱلْآخَرِ أَلْفٌ وَمِئَتَانِ وَأَرْبَعَةٌ وَخَمْسُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 32] بَنُو حَارِيمَ ثَلَاثُ مِئَةٍ وَعِشْرُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 33] بَنُو لُودَ بَنُو حَادِيدَ وَأُونُو سَبْعُ مِئَةٍ وَخَمْسَةٌ وَعِشْرُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 34] بَنُو أَرِيحَا ثَلَاثُ مِئَةٍ وَخَمْسَةٌ وَأَرْبَعُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 35] بَنُو سَنَاءَةَ ثَلَاثَةُ آلَافٍ وَسِتُّ مِئَةٍ وَثَلَاثُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 36] أَمَّا ٱلْكَهَنَةُ: فَبَنُو يَدْعِيَا مِنْ بَيْتِ يَشُوعَ تِسْعُ مِئَةٍ وَثَلَاثَةٌ وَسَبْعُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 37] بَنُو إِمِّيرَ أَلْفٌ وَٱثْنَانِ وَخَمْسُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 38] بَنُو فَشْحُورَ أَلْفٌ وَمِئَتَانِ وَسَبْعَةٌ وَأَرْبَعُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 39] بَنُو حَارِيمَ أَلْفٌ وَسَبْعَةَ عَشَرَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 40] أَمَّا ٱللَّاوِيُّونَ: فَبَنُو يَشُوعَ وَقَدْمِيئِيلَ مِنْ بَنِي هُودُويَا أَرْبَعَةٌ وَسَبْعُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 41] ٱلْمُغَنُّونَ بَنُو آسَافَ مِئَةٌ وَثَمَانِيَةٌ وَعِشْرُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 42] بَنُو ٱلْبَوَّابِينَ: بَنُو شَلُّومَ، بَنُو آطِيرَ، بَنُو طَلْمُونَ، بَنُو عَقُّوبَ، بَنُو حَطِيطَا، بَنُو شُوبَايَ، ٱلْجَمِيعُ مِئَةٌ وَتِسْعَةٌ وَثَلَاثُونَ.
[VANDYKE | AR | OT | Ezra | Chapter 2 | Verse 43] ٱلنَّثِينِيمُ: بَنُو صِيحَا، بَنُو حَسُوفَا، بَنُو طَبَاعُوتَ،
