[KJV | EN | OT | Ezekiel | Chapter 35 | Verse 1] Moreover the word of the Lord came unto me, saying,
[KJV | EN | OT | Ezekiel | Chapter 35 | Verse 2] Son of man, set thy face against mount Seir, and prophesy against it,
[KJV | EN | OT | Ezekiel | Chapter 35 | Verse 3] and say unto it, Thus saith the Lord God; Behold, O mount Seir, I am against thee, and I will stretch out mine hand against thee, and I will make thee most desolate.
[KJV | EN | OT | Ezekiel | Chapter 35 | Verse 4] I will lay thy cities waste, and thou shalt be desolate, and thou shalt know that I am the Lord.
[KJV | EN | OT | Ezekiel | Chapter 35 | Verse 5] Because thou hast had a perpetual hatred, and hast shed the blood of the children of Israel by the force of the sword in the time of their calamity, in the time that their iniquity had an end:
[KJV | EN | OT | Ezekiel | Chapter 35 | Verse 6] therefore, as I live, saith the Lord God, I will prepare thee unto blood, and blood shall pursue thee: sith thou hast not hated blood, even blood shall pursue thee.
[KJV | EN | OT | Ezekiel | Chapter 35 | Verse 7] Thus will I make mount Seir most desolate, and cut off from it him that passeth out and him that returneth.
[KJV | EN | OT | Ezekiel | Chapter 35 | Verse 8] And I will fill his mountains with his slain men: in thy hills, and in thy valleys, and in all thy rivers, shall they fall that are slain with the sword.
[KJV | EN | OT | Ezekiel | Chapter 35 | Verse 9] I will make thee perpetual desolations, and thy cities shall not return: and ye shall know that I am the Lord.
[KJV | EN | OT | Ezekiel | Chapter 35 | Verse 10] Because thou hast said, These two nations and these two countries shall be mine, and we will possess it; whereas the Lord was there:
[KJV | EN | OT | Ezekiel | Chapter 35 | Verse 11] therefore, as I live, saith the Lord God, I will even do according to thine anger, and according to thine envy which thou hast used out of thy hatred against them; and I will make myself known amongst them, when I have judged thee.
[KJV | EN | OT | Ezekiel | Chapter 35 | Verse 12] And thou shalt know that I am the Lord, and that I have heard all thy blasphemies which thou hast spoken against the mountains of Israel, saying, They are laid desolate, they are given us to consume.
[KJV | EN | OT | Ezekiel | Chapter 35 | Verse 13] Thus with your mouth ye have boasted against me, and have multiplied your words against me: I have heard them.
[KJV | EN | OT | Ezekiel | Chapter 35 | Verse 14] Thus saith the Lord God; When the whole earth rejoiceth, I will make thee desolate.
[KJV | EN | OT | Ezekiel | Chapter 35 | Verse 15] As thou didst rejoice at the inheritance of the house of Israel, because it was desolate, so will I do unto thee: thou shalt be desolate, O mount Seir, and all Idumea, even all of it: and they shall know that I am the Lord.
