[KJV | EN | OT | Ezekiel | Chapter 16 | Verse 1] Again the word of the Lord came unto me, saying,
[KJV | EN | OT | Ezekiel | Chapter 16 | Verse 2] Son of man, cause Jerusalem to know her abominations,
[KJV | EN | OT | Ezekiel | Chapter 16 | Verse 3] and say, Thus saith the Lord God unto Jerusalem; Thy birth and thy nativity is of the land of Canaan; thy father was an Amorite, and thy mother a Hittite.
[KJV | EN | OT | Ezekiel | Chapter 16 | Verse 4] And as for thy nativity, in the day thou wast born thy navel was not cut, neither wast thou washed in water to supple thee; thou wast not salted at all, nor swaddled at all.
[KJV | EN | OT | Ezekiel | Chapter 16 | Verse 5] None eye pitied thee, to do any of these unto thee, to have compassion upon thee; but thou wast cast out in the open field, to the lothing of thy person, in the day that thou wast born.
[KJV | EN | OT | Ezekiel | Chapter 16 | Verse 6] And when I passed by thee, and saw thee polluted in thine own blood, I said unto thee when thou wast in thy blood, Live; yea, I said unto thee when thou wast in thy blood, Live.
[KJV | EN | OT | Ezekiel | Chapter 16 | Verse 7] I have caused thee to multiply as the bud of the field, and thou hast increased and waxen great, and thou art come to excellent ornaments: thy breasts are fashioned, and thine hair is grown, whereas thou wast naked and bare.
[KJV | EN | OT | Ezekiel | Chapter 16 | Verse 8] Now when I passed by thee, and looked upon thee, behold, thy time was the time of love; and I spread my skirt over thee, and covered thy nakedness: yea, I sware unto thee, and entered into a covenant with thee, saith the Lord God, and thou becamest mine.
[KJV | EN | OT | Ezekiel | Chapter 16 | Verse 9] Then washed I thee with water; yea, I throughly washed away thy blood from thee, and I anointed thee with oil.
[KJV | EN | OT | Ezekiel | Chapter 16 | Verse 10] I clothed thee also with broidered work, and shod thee with badgers’ skin, and I girded thee about with fine linen, and I covered thee with silk.
[KJV | EN | OT | Ezekiel | Chapter 16 | Verse 11] I decked thee also with ornaments, and I put bracelets upon thine hands, and a chain on thy neck.
[KJV | EN | OT | Ezekiel | Chapter 16 | Verse 12] And I put a jewel on thy forehead, and earrings in thine ears, and a beautiful crown upon thine head.
[KJV | EN | OT | Ezekiel | Chapter 16 | Verse 13] Thus wast thou decked with gold and silver; and thy raiment was of fine linen, and silk, and broidered work; thou didst eat fine flour, and honey, and oil: and thou wast exceeding beautiful, and thou didst prosper into a kingdom.
[KJV | EN | OT | Ezekiel | Chapter 16 | Verse 14] And thy renown went forth among the heathen for thy beauty: for it was perfect through my comeliness, which I had put upon thee, saith the Lord God.
[KJV | EN | OT | Ezekiel | Chapter 16 | Verse 15] But thou didst trust in thine own beauty, and playedst the harlot because of thy renown, and pouredst out thy fornications on every one that passed by; his it was.
[KJV | EN | OT | Ezekiel | Chapter 16 | Verse 16] And of thy garments thou didst take, and deckedst thy high places with divers colours, and playedst the harlot thereupon: the like things shall not come, neither shall it be so.
[KJV | EN | OT | Ezekiel | Chapter 16 | Verse 17] Thou hast also taken thy fair jewels of my gold and of my silver, which I had given thee, and madest to thyself images of men, and didst commit whoredom with them,
[KJV | EN | OT | Ezekiel | Chapter 16 | Verse 18] and tookest thy broidered garments, and coveredst them: and thou hast set mine oil and mine incense before them.
[KJV | EN | OT | Ezekiel | Chapter 16 | Verse 19] My meat also which I gave thee, fine flour, and oil, and honey, wherewith I fed thee, thou hast even set it before them for a sweet savour: and thus it was, saith the Lord God.
[KJV | EN | OT | Ezekiel | Chapter 16 | Verse 20] Moreover thou hast taken thy sons and thy daughters, whom thou hast borne unto me, and these hast thou sacrificed unto them to be devoured. Is this of thy whoredoms a small matter,
[KJV | EN | OT | Ezekiel | Chapter 16 | Verse 21] that thou hast slain my children, and delivered them to cause them to pass through the fire for them?
[KJV | EN | OT | Ezekiel | Chapter 16 | Verse 22] And in all thine abominations and thy whoredoms thou hast not remembered the days of thy youth, when thou wast naked and bare, and wast polluted in thy blood.
[KJV | EN | OT | Ezekiel | Chapter 16 | Verse 23] And it came to pass after all thy wickedness, (woe, woe unto thee! saith the Lord God;)
[KJV | EN | OT | Ezekiel | Chapter 16 | Verse 24] that thou hast also built unto thee an eminent place, and hast made thee a high place in every street.
