[BBE | EN | NT | 1 Peter | Chapter 5 | Verse 1] I who am myself one of the rulers of the church, and a witness of the death of Christ, having my part in the coming glory, send this serious request to the chief men among you:
[BBE | EN | NT | 1 Peter | Chapter 5 | Verse 2] Keep watch over the flock of God which is in your care, using your authority, not as forced to do so, but gladly; and not for unclean profit but with a ready mind;
[BBE | EN | NT | 1 Peter | Chapter 5 | Verse 3] Not as lords over God's heritage, but making yourselves examples to the flock.
[BBE | EN | NT | 1 Peter | Chapter 5 | Verse 4] And at the coming of the chief Keeper of the sheep, you will be given the eternal crown of glory.
[BBE | EN | NT | 1 Peter | Chapter 5 | Verse 5] And in the same way, let the younger men be ruled by the older ones. Let all of you put away pride and make yourselves ready to be servants: for God is a hater of pride, but he gives grace to those who make themselves low.
[BBE | EN | NT | 1 Peter | Chapter 5 | Verse 6] For this cause make yourselves low under the strong hand of God, so that when the time comes you may be lifted up;
[BBE | EN | NT | 1 Peter | Chapter 5 | Verse 7] Putting all your troubles on him, for he takes care of you.
[BBE | EN | NT | 1 Peter | Chapter 5 | Verse 8] Be serious and keep watch; the Evil One, who is against you, goes about like a lion with open mouth in search of food;
[BBE | EN | NT | 1 Peter | Chapter 5 | Verse 9] Do not give way to him but be strong in your faith, in the knowledge that your brothers who are in the world undergo the same troubles.
[BBE | EN | NT | 1 Peter | Chapter 5 | Verse 10] And after you have undergone pain for a little time, the God of all grace who has given you a part in his eternal glory through Christ Jesus, will himself give you strength and support, and make you complete in every good thing;
[BBE | EN | NT | 1 Peter | Chapter 5 | Verse 11] His is the power for ever. So be it.
[BBE | EN | NT | 1 Peter | Chapter 5 | Verse 12] I have sent you this short letter by Silvanus, a true brother, in my opinion; comforting you and witnessing that this is the true grace of God; keep to it.
[BBE | EN | NT | 1 Peter | Chapter 5 | Verse 13] She who is in Babylon, who has a part with you in the purpose of God, sends you her love; and so does my son Mark.
[BBE | EN | NT | 1 Peter | Chapter 5 | Verse 14] Give one another the kiss of love. Peace be to you all in Christ.
