[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 1] These also be the last wordes of Dauid, Dauid the sonne of Ishai saith, euen the man who was set vp on hie, the Anointed of the God of Iacob, and the sweete singer of Israel saith,
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 2] The Spirit of the Lord spake by me, and his worde was in my tongue.
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 3] The God of Israel spake to me, ye strength of Israel saide, Thou shalt beare rule ouer men, being iust, and ruling in the feare of God.
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 4] Euen as the morning light when the sunne riseth, the morning, I say, without cloudes, so shall mine house be, and not as the grasse of the earth is by the bright raine.
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 5] For so shall not mine house be with God: for he hath made with me an euerlasting couenant, perfite in all pointes, and sure: therefore all mine health and whole desire is, that he will not make it growe so.
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 6] But the wicked shalbe euery one as thornes thrust away, because they can not be taken with handes.
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 7] But the man that shall touch them, must be defensed with yron, or with the shaft of a speare: and they shall be burnt with fire in the same place.
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 8] These be the names of the mightie men whome Dauid had. He that sate in the seate of wisedome, being chiefe of the princes, was Adino of Ezni, he slewe eight hundreth at one time.
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 9] And after him was Eleazar the sonne of Dodo, the sonne of Ahohi, one of the three worthies with Dauid, when they defied the Philistims gathered there to battel, when the men of Israel were gone vp.
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 10] He arose and smote the Philistims vntill his hande was wearie, and his hande claue vnto the sworde: and the Lord gaue great victorie the same day, and the people returned after him onely to spoyle.
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 11] After him was Shammah the sonne of Age the Hararite: for the Philistims assembled at a towne, where was a piece of a fielde full of lentils, and the people fled from the Philistims.
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 12] But he stoode in the middes of the fielde, and defended it, and slewe the Philistims: so the Lord gaue great victorie.
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 13] Afterward three of the thirtie captaines went downe, and came to Dauid in the haruest time vnto the caue of Adullam, and the hoste of the Philistims pitched in the valley of Rephaim.
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 14] And Dauid was then in an holde, and the garison of ye Philistims was then in Beth-lehem.
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 15] And Dauid longed, and said, Oh, that one would giue me to drinke of the water of the well of Beth-lehem, which is by the gate.
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 16] The the three mightie brake into the host of the Philistims, and drew water out of the well of Beth-lehem that was by the gate, and tooke and brought it to Dauid, who woulde not drinke thereof, but powred it for an offring vnto ye Lord,
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 17] And said, O Lord, be it farre from me, that I should doe this. Is not this the blood of the men that went in ieopardie of their liues? therefore he woulde not drinke it. These things did these three mightie men.
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 18] And Abishai the brother of Ioab, the sonne of Zeruiah, was chiefe among the three, and he lifted vp his speare against three hundreth, and slewe them, and he had the name among the three.
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 19] For he was most excellent of the three, and was their captaine, but he attained not vnto the first three.
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 20] And Benaiah the sonne of Iehoiada the sonne of a valiant man, which had done many actes, and was of Kabzeel, slewe two strong men of Moab: he went downe also, and slewe a lyon in the middes of a pit in the time of snowe.
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 21] And he slewe an Egyptian a man of great stature, and the Egyptian had a speare in his hande: but he went downe to him with a staffe, and plucked the speare out of the Egyptians hand, and slewe him with his owne speare.
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 22] These things did Benaiah the sonne of Iehoiada, and had the name among the three worthies.
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 23] He was honourable among thirtie, but he atteined not to the first three: and Dauid made him of his counsell.
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 24] Asahel the brother of Ioab was one of the thirtie: Elhanan the sonne of Dodo of Beth-lehem:
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 25] Shammah the Harodite: Elika ye Harodite:
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 26] Helez the Paltite: Ira the sonne of Ikkesh the Tekoite:
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 27] Abiezer the Anethothite: Mebunnai the Husathite:
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 28] Zalmon an Ahohite: Maharai the Netophathite:
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 29] Heleb the sonne of Baanah a Netophathite: Ittai the sonne of Ribai of Gibeah of the children of Beniamin:
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 30] Benaiah the Pirathonite: Hiddai of the riuer of Gaash:
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 31] Abi-albon the Arbathite: Azmaueth the Barhumite:
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 32] Elihaba the Shaalbonite: of the sonnes of Iashen, Ionathan:
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 33] Shammah the Hararite: Ahiam the sonne of Sharar the Hamrite:
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 34] Eliphelet the sonne of Ahasbai the sonne of Maachathi: Eliam the sonne of Ahithophel the Gilonite:
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 35] Hezrai the Carmelite: Paarai the Arbite:
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 36] Igal the sonne of Nathan of Zobah: Bani the Gadite:
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 37] Zelek the Ammonite: Naharai the Becrothite, the armour bearer of Ioab the sonne of Zeruiah:
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 38] Ira the Ithrite: Gareb the Ithrite:
[GNV | EN | OT | 2 Samuel | Chapter 23 | Verse 39] Uriiah the Hittite, thirtie and seuen in all.
