[GNV | EN | OT | 2 Samuel | Chapter 5 | Verse 1] Then came all the tribes of Israel to Dauid vnto Hebron, and said thus, Beholde, we are thy bones and thy flesh.
[GNV | EN | OT | 2 Samuel | Chapter 5 | Verse 2] And in time past when Saul was our King, thou leddest Israel in and out: and the Lord hath sayde to thee, Thou shalt feede my people Israel, and thou shalt be a captaine ouer Israel.
[GNV | EN | OT | 2 Samuel | Chapter 5 | Verse 3] So all the Elders of Israel came to the King to Hebron: and King Dauid made a couenant with them in Hebron before the Lord: and they anoynted Dauid King ouer Israel.
[GNV | EN | OT | 2 Samuel | Chapter 5 | Verse 4] Dauid was thirtie yeere olde when he began to reigne: and hee reigned fortie yeere.
[GNV | EN | OT | 2 Samuel | Chapter 5 | Verse 5] In Hebron hee reigned ouer Iudah seuen yeere, and sixe moneths: and in Ierusalem hee reigned thirtie and three yeeres ouer all Israel and Iudah.
[GNV | EN | OT | 2 Samuel | Chapter 5 | Verse 6] The King also and his men went to Ierusalem vnto the Iebusites, the inhabitants of the land: who spake vnto Dauid, saying, Except thou take away the blinde and the lame, thou shalt not come in hither: thinking that Dauid coulde not come thither.
[GNV | EN | OT | 2 Samuel | Chapter 5 | Verse 7] But Dauid tooke the fort of Zion: this is the citie of Dauid.
[GNV | EN | OT | 2 Samuel | Chapter 5 | Verse 8] Nowe Dauid had sayd the same day, Whosoeuer smiteth the Iebusites, and getteth vp to the gutters and smiteth the lame and blinde, which Dauids soule hateth, I will preferre him: therefore they saide, The blinde and the lame shall not come into that house.
[GNV | EN | OT | 2 Samuel | Chapter 5 | Verse 9] So Dauid dwelt in that forte, and called it the citie of Dauid, and Dauid built rounde about it, from Millo, and inward.
[GNV | EN | OT | 2 Samuel | Chapter 5 | Verse 10] And Dauid prospered and grewe: for the Lord God of hostes was with him.
[GNV | EN | OT | 2 Samuel | Chapter 5 | Verse 11] Hiram also king of Tyrus sent messengers to Dauid, and cedar trees, and carpenters, and masons for walles: and they built Dauid an house.
[GNV | EN | OT | 2 Samuel | Chapter 5 | Verse 12] Then Dauid knewe that the Lord had stablished him King ouer Israel, and that he had exalted his kingdome for his people Israels sake.
[GNV | EN | OT | 2 Samuel | Chapter 5 | Verse 13] And Dauid tooke him more concubines and wiues out of Ierusalem, after hee was come from Hebron, and more sonnes and daughters were borne to Dauid.
[GNV | EN | OT | 2 Samuel | Chapter 5 | Verse 14] And these bee the names of the sonnes that were borne vnto him in Ierusale: Shammua, and Shobab, and Nathan, and Salomon,
[GNV | EN | OT | 2 Samuel | Chapter 5 | Verse 15] And Ibhar, and Elishua, and Nepheg, and Iaphia,
[GNV | EN | OT | 2 Samuel | Chapter 5 | Verse 16] And Elishama, and Eliada, and Eliphalet.
[GNV | EN | OT | 2 Samuel | Chapter 5 | Verse 17] But when the Philistims hearde that they had anoynted Dauid King ouer Israel, all the Philistims came vp to seeke Dauid: and when Dauid heard, he went downe to a fort.
[GNV | EN | OT | 2 Samuel | Chapter 5 | Verse 18] But the Philistims came, and spred themselues in the valley of Rephaim.
[GNV | EN | OT | 2 Samuel | Chapter 5 | Verse 19] Then Dauid asked counsel of the Lord, saying, Shall I goe vp to the Philistims? wilt thou deliuer them into mine handes? And the Lord answered Dauid, Goe vp: for I will doubtlesse deliuer the Philistims into thine handes.
[GNV | EN | OT | 2 Samuel | Chapter 5 | Verse 20] Then Dauid came to Baal-perazim, and smote them there, and sayde, The Lord hath deuided mine enemies asunder before mee, as waters be deuided asunder: therefore he called the name of that place, Baal-perazim.
[GNV | EN | OT | 2 Samuel | Chapter 5 | Verse 21] And there they left their images, and Dauid and his men burnt them.
[GNV | EN | OT | 2 Samuel | Chapter 5 | Verse 22] Againe the Philistims came vp, and spred themselues in the valley of Rephaim.
[GNV | EN | OT | 2 Samuel | Chapter 5 | Verse 23] And when Dauid asked counsell of the Lord, hee answered, Thou shalt not goe vp, but turne about behinde them, and come vpon them ouer against the mulberie trees.
[GNV | EN | OT | 2 Samuel | Chapter 5 | Verse 24] And when thou hearest the noyse of one going in the toppes of the mulberie trees, then remoue: for then shall the Lord goe out before thee, to smite the hoste of the Philistims.
[GNV | EN | OT | 2 Samuel | Chapter 5 | Verse 25] Then Dauid did so as the Lord had commanded him, and smote the Philistims from Geba, vntil thou come to Gazer.
