[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 1] There was then long warre betweene the house of Saul and the house of Dauid: but Dauid waxed stronger, and the house of Saul waxed weaker.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 2] And vnto Dauid were children borne in Hebron: and his eldest sonne was Amnon of Ahinoam the Izreelite,
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 3] And his seconde, was Chileab of Abigail the wife of Nabal the Carmelite: and the third, Absalom the sonne of Maacah the daughter of Talmai the King of Geshur,
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 4] And the fourth, Adoniiah the sonne of Haggith, and the fifth, Shephatiah the sonne of Abital,
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 5] And the sixt, Ithream by Eglah Dauids wife: these were borne to Dauid in Hebron.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 6] Nowe while there was warre betweene the house of Saul and the house of Dauid, Abner made all his power for the house of Saul.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 7] And Saul had a concubine named Rizpah, the daughter of Aiiah. And Ish-bosheth sayde to Abner, Wherefore hast thou gone in to my fathers concubine?
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 8] Then was Abner very wroth for the words of Ish-bosheth, and said, Am I a dogges head, which against Iudah do shew mercie this day vnto the house of Saul thy father, to his brethren, and to his neighbours, and haue not deliuered thee into the hande of Dauid, that thou chargest me this day with a fault concerning this woman?
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 9] So doe God to Abner, and more also, except, as the Lord hath sworne to Dauid, euen so I doe to him,
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 10] To remoue the kingdome from the house of Saul, that the throne of Dauid may be stablished ouer Israel, and ouer Iudah, euen from Dan to Beer-sheba.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 11] And he durst no more answere to Abner: for he feared him.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 12] Then Abner sent messengers to Dauid on his behalfe, saying, Whose is the lande? who should also say, Make couenant with me, and beholde, mine hande shalbe with thee, to bring all Israel vnto thee.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 13] Who saide, Well, I will make a couenant with thee: but one thing I require of thee, that is, that thou see not my face except thou bring Michal Sauls daughter when thou commest to see me.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 14] Then Dauid sent messengers to Ish-bosheth Sauls sonne, saying, Deliuer me my wife Michal, which I marryed for an hundreth foreskinnes of the Philistims.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 15] And Ish-bosheth sent, and tooke her from her husband Phaltiel the sonne of Laish.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 16] And her husband went with her, and came weeping behinde her, vnto Bahurim: then saide Abner vnto him, Go, and returne. So he returned.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 17] And Abner had communication with the Elders of Israel, saying, Ye sought for Dauid in times past, that he might be your King.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 18] Nowe then doe it: for the Lord hath spoken of Dauid, saying, By the hand of my seruant Dauid I will saue my people Israel out of the handes of the Philistims, and out of the handes of all their enemies.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 19] Also Abner spake to Beniamin, and afterward Abner went to speake with Dauid in Hebron, concerning all that Israel was content with, and the whole house of Beniamin.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 20] So Abner came to Dauid to Hebron, hauing twentie men with him, and Dauid made a feast vnto Abner, and to the men that were with him.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 21] Then Abner sayde vnto Dauid, I will rise vp, and goe gather all Israel vnto my lorde the King, that they may make a couenant with thee, and that thou mayest reigne ouer all that thine heart desireth. Then Dauid let Abner depart, who went in peace.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 22] And beholde, the seruants of Dauid and Ioab came from the campe, and brought a great pray with them (but Abner was not with Dauid in Hebron: for he had sent him away, and he departed in peace)
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 23] When Ioab, and all the hoste that was with him were come, men tolde Ioab, saying, Abner the sonne of Ner came to the King, and he hath sent him away, and he is gone in peace.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 24] Then Ioab came to the King, and saide, What hast thou done? beholde, Abner came vnto thee, why hast thou sent him away, and he is departed?
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 25] Thou knowest Abner the sonne of Ner: for he came to deceiue thee, and to knowe thy outgoing and ingoing, and to knowe all that thou doest.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 26] And when Ioab was gone out from Dauid, he sent messengers after Abner, which brought him againe from the well of Siriah vnknowing to Dauid.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 27] And when Abner was come againe to Hebron, Ioab tooke him aside in the gate to speake with him peaceably, and smote him vnder the fift ryb, that he dyed, for the blood of Asahel his brother.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 28] And when afterwarde it came to Dauids eare, he saide, I and my kingdome are giltlesse before the Lord for euer, concerning the blood of Abner the sonne of Ner.
