[DRA | EN | OT | Sirach | Chapter 27 | Verse 1] Through poverty many have sinned: and he that seeketh to be enriched, turneth away his eye.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 2] As a stake sticketh fast in the midst of the joining of stones, so also in the midst of selling and buying, sin shall stick fast.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 3] Sin shall be destroyed with the sinner.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 4] Unless thou hold thyself diligently in the fear of the Lord, thy house shall quickly be overthrown.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 5] As when one sifteth with a sieve, the dust will remain: so will the perplexity of a man in his thoughts.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 6] The furnace trieth the potter’s vessels, and the trial of affliction just men.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 7] Be the dressing of a tree sheweth the fruit thereof, so a word out of the thought of the heart of man.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 8] Praise not a man before he speaketh, for this is the trial of men.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 9] If thou followest justice, thou shalt obtain her: and shalt put her on as a long robe of honour, and thou shalt dwell with her: and she shall protect thee for ever, and in the day of acknowledgment thou shalt find a strong foundation.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 10] Birds resort unto their like: so truth will return to them that practise her.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 11] The lion always lieth in wait for prey: so do sins for them that work iniquities.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 12] A holy man continueth in wisdom as the sun: but a fool is changed as the moon.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 13] In the midst of the unwise keep in the word till its time: but be continually among men that think.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 14] The discourse of sinners is hateful, and their laughter is at the pleasures of sin.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 15] The speech that sweareth much shall make the hair of the head stand upright: and its irreverence shall make one stop his ears.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 16] Is the quarrels of the proud is the shedding of blood: and their cursing is a grievous hearing.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 17] He that discloseth the secret of a friend loseth his credit, and shall never find a friend to his mind.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 18] Love thy neighbour, and be joined to him with fidelity.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 19] But if thou discover his secrets, follow no more after him.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 20] For as a man that destroyeth his friend, so also is he that destroyeth the friendship of his neighbour.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 21] And as one that letteth a bird go out of his hand, so hast thou let thy neighbour go, and thou shalt not get him again.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 22] Follow after him no more, for he is gone afar off, he is fled, as a roe escaped out of the snare: because his soul is wounded.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 23] Thou canst no more bind him up. And of a curse there is reconciliation:
[DRA | EN | OT | Sirach | Chapter 27 | Verse 24] But to disclose the secrets of a friend, leaveth no hope to an unhappy soul.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 25] He that winketh with the eye forgeth wicked things, and no man will cast him off:
[DRA | EN | OT | Sirach | Chapter 27 | Verse 26] In the sight of thy eyes he will sweeten his mouth, and will admire thy words: but at the last he will writhe his mouth, and on thy words he will lay a stumblingblock.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 27] I have hated many things, but not like him, and the Lord will hate him.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 28] If one cast a stone on high, it will fall upon his own head: and the deceitful stroke will wound the deceitful.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 29] He that diggeth a pit, shall fall into it: and he that setteth a stone for his neighbour, shall stumble upon it: and he that layeth a snare for another, shall perish in it.
[DRA | EN | OT | Sirach | Chapter 27 | Verse 30] A mischievous counsel shall be rolled back upon the author, and he shall not know from whence it cometh to him.
