[DRA | EN | OT | Sirach | Chapter 25 | Verse 1] With three things my spirit is pleased, which are approved before God and men:
[DRA | EN | OT | Sirach | Chapter 25 | Verse 2] The concord of brethren, and the love of neighbours, and mall and wife that agree well together.
[DRA | EN | OT | Sirach | Chapter 25 | Verse 3] Three sorts my soul hateth, and I am greatly grieved at their life:
[DRA | EN | OT | Sirach | Chapter 25 | Verse 4] A poor man that is proud: a rich man that is a liar: an old man that is a fool, and doting.
[DRA | EN | OT | Sirach | Chapter 25 | Verse 5] The things that thou hast not gathered in thy youth, how shalt thou find them in thy old age?
[DRA | EN | OT | Sirach | Chapter 25 | Verse 6] O how comely is judgment for a grey head, and for ancients to know counsel!
[DRA | EN | OT | Sirach | Chapter 25 | Verse 7] O how comely is wisdom for the aged, and understanding and counsel to men of honour!
[DRA | EN | OT | Sirach | Chapter 25 | Verse 8] Much experience is the crown of old men, and the fear of God is their glory.
[DRA | EN | OT | Sirach | Chapter 25 | Verse 9] Nine things that are not to be imagined by the heart have I magnified, and the tenth I will utter to men with my tongue.
[DRA | EN | OT | Sirach | Chapter 25 | Verse 10] A man that hath joy of his children: and he that liveth and seeth the fall of his enemies.
[DRA | EN | OT | Sirach | Chapter 25 | Verse 11] Blessed is he. that dwelleth with a wise woman, and that hath not slipped with his tongue, and that hath not served such as are unworthy of him.
[DRA | EN | OT | Sirach | Chapter 25 | Verse 12] Blessed is he that findeth a true friend, and that declareth justice to an ear that heareth.
[DRA | EN | OT | Sirach | Chapter 25 | Verse 13] How great is he that findeth wisdom and knowledge! but there is none above him that feareth the Lord.
[DRA | EN | OT | Sirach | Chapter 25 | Verse 14] The fear of God hath set itself above all things:
[DRA | EN | OT | Sirach | Chapter 25 | Verse 15] Blessed is the man, to whom it is given to have the fear of God: he that holdeth it, to whom shall he be likened?
[DRA | EN | OT | Sirach | Chapter 25 | Verse 16] The fear of God is the beginning of his love: and the beginning of faith is to be fast joined unto it.
[DRA | EN | OT | Sirach | Chapter 25 | Verse 17] The sadness of the heart is every plague: and the wickedness of a woman is all evil.
[DRA | EN | OT | Sirach | Chapter 25 | Verse 18] And a man will choose any plague, but the plague of the heart:
[DRA | EN | OT | Sirach | Chapter 25 | Verse 19] And ally wickedness, but the wickedness of a woman:
[DRA | EN | OT | Sirach | Chapter 25 | Verse 20] And any affliction, but the affliction from them that hate him:
[DRA | EN | OT | Sirach | Chapter 25 | Verse 21] And ally revenge, but the revenge of enemies.
[DRA | EN | OT | Sirach | Chapter 25 | Verse 22] There is no head worse than the head of a serpent:
[DRA | EN | OT | Sirach | Chapter 25 | Verse 23] And there is no anger above the anger of a woman. It will be more agreeable to abide with a lion and a dragon, than to dwell with a wicked woman.
[DRA | EN | OT | Sirach | Chapter 25 | Verse 24] The wickedness of a woman changeth her face: and she darkeneth her countenance as a bear: and sheweth it like sackcloth. In the midst of her neighbours,
[DRA | EN | OT | Sirach | Chapter 25 | Verse 25] Her husband groaned, and hearing he sighed a little.
[DRA | EN | OT | Sirach | Chapter 25 | Verse 26] All malice is shore to the malice of a woman, let the lot of sinners fall upon her.
