[DRA | EN | OT | Sirach | Chapter 51 | Verse 1] A prayer of Jesus the son of Sirach. I will give glory to thee, O Lord, O King, and I will praise thee, O God my Saviour.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 2] I will give glory to thy name: for thou hast been a helper and protector to me.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 3] And hast preserved my body from destruction, from the snare of an unjust tongue, and from the lips of them that forge lies, and in the sight of them that stood by, thou hast been my helper.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 4] And thou hast delivered me, according to the multitude of the mercy of thy name, from them that did roar, prepared to devour.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 5] Out of the hands of them that sought my life, and from the gates of afflictions, which compassed me about:
[DRA | EN | OT | Sirach | Chapter 51 | Verse 6] From the oppression of the flame which surrounded me, and in the midst of the fire I was not burnt.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 7] From the depth of the belly of hell, and from an unclean tongue, and from lying words, from an unjust king, and from a slanderous tongue:
[DRA | EN | OT | Sirach | Chapter 51 | Verse 8] My soul shall praise the Lord even to death.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 9] And my life was drawing near to hell beneath.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 10] They compassed me on every side, and there was no one that would help me. I looked for the succour of men, and there was none.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 11] I remembered thy mercy, O Lord, and thy works, which are from the beginning of the world.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 12] How thou deliverest them that wait for thee, O Lord, and savest them out of the hands of the nations.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 13] Thou hast exalted my dwelling place upon the earth and I have prayed for death to pass away.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 14] I called upon the Lord, the father of my Lord, that he would not leave me in the day of my trouble, and in the time of the proud without help.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 15] I will praise thy name continually, and will praise it with thanksgiving, and my prayer was heard.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 16] And thou hast saved me from destruction, and hast delivered me from the evil time.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 17] Therefore I will give thanks, and praise thee, and bless the name of the Lord.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 18] When I was yet young, before I wandered about, I sought for wisdom openly in my prayer.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 19] I prayed for her before the temple, and unto the very end I will seek after her, and she flourished as a grape soon ripe.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 20] My heart delighted in her, my foot walked in the right way, from my youth up I sought after her.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 21] I bowed down my ear a little, and received her.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 22] I found much wisdom in myself, and I profited much therein.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 23] To him that giveth me wisdom, will I give glory.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 24] For I have determined to follow her: I have had a zeal for good, and shall not be confounded.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 25] My soul hath wrestled for her, and in doing it I have been confirmed.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 26] I stretched forth my hands on high, and I bewailed my ignorance of her.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 27] I directed my soul to her, and in knowledge I found her.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 28] I possessed my heart with her from the beginning: therefore I shall not be forsaken.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 29] My entrails were troubled in seeking her: therefore shall I possess a good possession.
[DRA | EN | OT | Sirach | Chapter 51 | Verse 30] The Lord hath given me a tongue for my reward: and with it I will praise him.
