[DRA | EN | OT | Sirach | Chapter 44 | Verse 1] Let us now praise men of renown, and our fathers in their generation.
[DRA | EN | OT | Sirach | Chapter 44 | Verse 2] The Lord hath wrought great glory through his magnificence from the beginning.
[DRA | EN | OT | Sirach | Chapter 44 | Verse 3] Such as have borne rule in their dominions, men of great power, and endued with their wisdom, shewing forth in the prophets the dignity of prophets,
[DRA | EN | OT | Sirach | Chapter 44 | Verse 4] And ruling over the present people, and by the strength of wisdom instructing the people in most holy words.
[DRA | EN | OT | Sirach | Chapter 44 | Verse 5] Such as by their skill sought out musical tunes, and published canticles of the scriptures.
[DRA | EN | OT | Sirach | Chapter 44 | Verse 6] Rich men in virtue, studying beautifulness: living at peace in their houses.
[DRA | EN | OT | Sirach | Chapter 44 | Verse 7] All these have gained glory in their generations, and were praised in their days.
[DRA | EN | OT | Sirach | Chapter 44 | Verse 8] They that were born of them have left a name behind them, that their praises might be related:
[DRA | EN | OT | Sirach | Chapter 44 | Verse 9] And there are some, of whom there is no memorial: who are perished, as if they had never been: and are become as if they had never been born, and their children with them.
[DRA | EN | OT | Sirach | Chapter 44 | Verse 10] But these were men of mercy, whose godly deeds have not failed:
[DRA | EN | OT | Sirach | Chapter 44 | Verse 11] Good things continue with their seed,
[DRA | EN | OT | Sirach | Chapter 44 | Verse 12] Their posterity are a holy inheritance, and their seed hath stood in the covenants.
[DRA | EN | OT | Sirach | Chapter 44 | Verse 13] And their children for their sakes remain for ever: their seed and their glory shall not be forsaken.
[DRA | EN | OT | Sirach | Chapter 44 | Verse 14] Their bodies are buried in peace, and their name liveth unto generation and generation.
[DRA | EN | OT | Sirach | Chapter 44 | Verse 15] Let the people shew forth their wisdom, and the church declare their praise.
[DRA | EN | OT | Sirach | Chapter 44 | Verse 16] Henoch pleased God, and was translated into paradise, that he may give repentance to the nations.
[DRA | EN | OT | Sirach | Chapter 44 | Verse 17] Noe was found perfect, just, and in the time of wrath he was made a reconciliation.
[DRA | EN | OT | Sirach | Chapter 44 | Verse 18] Therefore was there a remnant left to the earth, when the flood came.
[DRA | EN | OT | Sirach | Chapter 44 | Verse 19] The covenants of the world were made with him, that all flesh should no more be destroyed with the flood.
[DRA | EN | OT | Sirach | Chapter 44 | Verse 20] Abraham was the great father of a multitude of nations, and there was not found the like to him in glory, who kept the law of the most High, and was in covenant with him.
[DRA | EN | OT | Sirach | Chapter 44 | Verse 21] In his flesh he established the covenant, and in temptation he was found faithful.
[DRA | EN | OT | Sirach | Chapter 44 | Verse 22] Therefore by an oath he gave him glory in his posterity, that he should increase as the dust of the earth,
[DRA | EN | OT | Sirach | Chapter 44 | Verse 23] And that he would exalt his seed as the stars, and they should inherit from sea to sea, and from the river to the ends of the earth.
