[DRA | EN | OT | Sirach | Chapter 11 | Verse 1] The wisdom of the humble shall exalt his head, and shall make him sit in the midst of great men.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 2] Praise not a man for his beauty, neither despise a man for his look.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 3] The bee is small among flying things, but her fruit hath the chiefest sweetness.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 4] Glory not in apparel at any time, and be not exalted in the day of thy honour: for the works of the Highest only are wonderful, and his works are glorious, and secret, and hidden.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 5] Many tyrants have sat on the throne, and he whom no man would think on, hath worn the crown.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 6] Many mighty men have been greatly brought down, and the glorious have been delivered into the hand of others.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 7] Before thou inquire, blame no man: and when thou hast inquired, reprove justly.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 8] Before thou hear, answer not a word: and interrupt not others in the midst of their discourse.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 9] Strive not in a matter which doth not concern thee, and sit not in judgment with sinners.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 10] My son, meddle not with many matters: and if thou be rich, thou shalt not be free from sin: for if thou pursue after thou shalt not overtake: and if thou run before thou shalt not escape.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 11] There is an ungodly man that laboureth, and maketh haste, and is in sorrow, and is so much the more in want.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 12] Again, there is an inactive man that wanteth help, is very weak in ability, and full of poverty:
[DRA | EN | OT | Sirach | Chapter 11 | Verse 13] Yet the eye of God hath looked upon him for good, and hath lifted him up from his low estate, and hath exalted his head: and many have wondered at him, and have glorified God.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 14] Good things and evil, life and death, poverty and riches, are from God.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 15] Wisdom and discipline, and the knowledge of the law are with God. Love and the ways of good things are with him.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 16] Error and darkness are created with sinners: and they that glory in evil things, grow old in evil.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 17] The gift of God abideth with the just, and his advancement shall have success for ever.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 18] There is one that is enriched by living sparingly, and this is the portion of his reward.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 19] In that he saith: I have found me rest, and now I will eat of my goods alone:
[DRA | EN | OT | Sirach | Chapter 11 | Verse 20] And he knoweth not what time shall pass, and that death approacheth, and that he must leave all to others, and shall die.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 21] Be steadfast in thy covenant, and be conversant therein, and grow old in the work of thy commandments.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 22] Abide not in the works of sinners. But trust in God, and stay in thy place.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 23] For it is easy in the eyes of God on a sudden to make the poor man rich.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 24] The blessing of God maketh haste to reward the just, and in a swift hour his blessing beareth fruit.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 25] Say not: What need I, and what good shall I have by this?
[DRA | EN | OT | Sirach | Chapter 11 | Verse 26] Say not: I am sufficient for myself: and what shall I be made worse by this?
[DRA | EN | OT | Sirach | Chapter 11 | Verse 27] In the day of good things be not unmindful of evils: and in the day of evils be not unmindful of good things:
[DRA | EN | OT | Sirach | Chapter 11 | Verse 28] For it is easy before God in the day of death to reward every one according to his ways.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 29] The affliction of an hour maketh one forget great delights, and in the end of a man is the disclosing of his works.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 30] Praise not any man before death, for a man is known by his children.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 31] Bring not every man into thy house: for many are the snares of the deceitful.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 32] For as corrupted bowels send forth stinking breath, and as the partridge is brought into the cage, and as the roe into the snare: so also is the heart of the proud, and as a spy that looketh on the fall of his neighbour.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 33] For he lieth in wait and turneth good into evil, and on the elect he will lay a blot.
[DRA | EN | OT | Sirach | Chapter 11 | Verse 34] Of one spark cometh a great fire, and of one deceitful man much blood: and a sinful man lieth in wait for blood.
