[DRA | EN | OT | Sirach | Chapter 38 | Verse 1] Honour the physician for the need thou hast of him: for the most High hath created him.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 2] For all healing is from God, and he shall receive gifts of the king.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 3] The skill of the physician shall lift up his head, and in the sight of great men he shall be praised.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 4] The most High hath created medicines out of the earth, and a wise man will not abhor them.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 5] Was not bitter water made sweet with wood?
[DRA | EN | OT | Sirach | Chapter 38 | Verse 6] The virtue of these things is come to the knowledge of men, and the meet High hath given knowledge to men, that he may be honoured in his wonders.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 7] By these he shall cure and shall allay their pains, and of these the apothecary shall make sweet confections, and shall make up ointments of health, and of his works there shall be no end.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 8] For the peace of God is over all the face of the earth.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 9] My son, in thy sickness neglect not thyself, but pray to the Lord, and he shall heal thee.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 10] Turn away from sin and order thy hands aright, and cleanse thy heart from all offence.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 11] Give a sweet savour, and a memorial of fine flour, and make a fat offering, and then give place to the physician.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 12] For the Lord created him: and let him not depart from thee, for his works are necessary.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 13] For there is a time when thou must fall into their hands:
[DRA | EN | OT | Sirach | Chapter 38 | Verse 14] And they shall beseech the Lord, that he would prosper what they give for ease and remedy, for their conversation.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 15] He that sinneth in the sight of his Maker, shall fall into the hands of the physician.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 16] My son, shed tears over the dead, and begin to lament as if thou hadst suffered some great harm, and according to judgment cover his body, and neglect not his burial.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 17] And for fear of being ill spoken of weep bitterly for a, day, and then comfort thyself in thy sadness.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 18] And make mourning for him according to his merit for a day, or two, for fear of detraction.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 19] For of sadness cometh death, and it overwhelmeth the strength, and the sorrow of the heart boweth down the neck.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 20] In withdrawing aside sorrow remaineth: and the substance of the poor is according to his heart.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 21] Give not up thy heart to sadness, but drive it from thee: and remember the latter end.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 22] Forget it not: for there is no returning, and thou shalt do him no good, and shalt hurt thyself.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 23] Remember my judgment: for also shall be so: yesterday for me, and today for thee.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 24] When the dead is at rest, let his remembrance rest, and comfort him in the departing of his spirit.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 25] The wisdom of a scribe cometh by his time of leisure: and he that is less in action, shall receive wisdom.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 26] With what wisdom shall he be furnished that holdeth the plough, and that glorieth in the goad, that driveth the oxen therewith, and is occupied in their labours, and his whole talk is about the offspring of bulls?
[DRA | EN | OT | Sirach | Chapter 38 | Verse 27] He shall give his mind to turn up furrows, and his care is to give the kine fodder.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 28] So every craftsman and workmaster that laboureth night and day, he who maketh graven seals, and by his continual diligence varieth the figure: he shall give his mind to the resemblance of the picture, and by his watching shall finish the work.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 29] So doth the smith sitting by the anvil and considering the iron work. The vapour of the fire wasteth his flesh, and he fighteth with the heat of the furnace.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 30] The noise of the hammer is always in his ears, and his eye is upon the pattern of the vessel he maketh.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 31] He setteth his mind to finish his work, and his watching to polish them, to perfection.
[DRA | EN | OT | Sirach | Chapter 38 | Verse 32] So doth the potter sitting at his work, turning the wheel about with his feet, who is always carefully set to his work, and maketh all his work by number:
[DRA | EN | OT | Sirach | Chapter 38 | Verse 33] He fashioneth the clay with his arm, and boweth down his strength before his feet:
[DRA | EN | OT | Sirach | Chapter 38 | Verse 34] He shall give his mind to finish the glazing, and his watching to make clean the furnace.
