[DRA | EN | OT | Sirach | Chapter 29 | Verse 1] He that sheweth mercy, lendeth to his neighbour: and he that is stronger in hand, keepeth the commandments.
[DRA | EN | OT | Sirach | Chapter 29 | Verse 2] Lend to thy neighbour in the time of his need, and pay thou thy neighbour again in due time.
[DRA | EN | OT | Sirach | Chapter 29 | Verse 3] Reap thy word, and deal faithfully with him: and thou shalt always find that which is necessary for thee.
[DRA | EN | OT | Sirach | Chapter 29 | Verse 4] Many have looked upon a thing lent as a thing found, and have given trouble to them that helped them.
[DRA | EN | OT | Sirach | Chapter 29 | Verse 5] Till they receive, they kiss the hands of the lender, and in promises they humble their voice:
[DRA | EN | OT | Sirach | Chapter 29 | Verse 6] But when they should repay, they will ask time, and will return tedious and murmuring words, and will complain of the time:
[DRA | EN | OT | Sirach | Chapter 29 | Verse 7] And if he be able to pay, he will stand off, he will scarce pay one half, and will count it as if he had found it:
[DRA | EN | OT | Sirach | Chapter 29 | Verse 8] But if not, he will defraud him of his money, and he shall get him for an enemy without cause:
[DRA | EN | OT | Sirach | Chapter 29 | Verse 9] And he will pay him with reproaches and curses, and instead of honour and good turn will repay him injuries.
[DRA | EN | OT | Sirach | Chapter 29 | Verse 10] Many have refused to lend, not out of wickedness, but they were afraid to be defrauded without cause.
[DRA | EN | OT | Sirach | Chapter 29 | Verse 11] But yet towards the poor be thou more hearty, and delay not to shew him mercy.
[DRA | EN | OT | Sirach | Chapter 29 | Verse 12] Help the poor because of the commandment: and send him not away empty handed because of his poverty.
[DRA | EN | OT | Sirach | Chapter 29 | Verse 13] Lose thy money for thy brother and thy friend: and hide it not under a stone to be lost.
[DRA | EN | OT | Sirach | Chapter 29 | Verse 14] Place thy treasure in the commandments of the most High, and it shall bring thee more profit than gold.
[DRA | EN | OT | Sirach | Chapter 29 | Verse 15] Shut up alms in the heart of the poor, and it shall obtain help for thee against all evil.
[DRA | EN | OT | Sirach | Chapter 29 | Verse 16] Better than the shield of the mighty, and better than the spear:
[DRA | EN | OT | Sirach | Chapter 29 | Verse 17] It shall fight for thee against thy enemy.
[DRA | EN | OT | Sirach | Chapter 29 | Verse 18] A good man is surety for his neighbour: and he that hath lost shame, will leave him to himself.
[DRA | EN | OT | Sirach | Chapter 29 | Verse 19] Forget not the kindness of thy surety: for he hath given his life for thee.
[DRA | EN | OT | Sirach | Chapter 29 | Verse 20] The sinner and the unclean fleeth from his surety.
[DRA | EN | OT | Sirach | Chapter 29 | Verse 21] A sinner attributeth to himself the goods of his surety: and he that is of an unthankful mind will leave him that delivered him.
[DRA | EN | OT | Sirach | Chapter 29 | Verse 22] A man is surety for his neighbour: and when he hath lost all shame, he shall forsake him.
[DRA | EN | OT | Sirach | Chapter 29 | Verse 23] Evil suretyship hath undone many of good estate, and hath tossed them as a wave of the sea.
[DRA | EN | OT | Sirach | Chapter 29 | Verse 24] It hath made powerful men to go from place to place round about, and they have wandered in strange countries.
[DRA | EN | OT | Sirach | Chapter 29 | Verse 25] A sinner that transgresseth the commandment of the Lord, shall fall into an evil suretyship: and he that undertaketh many things, shall fall into judgment.
[DRA | EN | OT | Sirach | Chapter 29 | Verse 26] Recover thy neighbour according to thy power, and take heed to thyself that thou fall not.
[DRA | EN | OT | Sirach | Chapter 29 | Verse 27] The chief thing for man’s life is water and bread, and clothing, and a house to cover shame.
[DRA | EN | OT | Sirach | Chapter 29 | Verse 28] Better is the poor man’s fare under a roof of boards, than sumptuous cheer abroad in another man’s house.
