[DRA | EN | OT | Sirach | Chapter 22 | Verse 1] The sluggard is pelted with a dirty stone, and all men will speak of his disgrace.
[DRA | EN | OT | Sirach | Chapter 22 | Verse 2] The sluggard is pelted with the dung of oxen: and every one that toucheth him will shake his hands.
[DRA | EN | OT | Sirach | Chapter 22 | Verse 3] A son ill taught is the confusion of the father: and a foolish daughter shall be to his loss.
[DRA | EN | OT | Sirach | Chapter 22 | Verse 4] A wise daughter shall bring an inheritance to her husband: but she that confoundeth, becometh a disgrace to her father.
[DRA | EN | OT | Sirach | Chapter 22 | Verse 5] She that is bold shameth both her father and husband, and will not be inferior to the ungodly: and shall be disgraced by them both.
[DRA | EN | OT | Sirach | Chapter 22 | Verse 6] A tale out of time is like music in mourning: but the stripes and instruction of wisdom are never out of time.
[DRA | EN | OT | Sirach | Chapter 22 | Verse 7] He that teacheth a fool, is like one that glueth a potsherd together.
[DRA | EN | OT | Sirach | Chapter 22 | Verse 8] He that telleth a word to him that heareth not, is like one that waketh a man out of a deep sleep.
[DRA | EN | OT | Sirach | Chapter 22 | Verse 9] He speaketh with one that is asleep, who uttereth wisdom to a fool: and in the end of the discourse he saith: Who is this?
[DRA | EN | OT | Sirach | Chapter 22 | Verse 10] Weep for the dead, for his light hath failed: and weep for the fool, for his understanding faileth.
[DRA | EN | OT | Sirach | Chapter 22 | Verse 11] Weep but a little for the dead, for he is at rest.
[DRA | EN | OT | Sirach | Chapter 22 | Verse 12] For the wicked life of a wicked fool is worse than death.
[DRA | EN | OT | Sirach | Chapter 22 | Verse 13] The mourning for the dead is seven days: but for a fool and an ungodly man all the days of their life.
[DRA | EN | OT | Sirach | Chapter 22 | Verse 14] Talk not much with a fool, and go not with him that hath no sense.
[DRA | EN | OT | Sirach | Chapter 22 | Verse 15] Keep thyself from him, that thou mayst not have trouble, and thou shalt not be defiled with his sin.
[DRA | EN | OT | Sirach | Chapter 22 | Verse 16] Turn away from him, and thou shalt find rest, and shalt not be wearied out with his folly.
[DRA | EN | OT | Sirach | Chapter 22 | Verse 17] What is heavier than lead? and what other name hath he but fool?
[DRA | EN | OT | Sirach | Chapter 22 | Verse 18] Sand and salt, and a mass of iron is easier to bear, than a man without sense, that is both foolish and wicked.
[DRA | EN | OT | Sirach | Chapter 22 | Verse 19] A frame of wood bound together in the foundation of a building, shall not be loosed: so neither shall the heart that is established by advised counsel.
[DRA | EN | OT | Sirach | Chapter 22 | Verse 20] The thought of him that is wise at all times, shall not be depraved by fear.
[DRA | EN | OT | Sirach | Chapter 22 | Verse 21] As pales set in high places, and plasterings made without cost, will not stand against the face of the wind:
[DRA | EN | OT | Sirach | Chapter 22 | Verse 22] So also a fearful heart in the imagination of a fool shall not resist against the violence of fear.
[DRA | EN | OT | Sirach | Chapter 22 | Verse 23] As a fearful heart in the thought of a fool at all times will not fear, so neither shall he that continueth always in the commandments of God.
[DRA | EN | OT | Sirach | Chapter 22 | Verse 24] He that pricketh the eye, bringeth out tears: and he that pricketh the heart, bringeth forth resentment.
[DRA | EN | OT | Sirach | Chapter 22 | Verse 25] He that flingeth a stone at birds, shall drive them away: so he that upbraideth his friend, breaketh friendship.
[DRA | EN | OT | Sirach | Chapter 22 | Verse 26] Although thou hast drawn a sword at a friend, despair not: for there may be a returning. To a friend,
[DRA | EN | OT | Sirach | Chapter 22 | Verse 27] If thou hast opened a sad mouth, fear not, for there may be a reconciliation: except upbraiding, and reproach, and pride, and disclosing of secrets, or a treacherous wound: for in all these cases a friend will flee away.
