[DRA | EN | OT | Sirach | Chapter 50 | Verse 1] Simon the high priest, the son of Onias, who in his life propped up the house, and in his days fortified the temple.
[DRA | EN | OT | Sirach | Chapter 50 | Verse 2] By him also the height of the temple was founded, the double building and the high walls of the temple.
[DRA | EN | OT | Sirach | Chapter 50 | Verse 3] In his days the wells of water flowed out, and they were filled as the sea above measure.
[DRA | EN | OT | Sirach | Chapter 50 | Verse 4] He took care of his nation, and delivered it from destruction.
[DRA | EN | OT | Sirach | Chapter 50 | Verse 5] He prevailed to enlarge the city, and obtained glory in his conversation with the people: and enlarged the entrance of the house and the court.
[DRA | EN | OT | Sirach | Chapter 50 | Verse 6] He shone in his days as the morning star in the midst of a cloud, and as the moon at the full.
[DRA | EN | OT | Sirach | Chapter 50 | Verse 7] And as the sun when it shineth, so did he shine in the temple of God.
[DRA | EN | OT | Sirach | Chapter 50 | Verse 8] And as the rainbow giving light in the bright clouds, and as the flower of roses in the days of the spring, and as the lilies that are on the brink of the water, and as the sweet smelling frankincense in the time of summer.
[DRA | EN | OT | Sirach | Chapter 50 | Verse 9] As a bright Are, and frankincense burning in the fire.
[DRA | EN | OT | Sirach | Chapter 50 | Verse 10] As a massy vessel of gold, adorned with every precious stone.
[DRA | EN | OT | Sirach | Chapter 50 | Verse 11] As an olive tree budding forth, and a cypress tree rearing itself on high, when he put on the robe of glory, and was clothed with the perfection of power.
[DRA | EN | OT | Sirach | Chapter 50 | Verse 12] When he went up to the holy altar, he honoured the vesture of holiness.
[DRA | EN | OT | Sirach | Chapter 50 | Verse 13] And when he took the portions out of the hands of the priests, he himself stood by the altar. And about him was the ring of his brethren: and as the cedar planted in mount Libanus,
[DRA | EN | OT | Sirach | Chapter 50 | Verse 14] And as branches of palm trees, they stood round about him, and all the sons of Aaron in their glory.
[DRA | EN | OT | Sirach | Chapter 50 | Verse 15] And the oblation of the Lord was in their hands, before all the congregation of Israel: and finishing his service, on the altar, to honour the offering of the most high Ring,
[DRA | EN | OT | Sirach | Chapter 50 | Verse 16] He stretched forth his hand to make a libation, and offered of the blood of the grape.
[DRA | EN | OT | Sirach | Chapter 50 | Verse 17] He poured out at the foot of the altar a divine odour to the most high Prince.
[DRA | EN | OT | Sirach | Chapter 50 | Verse 18] Then the sons of Aaron shouted, they sounded with beaten trumpets, and made a great noise to be heard for a remembrance before God.
[DRA | EN | OT | Sirach | Chapter 50 | Verse 19] Then all the people together made haste, and fell down to the earth upon their faces, to adore the Lord their God, and to pray to the Almighty God the most High.
[DRA | EN | OT | Sirach | Chapter 50 | Verse 20] And the singers lifted up their voices. and in the great house the sound of sweet melody was increased.
[DRA | EN | OT | Sirach | Chapter 50 | Verse 21] And the people in prayer besought the Lord the most High, until the worship of the Lord was perfected, and they had finished their office.
[DRA | EN | OT | Sirach | Chapter 50 | Verse 22] Then coming down, he lifted up his hands over all the congregation of the children of Israel, to give glory to God with his lips, and to glory in his name:
[DRA | EN | OT | Sirach | Chapter 50 | Verse 23] And he repeated his prayer, willing to shew the power of God.
[DRA | EN | OT | Sirach | Chapter 50 | Verse 24] And now pray ye to the God of all, who hath done great things in all the earth, who hath increased our days from our mother’s womb, and hath done with us according to his mercy.
[DRA | EN | OT | Sirach | Chapter 50 | Verse 25] May he grant us joyfulness of heart, and that there be peace in our days in Israel for ever:
[DRA | EN | OT | Sirach | Chapter 50 | Verse 26] That Israel may believe that the mercy of God is with us, to deliver us in his days.
[DRA | EN | OT | Sirach | Chapter 50 | Verse 27] There are two nations which my soul abhorreth: and the third is no nation, which I hate:
[DRA | EN | OT | Sirach | Chapter 50 | Verse 28] They that sit on mount Seir, and the Philistines, and the foolish people that dwell in Sichem.
[DRA | EN | OT | Sirach | Chapter 50 | Verse 29] Jesus the son of Sirach, of Jerusalem, hath written in this book the doctrine of wisdom and instruction, who renewed wisdom from his heart.
