[DRA | EN | OT | Sirach | Chapter 28 | Verse 1] He that seeketh to revenge himself, shall find vengeance from the Lord, and he will surely keep his sins in remembrance.
[DRA | EN | OT | Sirach | Chapter 28 | Verse 2] Forgive thy neighbour if he hath hurl thee: and then shall thy sins be forgiven to thee when thou prayest.
[DRA | EN | OT | Sirach | Chapter 28 | Verse 3] Man to man reserveth anger, and doth he seek remedy of God?
[DRA | EN | OT | Sirach | Chapter 28 | Verse 4] He hath no mercy on a man like himself, and doth he entreat for his own sins?
[DRA | EN | OT | Sirach | Chapter 28 | Verse 5] He that is but flesh, nourisheth anger, and doth he ask forgiveness of God? who shall obtain pardon for his sins?
[DRA | EN | OT | Sirach | Chapter 28 | Verse 6] Remember thy last things, and let enmity cease:
[DRA | EN | OT | Sirach | Chapter 28 | Verse 7] For corruption and death hang over in his commandments.
[DRA | EN | OT | Sirach | Chapter 28 | Verse 8] Remember the fear of God, and be not angry with thy neighbour.
[DRA | EN | OT | Sirach | Chapter 28 | Verse 9] Remember the covenant of the most High, and overlook the ignorance of thy neighbour.
[DRA | EN | OT | Sirach | Chapter 28 | Verse 10] Refrain from strife, and thou shalt diminish thy sins:
[DRA | EN | OT | Sirach | Chapter 28 | Verse 11] For a passionate man kindleth strife, and a sinful man will trouble his friends, and bring in debate in the midst of them that are at peace.
[DRA | EN | OT | Sirach | Chapter 28 | Verse 12] For as the wood of the forest is, so the fire burneth: and as a man’s strength is, so shall his anger be, and according to his riches he shall increase his anger.
[DRA | EN | OT | Sirach | Chapter 28 | Verse 13] A hasty contention kindleth a fire: and a hasty quarrel sheddeth blood: and a tongue that beareth witness bringeth death.
[DRA | EN | OT | Sirach | Chapter 28 | Verse 14] If thou blow the spark, it shall burn as a fire: and if thou spit upon it, it shall be quenched: both come out of the mouth.
[DRA | EN | OT | Sirach | Chapter 28 | Verse 15] The whisperer and the double tongued is accursed: for he hath troubled many that were at peace.
[DRA | EN | OT | Sirach | Chapter 28 | Verse 16] The tongue of a third person hath disquieted many, and scattered them from nation to nation.
[DRA | EN | OT | Sirach | Chapter 28 | Verse 17] It hath destroyed the strong cities of the rich, and hath overthrown the houses of great men.
[DRA | EN | OT | Sirach | Chapter 28 | Verse 18] It hath cut in pieces the forces of people, and undone strong nations.
[DRA | EN | OT | Sirach | Chapter 28 | Verse 19] The tongue of a third person hath cast out valiant women, and deprived them of their labours.
[DRA | EN | OT | Sirach | Chapter 28 | Verse 20] He that hearkeneth to it, shall never have rest, neither shall he have a friend in whom he may repose.
[DRA | EN | OT | Sirach | Chapter 28 | Verse 21] The stroke of a whip maketh a blue mark: but the stroke of the tongue will break the bones.
[DRA | EN | OT | Sirach | Chapter 28 | Verse 22] Many have fallen by the edge of the sword, but not so many as have perished by their own tongue.
[DRA | EN | OT | Sirach | Chapter 28 | Verse 23] Blessed is he that is defended from a wicked tongue, that hath not passed into the wrath thereof, and that hath not drawn the yoke thereof, and hath not been bound in its bands.
[DRA | EN | OT | Sirach | Chapter 28 | Verse 24] For its yoke is a yoke of iron: and its bands are bands of brass.
[DRA | EN | OT | Sirach | Chapter 28 | Verse 25] The death thereof is a most evil death: and hell is preferable to it.
[DRA | EN | OT | Sirach | Chapter 28 | Verse 26] Its continuance shall not be for a long time, but it shall possess the ways of the unjust: and the just shall not be burnt with its flame.
