[DRA | EN | OT | Sirach | Chapter 49 | Verse 1] The memory of Josias is like the composition of a sweet smell made by the art of a perfumer:
[DRA | EN | OT | Sirach | Chapter 49 | Verse 2] His remembrance shall be sweet as honey in every mouth, and as music at a banquet of wine.
[DRA | EN | OT | Sirach | Chapter 49 | Verse 3] He was directed by God unto the repentance of the nation, and he took away the abominations of wickedness.
[DRA | EN | OT | Sirach | Chapter 49 | Verse 4] And he directed his heart towards the Lord, and in the days of sinners he strengthened godliness.
[DRA | EN | OT | Sirach | Chapter 49 | Verse 5] Except David, and Ezechias, and Josias, all committed sin.
[DRA | EN | OT | Sirach | Chapter 49 | Verse 6] For the kings of Juda forsook the law of the most High, and despised the fear of God.
[DRA | EN | OT | Sirach | Chapter 49 | Verse 7] So they gave their kingdom to others, and their glory to a strange nation.
[DRA | EN | OT | Sirach | Chapter 49 | Verse 8] They burnt the chosen city of holiness, and made the streets thereof desolate according to the prediction of Jeremias.
[DRA | EN | OT | Sirach | Chapter 49 | Verse 9] For they treated him evil, who was consecrated a prophet from his mother’s womb, to overthrow, and pluck up, and destroy, and to build again, and renew.
[DRA | EN | OT | Sirach | Chapter 49 | Verse 10] It was Ezechiel that saw the glorious vision, which was shewn him upon the chariot of cherubims.
[DRA | EN | OT | Sirach | Chapter 49 | Verse 11] For he made mention of the enemies under the figure of rain, and of doing good to them that shewed right ways.
[DRA | EN | OT | Sirach | Chapter 49 | Verse 12] And may the bones of the twelve prophets spring up out of their place: for they strengthened Jacob, and redeemed themselves by strong faith.
[DRA | EN | OT | Sirach | Chapter 49 | Verse 13] How shall we magnify Zorobabel? for he was as a signet on the right hand;
[DRA | EN | OT | Sirach | Chapter 49 | Verse 14] In like manner Jesus the son of Josedec? who in their days built the house, and set up a holy temple to the Lord, prepared for everlasting glory.
[DRA | EN | OT | Sirach | Chapter 49 | Verse 15] And let Nehemias be a long time remembered, who raised up for us our walls that were cast down, and set up the gates and the bars, who rebuilt our houses.
[DRA | EN | OT | Sirach | Chapter 49 | Verse 16] No man was born upon earth like Henoch: for he also was taken up from the earth.
