[DRA | EN | OT | Sirach | Chapter 9 | Verse 1] Be not jealous over the wife of thy bosom, lest she shew in thy regard the malice of a wicked lesson.
[DRA | EN | OT | Sirach | Chapter 9 | Verse 2] Give not the power of thy soul to a woman, lest she enter upon thy strength, and thou be confounded.
[DRA | EN | OT | Sirach | Chapter 9 | Verse 3] Look not upon a woman that hath a mind for many: lest thou fall into her snares.
[DRA | EN | OT | Sirach | Chapter 9 | Verse 4] Use not much the company of her that is a dancer, and hearken not to her, lest thou perish by the force of her charms.
[DRA | EN | OT | Sirach | Chapter 9 | Verse 5] Gaze not upon a maiden, lest her beauty be a stumblingblock to thee.
[DRA | EN | OT | Sirach | Chapter 9 | Verse 6] Give not thy soul to harlots in any point: lest thou destroy thyself and thy inheritance.
[DRA | EN | OT | Sirach | Chapter 9 | Verse 7] Look not round about thee in the of the city, nor wander up and down in the streets thereof.
[DRA | EN | OT | Sirach | Chapter 9 | Verse 8] Turn away thy face from a woman dressed up, and gaze not about upon another’s beauty.
[DRA | EN | OT | Sirach | Chapter 9 | Verse 9] For many have perished by the beauty of a woman, and hereby lust is enkindled as a fire.
[DRA | EN | OT | Sirach | Chapter 9 | Verse 10] Every woman that is a harlot, shall be trodden upon as dung in the way.
[DRA | EN | OT | Sirach | Chapter 9 | Verse 11] Many by admiring the beauty of another man’s wife, have become reprobate, for her conversation burneth as fire.
[DRA | EN | OT | Sirach | Chapter 9 | Verse 12] Sit not at all with another man’s wife, nor repose upon the bed with her:
[DRA | EN | OT | Sirach | Chapter 9 | Verse 13] And strive not with her over wine, lest thy heart decline towards her, and by thy blood thou fall into destruction.
[DRA | EN | OT | Sirach | Chapter 9 | Verse 14] Forsake not an old friend, for the new will not be like to him.
[DRA | EN | OT | Sirach | Chapter 9 | Verse 15] A new friend is as new wine: it shall grow old, and thou shalt drink it with pleasure.
[DRA | EN | OT | Sirach | Chapter 9 | Verse 16] Envy not the glory and riches of a sinner: for thou knowest not what his ruin shall be.
[DRA | EN | OT | Sirach | Chapter 9 | Verse 17] Be not pleased with the wrong done by the unjust, knowing that even to hell the wicked shall not please.
[DRA | EN | OT | Sirach | Chapter 9 | Verse 18] Keep thee far from the man that hath power to kill, so thou shalt not suspect the fear of death.
