[DRA | EN | OT | Sirach | Chapter 20 | Verse 1] How much better is it to reprove, than to be angry, and not to hinder him that confesseth in prayer.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 2] The lust of an eunuch shall devour a young maiden:
[DRA | EN | OT | Sirach | Chapter 20 | Verse 3] So is he that by violence executeth unjust judgment.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 4] How good is it, when thou art reproved, to shew repentance! for so thou shalt escape wilful sin.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 5] There is one that holdeth his peace, that is found wise: and there is another that is hateful, that is bold in speech.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 6] There is one that holdeth his peace, because he knoweth not what to say: and there is another that holdeth his peace, knowing the proper time.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 7] A wise man will hold his peace till he see opportunity: but a babbler, and a fool, will regard no time.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 8] He that useth many words shall hurt his own soul: and he that taketh authority to himself unjustly shall be hated.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 9] There is success in evil things to a man without discipline, and there is a finding that turneth to loss.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 10] There is a gift that is not profitable: and there is a gift, the recompense of which is double.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 11] There is an abasement because of glory: and there is one that shall lift up his head from a low estate.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 12] There is that buyeth much for a small price, and restoreth the same sevenfold.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 13] A man wise in words shall make himself beloved: but the graces of fools shall be poured out.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 14] The gift of the fool shall do thee no good: for his eyes are sevenfold.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 15] He will give a few things, and upbraid much: and the opening of his mouth is the kindling of a fire.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 16] Today a man lendeth, and tomorrow he asketh it again: such a man as this is hateful.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 17] A fool shall have no friend, and there shall be no thanks for his good deeds.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 18] For they that eat his bread, are of a false tongue. How often, and how many will laugh him to scorn!
[DRA | EN | OT | Sirach | Chapter 20 | Verse 19] For he doth not distribute with right understanding that which was to be had: in like manner also that which was not to be had.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 20] The slipping of a false tongue is as one that falleth on the pavement: so the fall of the wicked shall come speedily.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 21] A man without grace is as a vain fable, it shall be continually in the mouth of the unwise.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 22] A parable coming out, of a fool’s mouth shall be rejected: for he doth not speak it in due season.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 23] There is that is hindered from sinning through want, and in his rest he shall be pricked.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 24] There is that will destroy his own soul through shamefacedness, and by occasion of an unwise person he will destroy it: and by respect of person he will destroy himself.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 25] There is that for bashfulness promiseth to his friend, and maketh him his enemy for nothing.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 26] A lie is a foul blot in a man, and yet it will be continually in the mouth of men without discipline.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 27] A thief is better than a man that is always lying: but both of them shall inherit destruction.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 28] The manners of lying men are without honour: and their confusion is with them without ceasing.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 29] A wise man shall advance himself with his words, and a prudent man shall please the great ones.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 30] He that tilleth his land shall make a high heap of corn: and he that worketh justice shall be exalted: and he that pleaseth great men shall escape iniquity.
[DRA | EN | OT | Sirach | Chapter 20 | Verse 31] Presents and gifts blind the eyes of judges, and make them dumb in the mouth, so that they cannot correct.
