[DRA | EN | OT | Sirach | Chapter 2 | Verse 1] Son, when thou comest to the service of God, stand in justice and in fear, and prepare thy soul for temptation.
[DRA | EN | OT | Sirach | Chapter 2 | Verse 2] Humble thy heart, and endure: incline thy ear, and receive the words of understanding: and make not haste in the time of clouds.
[DRA | EN | OT | Sirach | Chapter 2 | Verse 3] Wait on God with patience: join thyself to God, and endure, that thy life may be increased in the latter end.
[DRA | EN | OT | Sirach | Chapter 2 | Verse 4] Take all that shall be brought upon thee: and in thy sorrow endure, and in thy humiliation keep patience.
[DRA | EN | OT | Sirach | Chapter 2 | Verse 5] For gold and silver are tried in the fire, but acceptable men in the furnace of humiliation.
[DRA | EN | OT | Sirach | Chapter 2 | Verse 6] Believe God, and he will recover thee: and direct thy way, and trust in him. Keep his fear, and grow old therein.
[DRA | EN | OT | Sirach | Chapter 2 | Verse 7] Ye that fear the Lord, wait for his mercy: and go not aside from him, lest ye fall.
[DRA | EN | OT | Sirach | Chapter 2 | Verse 8] Ye that fear the Lord, believe him: and your reward shall not be made void.
[DRA | EN | OT | Sirach | Chapter 2 | Verse 9] Ye that fear the Lord, hope in him: and mercy shall come to you for your delight.
[DRA | EN | OT | Sirach | Chapter 2 | Verse 10] Ye that fear the Lord, love him, and your hearts shall be enlightened.
[DRA | EN | OT | Sirach | Chapter 2 | Verse 11] My children behold the generations of men: and know ye that no one hath hoped in the Lord, and hath been confounded.
[DRA | EN | OT | Sirach | Chapter 2 | Verse 12] For who hath continued in his commandment, and hath been forsaken? or who hath called upon him, and he despised him?
[DRA | EN | OT | Sirach | Chapter 2 | Verse 13] For God is compassionate and merciful, and will forgive sins in the day of tribulation: and he is a protector to all that seek him in truth.
[DRA | EN | OT | Sirach | Chapter 2 | Verse 14] Woe to them that are of a double heart and to wicked lips, and to the hands that do evil, and to the sinner that goeth on the earth two ways.
[DRA | EN | OT | Sirach | Chapter 2 | Verse 15] Woe to them that are fainthearted, who believe not God: and therefore they shall not be protected by him.
[DRA | EN | OT | Sirach | Chapter 2 | Verse 16] Woe to them that have lost patience, and that have forsaken the right ways, and have gone aside into crooked ways.
[DRA | EN | OT | Sirach | Chapter 2 | Verse 17] And what will they do, when the Lord shall begin to examine?
[DRA | EN | OT | Sirach | Chapter 2 | Verse 18] They that fear the Lord, will not be incredulous to his word: and they that love him, will keep his way.
