[DRA | EN | OT | Sirach | Chapter 23 | Verse 1] O Lord, father, and sovereign ruler of my life, leave me not to their counsel: nor suffer me to fall by them.
[DRA | EN | OT | Sirach | Chapter 23 | Verse 2] Who will set scourges over my thoughts, and the discipline of wisdom over my heart, that they spare me not in their ignorances, and that their sins may not appear:
[DRA | EN | OT | Sirach | Chapter 23 | Verse 3] Lest my ignorance increase, and my offences be multiplied, and my sins abound, and I fall before my adversaries, and my enemy rejoice over me?
[DRA | EN | OT | Sirach | Chapter 23 | Verse 4] O Lord, father, and God of my life, leave me not to their devices.
[DRA | EN | OT | Sirach | Chapter 23 | Verse 5] Give me not haughtiness of my eyes, and turn away from me all coveting.
[DRA | EN | OT | Sirach | Chapter 23 | Verse 6] Take from me the greediness of the belly, and let not the lusts of the flesh take hold of me, and give me not over to a shameless and foolish mind.
[DRA | EN | OT | Sirach | Chapter 23 | Verse 7] Hear, O ye children, the discipline of the mouth: and he that will keep it shall not perish by his lips, nor be brought to fall into most wicked works.
[DRA | EN | OT | Sirach | Chapter 23 | Verse 8] A sinner is caught in his own vanity, and the proud and the evil speakers shall fall thereby.
[DRA | EN | OT | Sirach | Chapter 23 | Verse 9] Let not thy mouth be accustomed to swearing: for in it there are many falls.
[DRA | EN | OT | Sirach | Chapter 23 | Verse 10] And let not the naming of God be usual in thy mouth, and meddle not with the names of saints, for thou shalt not escape free from them.
[DRA | EN | OT | Sirach | Chapter 23 | Verse 11] For as a slave daily put to the question, is never without a blue mark: so every one that sweareth, and nameth, shall not be wholly pure from sin.
[DRA | EN | OT | Sirach | Chapter 23 | Verse 12] A man that sweareth much, shall be filled with iniquity, and a scourge shall not depart from his house.
[DRA | EN | OT | Sirach | Chapter 23 | Verse 13] And if he make it void, his sin shall be upon him: and if he dissemble it, he offendeth double:
[DRA | EN | OT | Sirach | Chapter 23 | Verse 14] And if he swear in vain, he shall not be justified: for his house shall be filled with his punishment.
[DRA | EN | OT | Sirach | Chapter 23 | Verse 15] There is also another speech opposite to death, let it not be found in the inheritance of Jacob.
[DRA | EN | OT | Sirach | Chapter 23 | Verse 16] For from the merciful all these things shall be taken away, and they shall not wallow in sins.
[DRA | EN | OT | Sirach | Chapter 23 | Verse 17] Let not thy mouth be accustomed to indiscreet speech: for therein is the word of sin.
[DRA | EN | OT | Sirach | Chapter 23 | Verse 18] Remember thy father and thy mother, for thou sittest is the midst of great men:
[DRA | EN | OT | Sirach | Chapter 23 | Verse 19] Lest God forget thee in their sight, and thou, by thy daily custom, be infatuated and suffer reproach: and wish that thou hadst not been born, and curse the day of thy nativity.
[DRA | EN | OT | Sirach | Chapter 23 | Verse 20] The man that is accustomed to opprobrious words, will never be corrected all the days of his life.
[DRA | EN | OT | Sirach | Chapter 23 | Verse 21] Two sorts of men multiply sins, and the third bringeth wrath and destruction.
[DRA | EN | OT | Sirach | Chapter 23 | Verse 22] A hot soul is a burning fire, it will never be quenched, till it devour some thing.
[DRA | EN | OT | Sirach | Chapter 23 | Verse 23] And a man that is wicked in the mouth of his flesh, will not leave off till he hath kindled a fire.
[DRA | EN | OT | Sirach | Chapter 23 | Verse 24] To a man that is a fornicator all bread is sweet, he will not be weary of sinning unto the end.
[DRA | EN | OT | Sirach | Chapter 23 | Verse 25] Every man that passeth beyond his own bed, despising his own soul, and saying: Who seeth me?
[DRA | EN | OT | Sirach | Chapter 23 | Verse 26] Darkness compasseth me about, and the walls cover me, and no man seeth me: whom do I fear? the most High will not remember my sins.
[DRA | EN | OT | Sirach | Chapter 23 | Verse 27] And he understandeth not that his eye seeth all things, for such a man’s fear driveth from him the fear of God, and the eyes of men fearing him:
