[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 1] فَٱثْبُتُوا إِذًا فِي ٱلْحُرِّيَّةِ ٱلَّتِي قَدْ حَرَّرَنَا ٱلْمَسِيحُ بِهَا، وَلَا تَرْتَبِكُوا أَيْضًا بِنِيرِ عُبُودِيَّةٍ.
[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 2] هَا أَنَا بُولُسُ أَقُولُ لَكُمْ: إِنَّهُ إِنِ ٱخْتَتَنْتُمْ لَا يَنْفَعُكُمُ ٱلْمَسِيحُ شَيْئًا!
[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 3] لَكِنْ أَشْهَدُ أَيْضًا لِكُلِّ إِنْسَانٍ مُخْتَتِنٍ أَنَّهُ مُلْتَزِمٌ أَنْ يَعْمَلَ بِكُلِّ ٱلنَّامُوسِ.
[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 4] قَدْ تَبَطَّلْتُمْ عَنِ ٱلْمَسِيحِ أَيُّهَا ٱلَّذِينَ تَتَبَرَّرُونَ بِٱلنَّامُوسِ. سَقَطْتُمْ مِنَ ٱلنِّعْمَةِ.
[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 5] فَإِنَّنَا بِٱلرُّوحِ مِنَ ٱلْإِيمَانِ نَتَوَقَّعُ رَجَاءَ بِرٍّ.
[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 6] لِأَنَّهُ فِي ٱلْمَسِيحِ يَسُوعَ لَا ٱلْخِتَانُ يَنْفَعُ شَيْئًا وَلَا ٱلْغُرْلَةُ، بَلِ ٱلْإِيمَانُ ٱلْعَامِلُ بِٱلْمَحَبَّةِ.
[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 7] كُنْتُمْ تَسْعَوْنَ حَسَنًا. فَمَنْ صَدَّكُمْ حَتَّى لَا تُطَاوِعُوا لِلْحَقِّ؟
[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 8] هَذِهِ ٱلْمُطَاوَعَةُ لَيْسَتْ مِنَ ٱلَّذِي دَعَاكُمْ.
[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 9] «خَمِيرَةٌ صَغِيرَةٌ تُخَمِّرُ ٱلْعَجِينَ كُلَّهُ».
[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 10] وَلَكِنَّنِي أَثِقُ بِكُمْ فِي ٱلرَّبِّ أَنَّكُمْ لَا تَفْتَكِرُونَ شَيْئًا آخَرَ. وَلَكِنَّ ٱلَّذِي يُزْعِجُكُمْ سَيَحْمِلُ ٱلدَّيْنُونَةَ أَيَّ مَنْ كَانَ.
[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 11] وَأَمَّا أَنَا أَيُّهَا ٱلْإِخْوَةُ فَإِنْ كُنْتُ بَعْدُ أَكْرِزُ بِٱلْخِتَانِ، فَلِمَاذَا أُضْطَهَدُ بَعْدُ؟ إِذًا عَثْرَةُ ٱلصَّلِيبِ قَدْ بَطَلَتْ.
[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 12] يَالَيْتَ ٱلَّذِينَ يُقْلِقُونَكُمْ يَقْطَعُونَ أَيْضًا!
[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 13] فَإِنَّكُمْ إِنَّمَا دُعِيتُمْ لِلْحُرِّيَّةِ أَيُّهَا ٱلْإِخْوَةُ. غَيْرَ أَنَّهُ لَا تُصَيِّرُوا ٱلْحُرِّيَّةَ فُرْصَةً لِلْجَسَدِ، بَلْ بِٱلْمَحَبَّةِ ٱخْدِمُوا بَعْضُكُمْ بَعْضًا.
[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 14] لِأَنَّ كُلَّ ٱلنَّامُوسِ فِي كَلِمَةٍ وَاحِدَةٍ يُكْمَلُ: «تُحِبُّ قَرِيبَكَ كَنَفْسِكَ».
[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 15] فَإِذَا كُنْتُمْ تَنْهَشُونَ وَتَأْكُلُونَ بَعْضُكُمْ بَعْضًا، فَٱنْظُرُوا لِئَلَّا تُفْنُوا بَعْضُكُمْ بَعْضًا. الروح والجسد
[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 16] وَإِنَّمَا أَقُولُ: ٱسْلُكُوا بِٱلرُّوحِ فَلَا تُكَمِّلُوا شَهْوَةَ ٱلْجَسَدِ.
