[GNV | EN | OT | Amos | Chapter 7 | Verse 1] Thus hath the Lord God shewed vnto mee, and beholde, he formed grashoppers in the beginning of ye shooting vp of the latter grouth: and loe, it was in the latter grouth after the Kings mowing.
[GNV | EN | OT | Amos | Chapter 7 | Verse 2] And when they had made an ende of eating the grasse of the land, then I saide, O Lord God, spare, I beseeche thee: who shall raise vp Iaakob? for he is small.
[GNV | EN | OT | Amos | Chapter 7 | Verse 3] So the Lord repented for this. It shall not be, saith the Lord.
[GNV | EN | OT | Amos | Chapter 7 | Verse 4] Thus also hath the Lord God shewed vnto me, and behold, the Lord God called to iudgement by fire, and it deuoured the great deepe, and did eate vp a part.
[GNV | EN | OT | Amos | Chapter 7 | Verse 5] Then said I, O Lord God, cease, I beseeche thee: who shall raise vp Iaakob? for he is small.
[GNV | EN | OT | Amos | Chapter 7 | Verse 6] So the Lord repented for this. This also shall not be, saith the Lord God.
[GNV | EN | OT | Amos | Chapter 7 | Verse 7] Thus againe he shewed me, and behold, the Lord stoode vpon a wall made by line with a line in his hand.
[GNV | EN | OT | Amos | Chapter 7 | Verse 8] And the Lord saide vnto me, Amos, what seest thou? And I said, A line. Then said the Lord, Beholde, I wil set a line in the middes of my people Israel, and wil passe by them no more.
[GNV | EN | OT | Amos | Chapter 7 | Verse 9] And the hye places of Izhak shalbe desolate, and the temples of Israel shalbe destroyed: and I wil rise against the house of Ieroboam with the sworde.
[GNV | EN | OT | Amos | Chapter 7 | Verse 10] Then Amaziah the Priest of Beth-el sent to Ieroboam King of Israel, saying, Amos hath conspired against thee in the middes of the house of Israel: the lande is not able to beare all his wordes.
[GNV | EN | OT | Amos | Chapter 7 | Verse 11] For thus Amos saith, Ieroboam shall die by the sworde, and Israel shalbe led away captiue out of their owne land.
[GNV | EN | OT | Amos | Chapter 7 | Verse 12] Also Amaziah sayde vnto Amos, O thou the Seer, goe, flee thou away into the land of Iudah, and there eate thy bread and prophecie there.
[GNV | EN | OT | Amos | Chapter 7 | Verse 13] But prophecie no more at Beth-el: for it is the Kings chappel, and it is the Kings court.
[GNV | EN | OT | Amos | Chapter 7 | Verse 14] Then answered Amos, and said to Amaziah, I was no Prophet, neither was I a prophets sonne, but I was an herdman, and a gatherer of wilde figs.
[GNV | EN | OT | Amos | Chapter 7 | Verse 15] And the Lord tooke me as I followed the flocke, and the Lord said vnto me, Go, prophecie vnto my people Israel.
[GNV | EN | OT | Amos | Chapter 7 | Verse 16] Now therefore heare thou the word of the Lord. Thou sayest, Prophecie not against Israel, and speake nothing against the house of Izhak.
[GNV | EN | OT | Amos | Chapter 7 | Verse 17] Therefore thus sayth the Lord, Thy wife shall be an harlot in the citie, and thy sonnes and thy daughters shall fall by the sword, and thy land shall be deuided by line: and thou shalt die in a polluted land, and Israel shall surely go into captiuitie forth of his land.
