[GNV | EN | OT | Amos | Chapter 4 | Verse 1] Heare this worde, ye kine of Bashan that are in the mountaine of Samaria, which oppresse the poore, and destroy the needie, and they say to their masters, Bring, and let vs drinke.
[GNV | EN | OT | Amos | Chapter 4 | Verse 2] The Lord God hath sworne by his holines, that loe, the dayes shall come vpon you, that hee wil take you away with thornes, and your posteritie with fish hookes.
[GNV | EN | OT | Amos | Chapter 4 | Verse 3] And ye shall goe out at the breaches euery kow forward: and ye shall cast your selues out of the palace, saith the Lord.
[GNV | EN | OT | Amos | Chapter 4 | Verse 4] Come to Beth-el, and transgresse: to Gilgal, and multiplie transgression, and bring your sacrifices in the morning, and your tithes after three yeres.
[GNV | EN | OT | Amos | Chapter 4 | Verse 5] And offer a thankesgiuing of leauen, publish and proclaime the free offrings: for this liketh you, O ye children of Israel, saith the Lord God.
[GNV | EN | OT | Amos | Chapter 4 | Verse 6] And therefore haue I giuen you cleannes of teeth in all your cities, and scarcenesse of bread in all your places, yet haue ye not returned vnto me, saith the Lord.
[GNV | EN | OT | Amos | Chapter 4 | Verse 7] And also I haue withholden the raine from you, when there were yet three moneths to the haruest, and I caused it to raine vpon one citie, and haue not caused it to raine vpon another citie: one piece was rained vpon, and the piece whereupon it rained not, withered.
[GNV | EN | OT | Amos | Chapter 4 | Verse 8] So two or three cities wandred vnto one citie to drinke water, but they were not satisfied: yet haue ye not returned vnto me, saith the Lord.
[GNV | EN | OT | Amos | Chapter 4 | Verse 9] I haue smitten you with blasting, and mildewe: your great gardens and your vineyardes, and your figtrees, and your oliue trees did the palmer worme deuoure: yet haue ye not returned vnto me, saith the Lord.
[GNV | EN | OT | Amos | Chapter 4 | Verse 10] Pestilence haue I sent among you, after the maner of Egypt: your yong men haue I slaine with the sworde, and haue taken away your horses: and I haue made the stinke of your tentes to come vp euen into your nostrels: yet haue yee not returned vnto me, saith the Lord.
[GNV | EN | OT | Amos | Chapter 4 | Verse 11] I haue ouerthrowe you, as God ouerthrew Sodom and Gomorah: and ye were as a firebrand pluckt out of the burning: yet haue ye not returned vnto me, saith the Lord.
[GNV | EN | OT | Amos | Chapter 4 | Verse 12] Therefore, thus wil I do vnto thee, O Israel: and because I wil doe this vnto thee, prepare to meete thy God, O Israel.
[GNV | EN | OT | Amos | Chapter 4 | Verse 13] For lo, he that formeth the mountaines, and createth the winde, and declareth vnto man what is his thought: which maketh the morning darkenesse, and walketh vpon the hie places of the earth, the Lord God of hostes is his Name.
