[DRA | EN | OT | Zechariah | Chapter 7 | Verse 1] And it came to pass in the fourth year of king Darius, that the word of the Lord came to Zacharias, in the fourth day of the ninth month, which is Casleu.
[DRA | EN | OT | Zechariah | Chapter 7 | Verse 2] When Sarasar, and Rogommelech, and the men that were with him, sent to the house of God, to entreat the face of the Lord:
[DRA | EN | OT | Zechariah | Chapter 7 | Verse 3] To speak to the priests of the house of the Lord of hosts, and to the prophets, saying: Must I weep in the fifth month, or must I sanctify myself as I have now done for many years?
[DRA | EN | OT | Zechariah | Chapter 7 | Verse 4] And the word of the Lord of hosts came to me, saying:
[DRA | EN | OT | Zechariah | Chapter 7 | Verse 5] Speak to all the people of the land, and to the priests, saying: When you fasted, and mourned in the fifth and the seventh month for these seventy years: did you keep a fast unto me?
[DRA | EN | OT | Zechariah | Chapter 7 | Verse 6] And when you did eat and drink, did you not eat for yourselves, and drink for yourselves?
[DRA | EN | OT | Zechariah | Chapter 7 | Verse 7] Are not these the words which the Lord spoke by the hand of the former prophets, when Jerusalem as yet was inhabited, and was wealthy, both itself and the cities round about it, and there were inhabitants towards the south, and in the plain?
[DRA | EN | OT | Zechariah | Chapter 7 | Verse 8] And the word of the Lord came to Zacharias, saying:
[DRA | EN | OT | Zechariah | Chapter 7 | Verse 9] Thus saith the Lord of hosts, saying: Judge ye true judgment, and shew ye mercy and compassion every man to his brother.
[DRA | EN | OT | Zechariah | Chapter 7 | Verse 10] And oppress not the widow, and the fatherless, and the stranger, and the poor: and let not a man devise evil in his heart against his brother.
[DRA | EN | OT | Zechariah | Chapter 7 | Verse 11] But they would not hearken, and they turned away the shoulder to depart: and they stopped their ears, not to hear.
[DRA | EN | OT | Zechariah | Chapter 7 | Verse 12] And they made their heart as the adamant stone, lest they should hear the law, and the words which the Lord of hosts sent in his spirit by the hand of the former prophets: so a great indignation came from the Lord of hosts.
[DRA | EN | OT | Zechariah | Chapter 7 | Verse 13] And it came to pass that as he spoke, and they heard not: so shall they cry, and I will not hear, saith the Lord of hosts.
[DRA | EN | OT | Zechariah | Chapter 7 | Verse 14] And I dispersed them throughout all kingdoms, which they know not: and the land was left desolate behind them, so that no man passed through or returned: and they changed the delightful land into a wilderness.
