[DRA | EN | OT | Zechariah | Chapter 1 | Verse 1] In the eighth month, in the second year of king Darius, the word of the Lord came to Zacharias the son of Barachias, the son of Addo, the prophet, saying:
[DRA | EN | OT | Zechariah | Chapter 1 | Verse 2] The Lord hath been exceeding angry with your fathers.
[DRA | EN | OT | Zechariah | Chapter 1 | Verse 3] And thou shalt say to them: Thus saith the Lord of hosts: Turn ye to me, saith the Lord of hosts: and I will turn to you, saith the Lord of hosts.
[DRA | EN | OT | Zechariah | Chapter 1 | Verse 4] Be not as your fathers, to whom the former prophets have cried, saying: Thus saith the Lord of hosts: Turn ye from your evil ways, and from your wicked thoughts: but they did not give ear, neither did they hearken to me, saith the Lord.
[DRA | EN | OT | Zechariah | Chapter 1 | Verse 5] Your fathers, where are they? and the prophets, shall they live always?
[DRA | EN | OT | Zechariah | Chapter 1 | Verse 6] But yet my words, and my ordinances, which I gave in charge to my servants the prophets, did they not take hold of your fathers, and they returned, and said: As the Lord of hosts thought to do to us according to our ways, and according to our devices, so he hath done to us.
[DRA | EN | OT | Zechariah | Chapter 1 | Verse 7] In the four and twentieth day of the eleventh month which is called Sabath, in the second year of Darius, the word of the Lord came to Zacharias the son of Barachias, the son of Addo, the prophet, saying:
[DRA | EN | OT | Zechariah | Chapter 1 | Verse 8] I saw by night, and behold a man riding upon a red horse, and he stood among the myrtle trees, that were in the bottom: and behind him were horses, red, speckled, and white.
[DRA | EN | OT | Zechariah | Chapter 1 | Verse 9] And I said: What are these, my Lord? and the angel that spoke in me, said to me: I will shew thee what these are:
[DRA | EN | OT | Zechariah | Chapter 1 | Verse 10] And the man that stood among the myrtle trees answered, and said: These are they, whom the Lord hath sent to walk through the earth.
[DRA | EN | OT | Zechariah | Chapter 1 | Verse 11] And they answered the angel of the Lord, that stood among the myrtle trees, and said: We have walked through the earth, and behold all the earth is inhabited, and is at rest.
[DRA | EN | OT | Zechariah | Chapter 1 | Verse 12] And the angel of the Lord answered, and said: O Lord of hosts, how long wilt thou not have mercy on Jerusalem, and on the cities of Juda, with which thou hast been angry? this is now the seventieth year.
[DRA | EN | OT | Zechariah | Chapter 1 | Verse 13] And the Lord answered the angel, that spoke in me, good words, comfortable words.
[DRA | EN | OT | Zechariah | Chapter 1 | Verse 14] And the angel that spoke in me, said to me: Cry thou, saying: Thus saith the Lord of hosts: I am zealous for Jerusalem, and Sion with a great zeal.
[DRA | EN | OT | Zechariah | Chapter 1 | Verse 15] And I am angry with a great anger with the wealthy nations: for I was angry a little, but they helped forward the evil.
[DRA | EN | OT | Zechariah | Chapter 1 | Verse 16] Therefore thus saith the Lord: I will return to Jerusalem in mercies: my house shall be built in it, saith the Lord of hosts: and the building line shall be stretched forth upon Jerusalem.
[DRA | EN | OT | Zechariah | Chapter 1 | Verse 17] Cry yet, saying: Thus saith the Lord of hosts: My cities shall yet flow with good things: and the Lord will yet comfort Sion, and he will yet choose Jerusalem.
