[DRA | EN | OT | Zechariah | Chapter 4 | Verse 1] And the angel that spoke in me came again: and he waked me, as a man that is wakened out of his sleep.
[DRA | EN | OT | Zechariah | Chapter 4 | Verse 2] And he said to me: What seest thou? And I said: I have looked, and behold a candlestick all of gold, and its lamp upon the top of it: and the seven lights thereof upon it: and seven funnels for the lights that were upon the top thereof.
[DRA | EN | OT | Zechariah | Chapter 4 | Verse 3] And two olive trees over it: one upon the right side of the lamp, and the other upon the left side thereof.
[DRA | EN | OT | Zechariah | Chapter 4 | Verse 4] And I answered, and said to the angel that spoke in me, saying: What are these things, my lord?
[DRA | EN | OT | Zechariah | Chapter 4 | Verse 5] And the angel that spoke in me answered, and said to me: Knowest thou not what these things are? And I said: No, my lord.
[DRA | EN | OT | Zechariah | Chapter 4 | Verse 6] And he answered, and spoke to me, saying: This is the word of the Lord to Zorobabel, saying: Not with an army, nor by might, but by my spirit, saith the Lord of hosts.
[DRA | EN | OT | Zechariah | Chapter 4 | Verse 7] Who art thou, O great mountain, before Zorobabel? thou shalt become a plain: and he shall bring out the chief stone, and shall give equal grace to the grace thereof.
[DRA | EN | OT | Zechariah | Chapter 4 | Verse 8] And the word of the Lord came to me, saying:
[DRA | EN | OT | Zechariah | Chapter 4 | Verse 9] The hands of Zorobabel have laid the foundations of this house, and his hands shall finish it: and you shall know that the Lord of hosts hath sent me to you.
[DRA | EN | OT | Zechariah | Chapter 4 | Verse 10] For who hath despised little days? and they shall rejoice, and shall see the tin plummet in the hand of Zorobabel. These are the seven eyes of the Lord, that run to and fro through the whole earth.
[DRA | EN | OT | Zechariah | Chapter 4 | Verse 11] And I answered, and said to him: What are these two olive trees upon the right side of the candlestick, and upon the left side thereof?
[DRA | EN | OT | Zechariah | Chapter 4 | Verse 12] And I answered again, and said to him: What are the two olive branches, that are by the two golden beaks, in which are the funnels of gold?
[DRA | EN | OT | Zechariah | Chapter 4 | Verse 13] And he spoke to me, saying: Knowest thou not what these are? And I said: No, my lord.
[DRA | EN | OT | Zechariah | Chapter 4 | Verse 14] And he said: These are two sons of oil who stand before the Lord of the whole earth.
