[KJV | EN | OT | Isaiah | Chapter 17 | Verse 1] The burden of Damascus. Behold, Damascus is taken away from being a city, And it shall be a ruinous heap.
[KJV | EN | OT | Isaiah | Chapter 17 | Verse 2] The cities of Aroer are forsaken: They shall be for flocks, Which shall lie down, and none shall make them afraid.
[KJV | EN | OT | Isaiah | Chapter 17 | Verse 3] The fortress also shall cease from Ephraim, And the kingdom from Damascus, and the remnant of Syria: They shall be as the glory of the children of Israel, saith the Lord of hosts.
[KJV | EN | OT | Isaiah | Chapter 17 | Verse 4] And in that day it shall come to pass, That the glory of Jacob shall be made thin, And the fatness of his flesh shall wax lean.
[KJV | EN | OT | Isaiah | Chapter 17 | Verse 5] And it shall be as when the harvestman gathereth the corn, And reapeth the ears with his arm; And it shall be as he that gathereth ears in the valley of Rephaim.
[KJV | EN | OT | Isaiah | Chapter 17 | Verse 6] Yet gleaning grapes shall be left in it, as the shaking of an olive tree, Two or three berries in the top of the uppermost bough, Four or five in the outmost fruitful branches thereof, Saith the Lord God of Israel.
[KJV | EN | OT | Isaiah | Chapter 17 | Verse 7] At that day shall a man look to his Maker, And his eyes shall have respect to the Holy One of Israel.
[KJV | EN | OT | Isaiah | Chapter 17 | Verse 8] And he shall not look to the altars, the work of his hands, Neither shall respect that which his fingers have made, Either the groves, or the images.
[KJV | EN | OT | Isaiah | Chapter 17 | Verse 9] In that day shall his strong cities be As a forsaken bough, and an uppermost branch, Which they left because of the children of Israel: And there shall be desolation.
[KJV | EN | OT | Isaiah | Chapter 17 | Verse 10] Because thou hast forgotten the God of thy salvation, And hast not been mindful of the rock of thy strength, Therefore shalt thou plant pleasant plants, And shalt set it with strange slips:
[KJV | EN | OT | Isaiah | Chapter 17 | Verse 11] In the day shalt thou make thy plant to grow, And in the morning shalt thou make thy seed to flourish: But the harvest shall be a heap in the day of grief and of desperate sorrow.
[KJV | EN | OT | Isaiah | Chapter 17 | Verse 12] Woe to the multitude of many people, Which make a noise like the noise of the seas; And to the rushing of nations, That make a rushing like the rushing of mighty waters.
[KJV | EN | OT | Isaiah | Chapter 17 | Verse 13] The nations shall rush like the rushing of many waters: But God shall rebuke them, and they shall flee far off, And shall be chased as the chaff of the mountains before the wind, And like a rolling thing before the whirlwind.
[KJV | EN | OT | Isaiah | Chapter 17 | Verse 14] And behold at eveningtide trouble; And before the morning he is not. This is the portion of them that spoil us, And the lot of them that rob us.
