[KJV | EN | OT | Isaiah | Chapter 40 | Verse 1] Comfort ye, comfort ye my people, saith your God.
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 2] Speak ye comfortably to Jerusalem, and cry unto her, That her warfare is accomplished, That her iniquity is pardoned: For she hath received of the Lord’s hand double for all her sins.
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 3] The voice of him that crieth in the wilderness, Prepare ye the way of the Lord, Make straight in the desert a highway for our God.
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 4] Every valley shall be exalted, And every mountain and hill shall be made low: And the crooked shall be made straight, And the rough places plain:
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 5] And the glory of the Lord shall be revealed, And all flesh shall see it together: For the mouth of the Lord hath spoken it.
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 6] The voice said, Cry. And he said, What shall I cry? All flesh is grass, And all the goodliness thereof is as the flower of the field:
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 7] The grass withereth, the flower fadeth: Because the spirit of the Lord bloweth upon it: Surely the people is grass.
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 8] The grass withereth, the flower fadeth: But the word of our God shall stand for ever.
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 9] O Zion, that bringest good tidings, get thee up into the high mountain; O Jerusalem, that bringest good tidings, lift up thy voice with strength; Lift it up, be not afraid; Say unto the cities of Judah, Behold your God.
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 10] Behold, the Lord God will come with strong hand, And his arm shall rule for him: Behold, his reward is with him, And his work before him.
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 11] He shall feed his flock like a shepherd: He shall gather the lambs with his arm, And carry them in his bosom, And shall gently lead those that are with young.
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 12] Who hath measured the waters in the hollow of his hand, And meted out heaven with the span, And comprehended the dust of the earth in a measure, And weighed the mountains in scales, And the hills in a balance?
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 13] Who hath directed the spirit of the Lord, Or being his counseller hath taught him?
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 14] With whom took he counsel, and who instructed him, And taught him in the path of judgment, And taught him knowledge, And shewed to him the way of understanding?
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 15] Behold, the nations are as a drop of a bucket, And are counted as the small dust of the balance: Behold, he taketh up the isles as a very little thing.
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 16] And Lebanon is not sufficient to burn, Nor the beasts thereof sufficient for a burnt offering.
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 17] All nations before him are as nothing; And they are counted to him less than nothing, and vanity.
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 18] To whom then will ye liken God? Or what likeness will ye compare unto him?
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 19] The workman melteth a graven image, And the goldsmith spreadeth it over with gold, And casteth silver chains.
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 20] He that is so impoverished that he hath no oblation chooseth a tree that will not rot; He seeketh unto him a cunning workman To prepare a graven image, that shall not be moved.
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 21] Have ye not known? have ye not heard? Hath it not been told you from the beginning? Have ye not understood from the foundations of the earth?
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 22] It is he that sitteth upon the circle of the earth, And the inhabitants thereof are as grasshoppers; That stretcheth out the heavens as a curtain, And spreadeth them out as a tent to dwell in:
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 23] That bringeth the princes to nothing; He maketh the judges of the earth as vanity.
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 24] Yea, they shall not be planted; Yea, they shall not be sown: Yea, their stock shall not take root in the earth: And he shall also blow upon them, and they shall wither, And the whirlwind shall take them away as stubble.
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 25] To whom then will ye liken me, or shall I be equal? saith the Holy One.
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 26] Lift up your eyes on high, And behold who hath created these things, That bringeth out their host by number: He calleth them all by names By the greatness of his might, for that he is strong in power; Not one faileth.
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 27] Why sayest thou, O Jacob, and speakest, O Israel, My way is hid from the Lord, And my judgment is passed over from my God?
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 28] Hast thou not known? hast thou not heard, That the everlasting God, the Lord, The Creator of the ends of the earth, Fainteth not, neither is weary? There is no searching of his understanding.
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 29] He giveth power to the faint; And to them that have no might he increaseth strength.
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 30] Even the youths shall faint and be weary, And the young men shall utterly fall:
[KJV | EN | OT | Isaiah | Chapter 40 | Verse 31] But they that wait upon the Lord shall renew their strength; They shall mount up with wings as eagles; They shall run, and not be weary; And they shall walk, and not faint.
