[KJV | EN | OT | Isaiah | Chapter 11 | Verse 1] And there shall come forth a rod out of the stem of Jesse, And a Branch shall grow out of his roots:
[KJV | EN | OT | Isaiah | Chapter 11 | Verse 2] And the Spirit of the Lord shall rest upon him, The spirit of wisdom and understanding, The spirit of counsel and might, The spirit of knowledge and of the fear of the Lord;
[KJV | EN | OT | Isaiah | Chapter 11 | Verse 3] And shall make him of quick understanding in the fear of the Lord: And he shall not judge after the sight of his eyes, Neither reprove after the hearing of his ears:
[KJV | EN | OT | Isaiah | Chapter 11 | Verse 4] But with righteousness shall he judge the poor, And reprove with equity for the meek of the earth: And he shall smite the earth with the rod of his mouth, And with the breath of his lips shall he slay the wicked.
[KJV | EN | OT | Isaiah | Chapter 11 | Verse 5] And righteousness shall be the girdle of his loins, And faithfulness the girdle of his reins.
[KJV | EN | OT | Isaiah | Chapter 11 | Verse 6] The wolf also shall dwell with the lamb, And the leopard shall lie down with the kid; And the calf and the young lion and the fatling together; And a little child shall lead them.
[KJV | EN | OT | Isaiah | Chapter 11 | Verse 7] And the cow and the bear shall feed; Their young ones shall lie down together: And the lion shall eat straw like the ox.
[KJV | EN | OT | Isaiah | Chapter 11 | Verse 8] And the sucking child shall play on the hole of the asp, And the weaned child shall put his hand on the cockatrice’ den.
[KJV | EN | OT | Isaiah | Chapter 11 | Verse 9] They shall not hurt nor destroy in all my holy mountain: For the earth shall be full of the knowledge of the Lord, As the waters cover the sea.
[KJV | EN | OT | Isaiah | Chapter 11 | Verse 10] And in that day there shall be a root of Jesse, Which shall stand for an ensign of the people; To it shall the Gentiles seek: And his rest shall be glorious.
[KJV | EN | OT | Isaiah | Chapter 11 | Verse 11] And it shall come to pass in that day, That the Lord shall set his hand again the second time To recover the remnant of his people, Which shall be left from Assyria, And from Egypt, and from Pathros, And from Cush, and from Elam, and from Shinar, And from Hamath, and from the islands of the sea.
[KJV | EN | OT | Isaiah | Chapter 11 | Verse 12] And he shall set up an ensign for the nations, And shall assemble the outcasts of Israel, And gather together the dispersed of Judah From the four corners of the earth.
[KJV | EN | OT | Isaiah | Chapter 11 | Verse 13] The envy also of Ephraim shall depart, And the adversaries of Judah shall be cut off: Ephraim shall not envy Judah, And Judah shall not vex Ephraim.
[KJV | EN | OT | Isaiah | Chapter 11 | Verse 14] But they shall fly upon the shoulders of the Philistines toward the west; They shall spoil them of the east together: They shall lay their hand upon Edom and Moab; And the children of Ammon shall obey them.
[KJV | EN | OT | Isaiah | Chapter 11 | Verse 15] And the Lord shall utterly destroy the tongue of the Egyptian sea; And with his mighty wind shall he shake his hand over the river, And shall smite it in the seven streams, And make men go over dryshod.
[KJV | EN | OT | Isaiah | Chapter 11 | Verse 16] And there shall be a highway for the remnant of his people, Which shall be left from Assyria; Like as it was to Israel In the day that he came up out of the land of Egypt.
