[KJV | EN | OT | Isaiah | Chapter 59 | Verse 1] Behold, the Lord’s hand is not shortened, that it cannot save; Neither his ear heavy, that it cannot hear:
[KJV | EN | OT | Isaiah | Chapter 59 | Verse 2] But your iniquities have separated between you and your God, And your sins have hid his face from you, that he will not hear.
[KJV | EN | OT | Isaiah | Chapter 59 | Verse 3] For your hands are defiled with blood, And your fingers with iniquity; Your lips have spoken lies, Your tongue hath uttered perverseness.
[KJV | EN | OT | Isaiah | Chapter 59 | Verse 4] None calleth for justice, nor any pleadeth for truth: They trust in vanity, and speak lies; They conceive mischief, and bring forth iniquity.
[KJV | EN | OT | Isaiah | Chapter 59 | Verse 5] They hatch cockatrice’ eggs, And weave the spider’s web: He that eateth of their eggs dieth, And that which is crushed breaketh out into a viper.
[KJV | EN | OT | Isaiah | Chapter 59 | Verse 6] Their webs shall not become garments, Neither shall they cover themselves with their works: Their works are works of iniquity, And the act of violence is in their hands.
[KJV | EN | OT | Isaiah | Chapter 59 | Verse 7] Their feet run to evil, And they make haste to shed innocent blood: Their thoughts are thoughts of iniquity; Wasting and destruction are in their paths.
[KJV | EN | OT | Isaiah | Chapter 59 | Verse 8] The way of peace they know not; And there is no judgment in their goings: They have made them crooked paths: Whosoever goeth therein shall not know peace.
[KJV | EN | OT | Isaiah | Chapter 59 | Verse 9] Therefore is judgment far from us, Neither doth justice overtake us: We wait for light, but behold obscurity; For brightness, but we walk in darkness.
[KJV | EN | OT | Isaiah | Chapter 59 | Verse 10] We grope for the wall like the blind, And we grope as if we had no eyes: We stumble at noonday as in the night; We are in desolate places as dead men.
[KJV | EN | OT | Isaiah | Chapter 59 | Verse 11] We roar all like bears, And mourn sore like doves: We look for judgment, but there is none; For salvation, but it is far off from us.
[KJV | EN | OT | Isaiah | Chapter 59 | Verse 12] For our transgressions are multiplied before thee, And our sins testify against us: For our transgressions are with us; And as for our iniquities, we know them;
[KJV | EN | OT | Isaiah | Chapter 59 | Verse 13] In transgressing and lying against the Lord, And departing away from our God, Speaking oppression and revolt, Conceiving and uttering from the heart words of falsehood.
[KJV | EN | OT | Isaiah | Chapter 59 | Verse 14] And judgment is turned away backward, And justice standeth afar off: For truth is fallen in the street, And equity cannot enter.
[KJV | EN | OT | Isaiah | Chapter 59 | Verse 15] Yea, truth faileth; And he that departeth from evil maketh himself a prey: And the Lord saw it, and it displeased him That there was no judgment.
[KJV | EN | OT | Isaiah | Chapter 59 | Verse 16] And he saw that there was no man, And wondered that there was no intercessor: Therefore his arm brought salvation unto him; And his righteousness, it sustained him.
[KJV | EN | OT | Isaiah | Chapter 59 | Verse 17] For he put on righteousness as a breastplate, And a helmet of salvation upon his head; And he put on the garments of vengeance for clothing, And was clad with zeal as a cloke.
[KJV | EN | OT | Isaiah | Chapter 59 | Verse 18] According to their deeds, accordingly he will repay, Fury to his adversaries, recompence to his enemies; To the islands he will repay recompence.
[KJV | EN | OT | Isaiah | Chapter 59 | Verse 19] So shall they fear the name of the Lord from the west, And his glory from the rising of the sun. When the enemy shall come in like a flood, The spirit of the Lord shall lift up a standard against him.
[KJV | EN | OT | Isaiah | Chapter 59 | Verse 20] And the redeemer shall come to Zion, And unto them that turn from transgression in Jacob, saith the Lord.
[KJV | EN | OT | Isaiah | Chapter 59 | Verse 21] As for me, this is my covenant with them, saith the Lord; My spirit that is upon thee, And my words which I have put in thy mouth, Shall not depart out of thy mouth, Nor out of the mouth of thy seed, Nor out of the mouth of thy seed’s seed, saith the Lord, From henceforth and for ever.
