[KJV | EN | OT | Isaiah | Chapter 33 | Verse 1] Woe to thee that spoilest, and thou wast not spoiled; And dealest treacherously, and they dealt not treacherously with thee! When thou shalt cease to spoil, thou shalt be spoiled; And when thou shalt make an end to deal treacherously, they shall deal treacherously with thee.
[KJV | EN | OT | Isaiah | Chapter 33 | Verse 2] O Lord, be gracious unto us; we have waited for thee: Be thou their arm every morning, Our salvation also in the time of trouble.
[KJV | EN | OT | Isaiah | Chapter 33 | Verse 3] At the noise of the tumult the people fled; At the lifting up of thyself the nations were scattered.
[KJV | EN | OT | Isaiah | Chapter 33 | Verse 4] And your spoil shall be gathered like the gathering of the caterpillar: As the running to and fro of locusts shall he run upon them.
[KJV | EN | OT | Isaiah | Chapter 33 | Verse 5] The Lord is exalted; for he dwelleth on high: He hath filled Zion with judgment and righteousness.
[KJV | EN | OT | Isaiah | Chapter 33 | Verse 6] And wisdom and knowledge shall be The stability of thy times, and strength of salvation: The fear of the Lord is his treasure.
[KJV | EN | OT | Isaiah | Chapter 33 | Verse 7] Behold, their valiant ones shall cry without: The ambassadors of peace shall weep bitterly.
[KJV | EN | OT | Isaiah | Chapter 33 | Verse 8] The highways lie waste, the wayfaring man ceaseth: He hath broken the covenant, He hath despised the cities, he regardeth no man.
[KJV | EN | OT | Isaiah | Chapter 33 | Verse 9] The earth mourneth and languisheth: Lebanon is ashamed and hewn down: Sharon is like a wilderness; And Bashan and Carmel shake off their fruits.
[KJV | EN | OT | Isaiah | Chapter 33 | Verse 10] Now will I rise, saith the Lord; Now will I be exalted; Now will I lift up myself.
[KJV | EN | OT | Isaiah | Chapter 33 | Verse 11] Ye shall conceive chaff, ye shall bring forth stubble: Your breath, as fire, shall devour you.
[KJV | EN | OT | Isaiah | Chapter 33 | Verse 12] And the people shall be as the burnings of lime: As thorns cut up shall they be burnt in the fire.
[KJV | EN | OT | Isaiah | Chapter 33 | Verse 13] Hear, ye that are far off, what I have done; And ye that are near, acknowledge my might.
[KJV | EN | OT | Isaiah | Chapter 33 | Verse 14] The sinners in Zion are afraid; Fearfulness hath surprised the hypocrites. Who among us shall dwell with the devouring fire? Who amongst us shall dwell with everlasting burnings?
[KJV | EN | OT | Isaiah | Chapter 33 | Verse 15] He that walketh righteously, and speaketh uprightly; He that despiseth the gain of oppressions, That shaketh his hands from holding of bribes, That stoppeth his ears from hearing of blood, And shutteth his eyes from seeing evil;
[KJV | EN | OT | Isaiah | Chapter 33 | Verse 16] He shall dwell on high: His place of defence shall be the munitions of rocks: Bread shall be given him; his waters shall be sure.
[KJV | EN | OT | Isaiah | Chapter 33 | Verse 17] Thine eyes shall see the king in his beauty: They shall behold the land that is very far off.
[KJV | EN | OT | Isaiah | Chapter 33 | Verse 18] Thine heart shall meditate terror. Where is the scribe? where is the receiver? Where is he that counted the towers?
[KJV | EN | OT | Isaiah | Chapter 33 | Verse 19] Thou shalt not see a fierce people, A people of a deeper speech than thou canst perceive; Of a stammering tongue, that thou canst not understand.
[KJV | EN | OT | Isaiah | Chapter 33 | Verse 20] Look upon Zion, the city of our solemnities: Thine eyes shall see Jerusalem a quiet habitation, A tabernacle that shall not be taken down; Not one of the stakes thereof shall ever be removed, Neither shall any of the cords thereof be broken.
[KJV | EN | OT | Isaiah | Chapter 33 | Verse 21] But there the glorious Lord will be unto us A place of broad rivers and streams; Wherein shall go no galley with oars, Neither shall gallant ship pass thereby.
[KJV | EN | OT | Isaiah | Chapter 33 | Verse 22] For the Lord is our judge, the Lord is our lawgiver, The Lord is our king; he will save us.
[KJV | EN | OT | Isaiah | Chapter 33 | Verse 23] Thy tacklings are loosed; They could not well strengthen their mast, they could not spread the sail: Then is the prey of a great spoil divided; The lame take the prey.
[KJV | EN | OT | Isaiah | Chapter 33 | Verse 24] And the inhabitant shall not say, I am sick: The people that dwell therein shall be forgiven their iniquity.
