[KJV | EN | OT | Isaiah | Chapter 45 | Verse 1] Thus saith the Lord to his anointed, to Cyrus, Whose right hand I have holden, To subdue nations before him; And I will loose the loins of kings, To open before him the two leaved gates; And the gates shall not be shut;
[KJV | EN | OT | Isaiah | Chapter 45 | Verse 2] I will go before thee, And make the crooked places straight: I will break in pieces the gates of brass, And cut in sunder the bars of iron:
[KJV | EN | OT | Isaiah | Chapter 45 | Verse 3] And I will give thee the treasures of darkness, And hidden riches of secret places, That thou mayest know that I, the Lord, which call thee by thy name, am the God of Israel.
[KJV | EN | OT | Isaiah | Chapter 45 | Verse 4] For Jacob my servant’s sake, and Israel mine elect, I have even called thee by thy name: I have surnamed thee, though thou hast not known me.
[KJV | EN | OT | Isaiah | Chapter 45 | Verse 5] I am the Lord, and there is none else, There is no God besides me: I girded thee though thou hast not known me:
[KJV | EN | OT | Isaiah | Chapter 45 | Verse 6] That they may know from the rising of the sun, and from the west, That there is none besides me. I am the Lord, and there is none else.
[KJV | EN | OT | Isaiah | Chapter 45 | Verse 7] I form the light, and create darkness: I make peace, and create evil: I the Lord do all these things.
[KJV | EN | OT | Isaiah | Chapter 45 | Verse 8] Drop down, ye heavens, from above, And let the skies pour down righteousness: Let the earth open, and let them bring forth salvation, And let righteousness spring up together; I the Lord have created it.
[KJV | EN | OT | Isaiah | Chapter 45 | Verse 9] Woe unto him that striveth with his maker! Let the potsherd strive with the potsherds of the earth. Shall the clay say to him that fashioneth it, What makest thou? Or thy work, He hath no hands?
[KJV | EN | OT | Isaiah | Chapter 45 | Verse 10] Woe unto him that saith unto his father, What begettest thou? Or to the woman, What hast thou brought forth?
[KJV | EN | OT | Isaiah | Chapter 45 | Verse 11] Thus saith the Lord, the Holy One of Israel, and his maker, Ask me of things to come concerning my sons, And concerning the work of my hands command ye me.
[KJV | EN | OT | Isaiah | Chapter 45 | Verse 12] I have made the earth, And created man upon it: I, even my hands, have stretched out the heavens, And all their host have I commanded.
[KJV | EN | OT | Isaiah | Chapter 45 | Verse 13] I have raised him up in righteousness, And I will direct all his ways: He shall build my city, and he shall let go my captives, Not for price nor reward, Saith the Lord of hosts.
[KJV | EN | OT | Isaiah | Chapter 45 | Verse 14] Thus saith the Lord, The labour of Egypt, and merchandise of Ethiopia And of the Sabeans, men of stature, Shall come over unto thee, and they shall be thine: They shall come after thee, in chains they shall come over, And they shall fall down unto thee, they shall make supplication unto thee, saying, Surely God is in thee; And there is none else, there is no God.
[KJV | EN | OT | Isaiah | Chapter 45 | Verse 15] Verily thou art a God that hidest thyself, O God of Israel, the saviour.
[KJV | EN | OT | Isaiah | Chapter 45 | Verse 16] They shall be ashamed, and also confounded, all of them: They shall go to confusion together that are makers of idols.
[KJV | EN | OT | Isaiah | Chapter 45 | Verse 17] But Israel shall be saved in the Lord with an everlasting salvation: Ye shall not be ashamed nor confounded world without end.
[KJV | EN | OT | Isaiah | Chapter 45 | Verse 18] For thus saith the Lord that created the heavens; God himself that formed the earth and made it; he hath established it, He created it not in vain, he formed it to be inhabited: I am the Lord; and there is none else.
[KJV | EN | OT | Isaiah | Chapter 45 | Verse 19] I have not spoken in secret, in a dark place of the earth: I said not unto the seed of Jacob, Seek ye me in vain: I the Lord speak righteousness, I declare things that are right.
[KJV | EN | OT | Isaiah | Chapter 45 | Verse 20] Assemble yourselves and come; Draw near together, ye that are escaped of the nations: They have no knowledge that set up the wood of their graven image, And pray unto a god that cannot save.
[KJV | EN | OT | Isaiah | Chapter 45 | Verse 21] Tell ye, and bring them near; Yea, let them take counsel together: Who hath declared this from ancient time? who hath told it from that time? Have not I the Lord? and there is no God else beside me; A just God and a saviour; there is none beside me.
[KJV | EN | OT | Isaiah | Chapter 45 | Verse 22] Look unto me, and be ye saved, all the ends of the earth: For I am God, and there is none else.
[KJV | EN | OT | Isaiah | Chapter 45 | Verse 23] I have sworn by myself, The word is gone out of my mouth in righteousness, and shall not return, That unto me every knee shall bow, Every tongue shall swear.
[KJV | EN | OT | Isaiah | Chapter 45 | Verse 24] Surely, shall one say, in the Lord have I righteousness and strength: Even to him shall men come; And all that are incensed against him shall be ashamed.
[KJV | EN | OT | Isaiah | Chapter 45 | Verse 25] In the Lord shall all the seed of Israel be justified, and shall glory.
