[KJV | EN | OT | Isaiah | Chapter 46 | Verse 1] Bel boweth down, Nebo stoopeth, Their idols were upon the beasts, and upon the cattle: Your carriages were heavy loaden; They are a burden to the weary beast.
[KJV | EN | OT | Isaiah | Chapter 46 | Verse 2] They stoop, they bow down together; They could not deliver the burden, But themselves are gone into captivity.
[KJV | EN | OT | Isaiah | Chapter 46 | Verse 3] Hearken unto me, O house of Jacob, And all the remnant of the house of Israel, Which are borne by me from the belly, Which are carried from the womb:
[KJV | EN | OT | Isaiah | Chapter 46 | Verse 4] And even to your old age I am he; And even to hoar hairs will I carry you: I have made, and I will bear; Even I will carry, and will deliver you.
[KJV | EN | OT | Isaiah | Chapter 46 | Verse 5] To whom will ye liken me, and make me equal, And compare me, that we may be like?
[KJV | EN | OT | Isaiah | Chapter 46 | Verse 6] They lavish gold out of the bag, And weigh silver in the balance, And hire a goldsmith; and he maketh it a god: They fall down, yea, they worship.
[KJV | EN | OT | Isaiah | Chapter 46 | Verse 7] They bear him upon the shoulder, they carry him, And set him in his place, and he standeth; From his place shall he not remove: Yea, one shall cry unto him, yet can he not answer, Nor save him out of his trouble.
[KJV | EN | OT | Isaiah | Chapter 46 | Verse 8] Remember this, and shew yourselves men: Bring it again to mind, O ye transgressors.
[KJV | EN | OT | Isaiah | Chapter 46 | Verse 9] Remember the former things of old: For I am God, and there is none else; I am God, and there is none like me,
[KJV | EN | OT | Isaiah | Chapter 46 | Verse 10] Declaring the end from the beginning, And from ancient times the things that are not yet done, Saying, My counsel shall stand, And I will do all my pleasure:
[KJV | EN | OT | Isaiah | Chapter 46 | Verse 11] Calling a ravenous bird from the east, The man that executeth my counsel from a far country: Yea, I have spoken it, I will also bring it to pass; I have purposed it, I will also do it.
[KJV | EN | OT | Isaiah | Chapter 46 | Verse 12] Hearken unto me, ye stouthearted, That are far from righteousness:
[KJV | EN | OT | Isaiah | Chapter 46 | Verse 13] I bring near my righteousness; it shall not be far off, And my salvation shall not tarry: And I will place salvation in Zion for Israel my glory.
