[KJV | EN | OT | Isaiah | Chapter 65 | Verse 1] I am sought of them that asked not for me: I am found of them that sought me not: I said, Behold me, behold me, Unto a nation that was not called by my name.
[KJV | EN | OT | Isaiah | Chapter 65 | Verse 2] I have spread out mine hands all the day unto a rebellious people, Which walketh in a way that was not good, after their own thoughts;
[KJV | EN | OT | Isaiah | Chapter 65 | Verse 3] A people that provoketh me to anger continually to my face; That sacrificeth in gardens, and burneth incense upon altars of brick;
[KJV | EN | OT | Isaiah | Chapter 65 | Verse 4] Which remain among the graves, And lodge in the monuments, Which eat swine’s flesh, And broth of abominable things is in their vessels;
[KJV | EN | OT | Isaiah | Chapter 65 | Verse 5] Which say, Stand by thyself, Come not near to me; for I am holier than thou. These are a smoke in my nose, A fire that burneth all the day.
[KJV | EN | OT | Isaiah | Chapter 65 | Verse 6] Behold, it is written before me: I will not keep silence, but will recompense, Even recompense into their bosom,
[KJV | EN | OT | Isaiah | Chapter 65 | Verse 7] Your iniquities, and the iniquities of your fathers together, saith the Lord, Which have burnt incense upon the mountains, And blasphemed me upon the hills: Therefore will I measure their former work into their bosom.
[KJV | EN | OT | Isaiah | Chapter 65 | Verse 8] Thus saith the Lord, As the new wine is found in the cluster, And one saith, Destroy it not; for a blessing is in it: So will I do for my servants’ sakes, That I may not destroy them all.
[KJV | EN | OT | Isaiah | Chapter 65 | Verse 9] And I will bring forth a seed out of Jacob, And out of Judah an inheritor of my mountains: And mine elect shall inherit it, And my servants shall dwell there.
[KJV | EN | OT | Isaiah | Chapter 65 | Verse 10] And Sharon shall be a fold of flocks, And the valley of Achor a place for the herds to lie down in, For my people that have sought me.
[KJV | EN | OT | Isaiah | Chapter 65 | Verse 11] But ye are they that forsake the Lord, That forget my holy mountain, That prepare a table for that troop, And that furnish the drink offering unto that number.
[KJV | EN | OT | Isaiah | Chapter 65 | Verse 12] Therefore will I number you to the sword, And ye shall all bow down to the slaughter: Because when I called, ye did not answer; When I spake, ye did not hear; But did evil before mine eyes, And did choose that wherein I delighted not.
[KJV | EN | OT | Isaiah | Chapter 65 | Verse 13] Therefore thus saith the Lord God, Behold, my servants shall eat, but ye shall be hungry: Behold, my servants shall drink, but ye shall be thirsty: Behold, my servants shall rejoice, but ye shall be ashamed:
[KJV | EN | OT | Isaiah | Chapter 65 | Verse 14] Behold, my servants shall sing for joy of heart, But ye shall cry for sorrow of heart, And shall howl for vexation of spirit.
[KJV | EN | OT | Isaiah | Chapter 65 | Verse 15] And ye shall leave your name for a curse unto my chosen: For the Lord God shall slay thee, And call his servants by another name:
[KJV | EN | OT | Isaiah | Chapter 65 | Verse 16] That he who blesseth himself in the earth shall bless himself in the God of truth; And he that sweareth in the earth shall swear by the God of truth; Because the former troubles are forgotten, And because they are hid from mine eyes.
[KJV | EN | OT | Isaiah | Chapter 65 | Verse 17] For, behold, I create new heavens and a new earth: And the former shall not be remembered, nor come into mind.
[KJV | EN | OT | Isaiah | Chapter 65 | Verse 18] But be you glad and rejoice for ever in that which I create: For behold, I create Jerusalem a rejoicing, and her people a joy.
[KJV | EN | OT | Isaiah | Chapter 65 | Verse 19] And I will rejoice in Jerusalem, and joy in my people: And the voice of weeping shall be no more heard in her, nor the voice of crying.
[KJV | EN | OT | Isaiah | Chapter 65 | Verse 20] There shall be no more thence an infant of days, Nor an old man that hath not filled his days: For the child shall die an hundred years old; But the sinner being an hundred years old shall be accursed.
[KJV | EN | OT | Isaiah | Chapter 65 | Verse 21] And they shall build houses, and inhabit them; And they shall plant vineyards, and eat the fruit of them.
[KJV | EN | OT | Isaiah | Chapter 65 | Verse 22] They shall not build, and another inhabit; They shall not plant, and another eat: For as the days of a tree are the days of my people, And mine elect shall long enjoy the work of their hands.
[KJV | EN | OT | Isaiah | Chapter 65 | Verse 23] They shall not labour in vain, Nor bring forth for trouble; For they are the seed of the blessed of the Lord, And their offspring with them.
[KJV | EN | OT | Isaiah | Chapter 65 | Verse 24] And it shall come to pass, that before they call, I will answer; And whiles they are yet speaking, I will hear.
[KJV | EN | OT | Isaiah | Chapter 65 | Verse 25] The wolf and the lamb shall feed together, And the lion shall eat straw like the bullock: And dust shall be the serpent’s meat. They shall not hurt nor destroy in all my holy mountain, saith the Lord.
