[KJV | EN | OT | Isaiah | Chapter 5 | Verse 1] Now will I sing to my wellbeloved a song of my beloved touching his vineyard. My wellbeloved hath a vineyard in a very fruitful hill:
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 2] And he fenced it, and gathered out the stones thereof, And planted it with the choicest vine, And built a tower in the midst of it, And also made a winepress therein: And he looked that it should bring forth grapes, And it brought forth wild grapes.
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 3] And now, O inhabitants of Jerusalem, and men of Judah, Judge, I pray you, betwixt me and my vineyard.
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 4] What could have been done more to my vineyard, That I have not done in it? Wherefore, when I looked that it should bring forth grapes, Brought it forth wild grapes?
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 5] And now go to, I will tell you what I will do to my vineyard: I will take away the hedge thereof, and it shall be eaten up; And break down the wall thereof, and it shall be trodden down:
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 6] And I will lay it waste: It shall not be pruned, nor digged; But there shall come up briers and thorns: I will also command the clouds that they rain no rain upon it.
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 7] For the vineyard of the Lord of hosts is the house of Israel, And the men of Judah his pleasant plant: And he looked for judgment, but behold oppression; For righteousness, but behold a cry.
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 8] Woe unto them that join house to house, That lay field to field, till there be no place, That they may be placed alone in the midst of the earth!
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 9] In mine ears said the Lord of hosts, Of a truth many houses shall be desolate, Even great and fair, without inhabitant.
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 10] Yea, ten acres of vineyard shall yield one bath, And the seed of a homer shall yield an ephah.
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 11] Woe unto them that rise up early in the morning, that they may follow strong drink; That continue until night, till wine inflame them!
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 12] And the harp, and the viol, the tabret, and pipe, And wine, are in their feasts: But they regard not the work of the Lord, Neither consider the operation of his hands.
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 13] Therefore my people are gone into captivity, because they have no knowledge: And their honourable men are famished, And their multitude dried up with thirst.
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 14] Therefore hell hath enlarged herself, And opened her mouth without measure: And their glory, and their multitude, and their pomp, And he that rejoiceth, shall descend into it.
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 15] And the mean man shall be brought down, And the mighty man shall be humbled, And the eyes of the lofty shall be humbled:
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 16] But the Lord of hosts shall be exalted in judgment, And God that is holy shall be sanctified in righteousness.
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 17] Then shall the lambs feed after their manner, And the waste places of the fat ones shall strangers eat.
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 18] Woe unto them that draw iniquity with cords of vanity, And sin as it were with a cart rope:
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 19] That say, Let him make speed, and hasten his work, That we may see it: And let the counsel of the Holy One of Israel draw nigh and come, That we may know it.
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 20] Woe unto them that call evil good, and good evil; That put darkness for light, and light for darkness; That put bitter for sweet, and sweet for bitter!
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 21] Woe unto them that are wise in their own eyes, And prudent in their own sight.
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 22] Woe unto them that are mighty to drink wine, And men of strength to mingle strong drink:
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 23] Which justify the wicked for reward, And take away the righteousness of the righteous from him.
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 24] Therefore as the fire devoureth the stubble, And the flame consumeth the chaff, So their root shall be as rottenness, And their blossom shall go up as dust: Because they have cast away the law of the Lord of hosts, And despised the word of the Holy One of Israel.
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 25] Therefore is the anger of the Lord kindled against his people, And he hath stretched forth his hand against them, and hath smitten them: And the hills did tremble, and their carcases were torn in the midst of the streets. For all this his anger is not turned away, But his hand is stretched out still.
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 26] And he will lift up an ensign to the nations from far, And will hiss unto them from the end of the earth: And behold, they shall come with speed swiftly:
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 27] None shall be weary nor stumble amongst them; None shall slumber nor sleep; Neither shall the girdle of their loins be loosed, Nor the latchet of their shoes be broken:
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 28] Whose arrows are sharp, and all their bows bent, Their horses’ hoofs shall be counted like flint, And their wheels like a whirlwind:
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 29] Their roaring shall be like a lion, They shall roar like young lions: Yea, they shall roar, and lay hold of the prey, And shall carry it away safe, and none shall deliver it.
[KJV | EN | OT | Isaiah | Chapter 5 | Verse 30] And in that day they shall roar against them like the roaring of the sea: And if one look unto the land, behold darkness and sorrow, And the light is darkened in the heavens thereof.
