[KJV | EN | OT | Isaiah | Chapter 10 | Verse 1] Woe unto them that decree unrighteous decrees, And that write grievousness which they have prescribed;
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 2] To turn aside the needy from judgment, And to take away the right from the poor of my people, That widows may be their prey, And that they may rob the fatherless.
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 3] And what will ye do in the day of visitation, And in the desolation which shall come from far? To whom will ye flee for help? And where will ye leave your glory?
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 4] Without me they shall bow down under the prisoners, And they shall fall under the slain. For all this his anger is not turned away, But his hand is stretched out still.
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 5] O Assyrian, the rod of mine anger, And the staff in their hand is mine indignation.
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 6] I will send him against a hypocritical nation, And against the people of my wrath will I give him a charge, To take the spoil, and to take the prey, And to tread them down like the mire of the streets.
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 7] Howbeit he meaneth not so, Neither doth his heart think so; But it is in his heart to destroy And cut off nations not a few.
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 8] For he saith, Are not my princes altogether kings?
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 9] Is not Calno as Carchemish? Is not Hamath as Arpad? Is not Samaria as Damascus?
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 10] As my hand hath found the kingdoms of the idols, And whose graven images did excel them of Jerusalem and of Samaria;
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 11] Shall I not, as I have done unto Samaria and her idols, So do to Jerusalem and her idols?
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 12] Wherefore it shall come to pass, that when the Lord hath performed his whole work Upon mount Zion and on Jerusalem, I will punish the fruit of the stout heart of the king of Assyria, And the glory of his high looks.
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 13] For he saith, By the strength of my hand I have done it, And by my wisdom; for I am prudent: And I have removed the bounds of the people, And have robbed their treasures, And I have put down the inhabitants like a valiant man:
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 14] And my hand hath found as a nest the riches of the people: And as one gathereth eggs that are left, Have I gathered all the earth; And there was none that moved the wing, Or opened the mouth, or peeped.
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 15] Shall the axe boast itself against him that heweth therewith? Or shall the saw magnify itself against him that shaketh it? As if the rod should shake itself against them that lift it up, Or as if the staff should lift up itself, as if it were no wood.
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 16] Therefore shall the Lord, the Lord of hosts, Send among his fat ones leanness; And under his glory he shall kindle a burning Like the burning of a fire.
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 17] And the light of Israel shall be for a fire, And his Holy One for a flame: And it shall burn and devour his thorns and his briers in one day;
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 18] And shall consume the glory of his forest, and of his fruitful field, Both soul and body: And they shall be as when a standard-bearer fainteth.
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 19] And the rest of the trees of his forest shall be few, That a child may write them.
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 20] And it shall come to pass in that day, That the remnant of Israel, And such as are escaped of the house of Jacob, Shall no more again stay upon him that smote them; But shall stay upon the Lord, The Holy One of Israel, in truth.
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 21] The remnant shall return, even the remnant of Jacob, Unto the mighty God.
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 22] For though thy people Israel be as the sand of the sea, Yet a remnant of them shall return: The consumption decreed shall overflow with righteousness.
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 23] For the Lord God of hosts shall make a consumption, even determined, In the midst of all the land.
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 24] Therefore thus saith the Lord God of hosts, O my people that dwellest in Zion, Be not afraid of the Assyrian: He shall smite thee with a rod, And shall lift up his staff against thee, after the manner of Egypt.
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 25] For yet a very little while, and the indignation shall cease, And mine anger in their destruction.
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 26] And the Lord of hosts shall stir up a scourge for him According to the slaughter of Midian at the rock Oreb: And as his rod was upon the sea, So shall he lift it up after the manner of Egypt.
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 27] And it shall come to pass in that day, That his burden shall be taken away from off thy shoulder, And his yoke from off thy neck, And the yoke shall be destroyed because of the anointing.
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 28] He is come to Aiath, he is passed to Migron; At Michmash he hath laid up his carriages:
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 29] They are gone over the passage: they have taken up their lodging at Geba; Ramah is afraid; Gibeah of Saul is fled.
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 30] Lift up thy voice, O daughter of Gallim: Cause it to be heard unto Laish, O poor Anathoth.
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 31] Madmenah is removed; The inhabitants of Gebim gather themselves to flee.
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 32] As yet shall he remain at Nob that day: He shall shake his hand against the mount of the daughter of Zion, The hill of Jerusalem.
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 33] Behold, the Lord, the Lord of hosts, Shall lop the bough with terror: And the high ones of stature shall be hewn down, And the haughty shall be humbled.
[KJV | EN | OT | Isaiah | Chapter 10 | Verse 34] And he shall cut down the thickets of the forest with iron, And Lebanon shall fall by a mighty one.
