[KJV | EN | OT | Isaiah | Chapter 28 | Verse 1] Woe to the crown of pride, to the drunkards of Ephraim, Whose glorious beauty is a fading flower, Which are on the head of the fat valleys of them that are overcome with wine.
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 2] Behold, the Lord hath a mighty and strong one, Which as a tempest of hail and a destroying storm, As a flood of mighty waters overflowing, Shall cast down to the earth with the hand.
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 3] The crown of pride, the drunkards of Ephraim, Shall be trodden under feet:
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 4] And the glorious beauty, which is on the head of the fat valley, shall be a fading flower, And as the hasty fruit before the summer; Which when he that looketh upon it seeth, While it is yet in his hand he eateth it up.
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 5] In that day shall the Lord of hosts be for a crown of glory, And for a diadem of beauty, unto the residue of his people,
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 6] And for a spirit of judgment to him that sitteth in judgment, And for strength to them that turn the battle to the gate.
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 7] But they also have erred through wine, and through strong drink are out of the way; The priest and the prophet have erred through strong drink, They are swallowed up of wine, they are out of the way through strong drink; They err in vision, they stumble in judgment.
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 8] For all tables are full of vomit and filthiness, So that there is no place clean.
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 9] Whom shall he teach knowledge? And whom shall he make to understand doctrine? Them that are weaned from the milk, And drawn from the breasts.
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 10] For precept must be upon precept, precept upon precept; Line upon line, line upon line; Here a little, and there a little:
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 11] For with stammering lips and another tongue Will he speak to this people.
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 12] To whom he said, This is the rest wherewith ye may cause the weary to rest; And this is the refreshing: yet they would not hear.
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 13] But the word of the Lord was unto them Precept upon precept, precept upon precept; Line upon line, line upon line; Here a little, and there a little; That they might go, and fall backward, and be broken, And snared, and taken.
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 14] Wherefore hear the word of the Lord, ye scornful men, That rule this people which is in Jerusalem.
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 15] Because ye have said, We have made a covenant with death, And with hell are we at agreement; When the overflowing scourge shall pass through, it shall not come unto us: For we have made lies our refuge, And under falsehood have we hid ourselves:
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 16] Therefore thus saith the Lord God, Behold, I lay in Zion for a foundation a stone, A tried stone, a precious corner stone, a sure foundation: He that believeth shall not make haste.
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 17] Judgment also will I lay to the line, And righteousness to the plummet: And the hail shall sweep away the refuge of lies, And the waters shall overflow the hiding place.
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 18] And your covenant with death shall be disannulled, And your agreement with hell shall not stand; When the overflowing scourge shall pass through, Then ye shall be trodden down by it.
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 19] From the time that it goeth forth it shall take you: For morning by morning shall it pass over, by day and by night: And it shall be a vexation only to understand the report.
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 20] For the bed is shorter than that a man can stretch himself on it: And the covering narrower than that he can wrap himself in it.
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 21] For the Lord shall rise up as in mount Perazim, He shall be wroth as in the valley of Gibeon, That he may do his work, his strange work; And bring to pass his act, his strange act.
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 22] Now therefore be ye not mockers, Lest your bands be made strong: For I have heard from the Lord God of hosts A consumption, even determined Upon the whole earth.
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 23] Give ye ear, and hear my voice; Hearken, and hear my speech.
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 24] Doth the plowman plow all day to sow? Doth he open and break the clods of his ground?
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 25] When he hath made plain the face thereof, Doth he not cast abroad the fitches, and scatter the cummin, And cast in the principal wheat And the appointed barley and the rye in their place?
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 26] For his God doth instruct him to discretion, and doth teach him.
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 27] For the fitches are not threshed with a threshing instrument, Neither is a cart wheel turned about upon the cummin; But the fitches are beaten out with a staff, And the cummin with a rod.
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 28] Bread corn is bruised; Because he will not ever be threshing it, Nor break it with the wheel of his cart, Nor bruise it with his horsemen.
[KJV | EN | OT | Isaiah | Chapter 28 | Verse 29] This also cometh forth from the Lord of hosts, Which is wonderful in counsel, and excellent in working.
