[KJV | EN | OT | Isaiah | Chapter 2 | Verse 1] The word that Isaiah the son of Amoz saw concerning Judah and Jerusalem.
[KJV | EN | OT | Isaiah | Chapter 2 | Verse 2] And it shall come to pass in the last days, That the mountain of the Lord’s house shall be established in the top of the mountains, And shall be exalted above the hills; And all nations shall flow unto it.
[KJV | EN | OT | Isaiah | Chapter 2 | Verse 3] And many people shall go and say, Come ye, and let us go up to the mountain of the Lord, To the house of the God of Jacob; And he will teach us of his ways, And we will walk in his paths: For out of Zion shall go forth the law, And the word of the Lord from Jerusalem.
[KJV | EN | OT | Isaiah | Chapter 2 | Verse 4] And he shall judge among the nations, And shall rebuke many people: And they shall beat their swords into plowshares, And their spears into pruninghooks: Nation shall not lift up sword against nation, Neither shall they learn war any more.
[KJV | EN | OT | Isaiah | Chapter 2 | Verse 5] O house of Jacob, come ye, And let us walk in the light of the Lord.
[KJV | EN | OT | Isaiah | Chapter 2 | Verse 6] Therefore thou hast forsaken thy people the house of Jacob, Because they be replenished from the east, And are soothsayers like the Philistines, And they please themselves in the children of strangers.
[KJV | EN | OT | Isaiah | Chapter 2 | Verse 7] Their land also is full of silver and gold, Neither is there any end of their treasures; Their land is also full of horses, Neither is there any end of their chariots:
[KJV | EN | OT | Isaiah | Chapter 2 | Verse 8] Their land also is full of idols; They worship the work of their own hands, That which their own fingers have made:
[KJV | EN | OT | Isaiah | Chapter 2 | Verse 9] And the mean man boweth down, And the great man humbleth himself; Therefore forgive them not.
[KJV | EN | OT | Isaiah | Chapter 2 | Verse 10] Enter into the rock, and hide thee in the dust, For fear of the Lord, and for the glory of his majesty.
[KJV | EN | OT | Isaiah | Chapter 2 | Verse 11] The lofty looks of man shall be humbled, And the haughtiness of men shall be bowed down, And the Lord alone shall be exalted in that day.
[KJV | EN | OT | Isaiah | Chapter 2 | Verse 12] For the day of the Lord of hosts shall be upon every one that is proud and lofty, And upon every one that is lifted up; and he shall be brought low:
[KJV | EN | OT | Isaiah | Chapter 2 | Verse 13] And upon all the cedars of Lebanon, that are high and lifted up, And upon all the oaks of Bashan,
[KJV | EN | OT | Isaiah | Chapter 2 | Verse 14] And upon all the high mountains, And upon all the hills that are lifted up,
[KJV | EN | OT | Isaiah | Chapter 2 | Verse 15] And upon every high tower, And upon every fenced wall,
[KJV | EN | OT | Isaiah | Chapter 2 | Verse 16] And upon all the ships of Tarshish, And upon all pleasant pictures.
[KJV | EN | OT | Isaiah | Chapter 2 | Verse 17] And the loftiness of man shall be bowed down, And the haughtiness of men shall be made low: And the Lord alone shall be exalted in that day.
[KJV | EN | OT | Isaiah | Chapter 2 | Verse 18] And the idols he shall utterly abolish.
[KJV | EN | OT | Isaiah | Chapter 2 | Verse 19] And they shall go into the holes of the rocks, And into the caves of the earth, For fear of the Lord, and for the glory of his majesty, When he ariseth to shake terribly the earth.
[KJV | EN | OT | Isaiah | Chapter 2 | Verse 20] In that day a man shall cast his idols of silver, and his idols of gold, Which they made each one for himself to worship, To the moles and to the bats;
[KJV | EN | OT | Isaiah | Chapter 2 | Verse 21] To go into the clifts of the rocks, And into the tops of the ragged rocks, For fear of the Lord, and for the glory of his majesty, When he ariseth to shake terribly the earth.
[KJV | EN | OT | Isaiah | Chapter 2 | Verse 22] Cease ye from man, whose breath is in his nostrils: For wherein is he to be accounted of?
