[KJV | EN | OT | Isaiah | Chapter 53 | Verse 1] Who hath believed our report? And to whom is the arm of the Lord revealed?
[KJV | EN | OT | Isaiah | Chapter 53 | Verse 2] For he shall grow up before him as a tender plant, And as a root out of a dry ground: He hath no form nor comeliness; And when we shall see him, there is no beauty that we should desire him.
[KJV | EN | OT | Isaiah | Chapter 53 | Verse 3] He is despised and rejected of men; A man of sorrows, and acquainted with grief: And we hid as it were our faces from him; He was despised, and we esteemed him not.
[KJV | EN | OT | Isaiah | Chapter 53 | Verse 4] Surely he hath borne our griefs, And carried our sorrows: Yet we did esteem him stricken, Smitten of God, and afflicted.
[KJV | EN | OT | Isaiah | Chapter 53 | Verse 5] But he was wounded for our transgressions, He was bruised for our iniquities: The chastisement of our peace was upon him; And with his stripes we are healed.
[KJV | EN | OT | Isaiah | Chapter 53 | Verse 6] All we like sheep have gone astray; We have turned every one to his own way; And the Lord hath laid on him the iniquity of us all.
[KJV | EN | OT | Isaiah | Chapter 53 | Verse 7] He was oppressed, and he was afflicted, Yet he opened not his mouth: He is brought as a lamb to the slaughter, And as a sheep before her shearers is dumb, So he openeth not his mouth.
[KJV | EN | OT | Isaiah | Chapter 53 | Verse 8] He was taken from prison and from judgment: And who shall declare his generation? For he was cut off out of the land of the living: For the transgression of my people was he stricken.
[KJV | EN | OT | Isaiah | Chapter 53 | Verse 9] And he made his grave with the wicked, And with the rich in his death; Because he had done no violence, Neither was any deceit in his mouth.
[KJV | EN | OT | Isaiah | Chapter 53 | Verse 10] Yet it pleased the Lord to bruise him; he hath put him to grief: When thou shalt make his soul an offering for sin, He shall see his seed, he shall prolong his days, And the pleasure of the Lord shall prosper in his hand.
[KJV | EN | OT | Isaiah | Chapter 53 | Verse 11] He shall see of the travail of his soul, and shall be satisfied: By his knowledge shall my righteous servant justify many; For he shall bear their iniquities.
[KJV | EN | OT | Isaiah | Chapter 53 | Verse 12] Therefore will I divide him a portion with the great, And he shall divide the spoil with the strong; Because he hath poured out his soul unto death: And he was numbered with the transgressors; And he bare the sin of many, And made intercession for the transgressors.
