[KJV | EN | OT | Isaiah | Chapter 32 | Verse 1] Behold, a king shall reign in righteousness, And princes shall rule in judgment.
[KJV | EN | OT | Isaiah | Chapter 32 | Verse 2] And a man shall be as a hiding place from the wind, And a covert from the tempest; As rivers of water in a dry place, As the shadow of a great rock in a weary land.
[KJV | EN | OT | Isaiah | Chapter 32 | Verse 3] And the eyes of them that see shall not be dim, And the ears of them that hear shall hearken.
[KJV | EN | OT | Isaiah | Chapter 32 | Verse 4] The heart also of the rash shall understand knowledge, And the tongue of the stammerers shall be ready to speak plainly.
[KJV | EN | OT | Isaiah | Chapter 32 | Verse 5] The vile person shall be no more called liberal, Nor the churl said to be bountiful.
[KJV | EN | OT | Isaiah | Chapter 32 | Verse 6] For the vile person will speak villany, And his heart will work iniquity, To practise hypocrisy, and to utter error against the Lord, To make empty the soul of the hungry, And he will cause the drink of the thirsty to fail.
[KJV | EN | OT | Isaiah | Chapter 32 | Verse 7] The instruments also of the churl are evil: He deviseth wicked devices To destroy the poor with lying words, Even when the needy speaketh right.
[KJV | EN | OT | Isaiah | Chapter 32 | Verse 8] But the liberal deviseth liberal things; And by liberal things shall he stand.
[KJV | EN | OT | Isaiah | Chapter 32 | Verse 9] Rise up, ye women that are at ease, hear my voice; Ye careless daughters, give ear unto my speech.
[KJV | EN | OT | Isaiah | Chapter 32 | Verse 10] Many days and years shall ye be troubled, ye careless women: For the vintage shall fail, the gathering shall not come.
[KJV | EN | OT | Isaiah | Chapter 32 | Verse 11] Tremble, ye women that are at ease; be troubled, ye careless ones: Strip ye, and make ye bare, and gird sackcloth upon your loins.
[KJV | EN | OT | Isaiah | Chapter 32 | Verse 12] They shall lament for the teats, For the pleasant fields, for the fruitful vine.
[KJV | EN | OT | Isaiah | Chapter 32 | Verse 13] Upon the land of my people shall come up thorns and briers; Yea, upon all the houses of joy in the joyous city:
[KJV | EN | OT | Isaiah | Chapter 32 | Verse 14] Because the palaces shall be forsaken; The multitude of the city shall be left; The forts and towers shall be for dens for ever, A joy of wild asses, a pasture of flocks;
[KJV | EN | OT | Isaiah | Chapter 32 | Verse 15] Until the spirit be poured upon us from on high, And the wilderness be a fruitful field, And the fruitful field be counted for a forest.
[KJV | EN | OT | Isaiah | Chapter 32 | Verse 16] Then judgment shall dwell in the wilderness, And righteousness remain in the fruitful field.
[KJV | EN | OT | Isaiah | Chapter 32 | Verse 17] And the work of righteousness shall be peace; And the effect of righteousness quietness and assurance for ever.
[KJV | EN | OT | Isaiah | Chapter 32 | Verse 18] And my people shall dwell in a peaceable habitation, And in sure dwellings, And in quiet resting places;
[KJV | EN | OT | Isaiah | Chapter 32 | Verse 19] When it shall hail, coming down on the forest; And the city shall be low in a low place.
[KJV | EN | OT | Isaiah | Chapter 32 | Verse 20] Blessed are ye that sow beside all waters, That send forth thither the feet of the ox and the ass.
