[KJV | EN | OT | Isaiah | Chapter 21 | Verse 1] The burden of the desert of the sea. As whirlwinds in the south pass through; So it cometh from the desert, from a terrible land.
[KJV | EN | OT | Isaiah | Chapter 21 | Verse 2] A grievous vision is declared unto me; The treacherous dealer dealeth treacherously, and the spoiler spoileth. Go up, O Elam: besiege, O Media; All the sighing thereof have I made to cease.
[KJV | EN | OT | Isaiah | Chapter 21 | Verse 3] Therefore are my loins filled with pain: Pangs have taken hold upon me, as the pangs of a woman that travaileth: I was bowed down at the hearing of it; I was dismayed at the seeing of it.
[KJV | EN | OT | Isaiah | Chapter 21 | Verse 4] My heart panted, fearfulness affrighted me: The night of my pleasure hath he turned into fear unto me.
[KJV | EN | OT | Isaiah | Chapter 21 | Verse 5] Prepare the table, watch in the watchtower, eat, drink: Arise, ye princes, and anoint the shield.
[KJV | EN | OT | Isaiah | Chapter 21 | Verse 6] For thus hath the Lord said unto me, Go, set a watchman, Let him declare what he seeth.
[KJV | EN | OT | Isaiah | Chapter 21 | Verse 7] And he saw a chariot with a couple of horsemen, A chariot of asses, and a chariot of camels; And he hearkened diligently with much heed:
[KJV | EN | OT | Isaiah | Chapter 21 | Verse 8] And he cried, A lion: My lord, I stand continually upon the watchtower in the daytime, And I am set in my ward whole nights:
[KJV | EN | OT | Isaiah | Chapter 21 | Verse 9] And behold, here cometh a chariot of men, with a couple of horsemen. And he answered and said, Babylon is fallen, is fallen; And all the graven images of her gods he hath broken unto the ground.
[KJV | EN | OT | Isaiah | Chapter 21 | Verse 10] O my threshing, and the corn of my floor: That which I have heard of the Lord of hosts, the God of Israel, Have I declared unto you.
[KJV | EN | OT | Isaiah | Chapter 21 | Verse 11] The burden of Dumah. He calleth to me out of Seir, Watchman, what of the night? Watchman, what of the night?
[KJV | EN | OT | Isaiah | Chapter 21 | Verse 12] The watchman said, The morning cometh, and also the night: If ye will inquire, inquire ye: Return, come.
[KJV | EN | OT | Isaiah | Chapter 21 | Verse 13] The burden upon Arabia. In the forest in Arabia shall ye lodge, O ye travelling companies of Dedanim.
[KJV | EN | OT | Isaiah | Chapter 21 | Verse 14] The inhabitants of the land of Tema brought water to him that was thirsty, They prevented with their bread him that fled.
[KJV | EN | OT | Isaiah | Chapter 21 | Verse 15] For they fled from the swords, From the drawn sword, and from the bent bow, And from the grievousness of war.
[KJV | EN | OT | Isaiah | Chapter 21 | Verse 16] For thus hath the Lord said unto me, Within a year, according to the years of a hireling, And all the glory of Kedar shall fail:
[KJV | EN | OT | Isaiah | Chapter 21 | Verse 17] And the residue of the number of archers, The mighty men of the children of Kedar, shall be diminished: For the Lord God of Israel hath spoken it.
