[KJV | EN | OT | Isaiah | Chapter 57 | Verse 1] The righteous perisheth, and no man layeth it to heart: And merciful men are taken away, none considering That the righteous is taken away from the evil to come.
[KJV | EN | OT | Isaiah | Chapter 57 | Verse 2] He shall enter into peace: They shall rest in their beds, Each one walking in his uprightness.
[KJV | EN | OT | Isaiah | Chapter 57 | Verse 3] But draw near hither, ye sons of the sorceress, The seed of the adulterer and the whore.
[KJV | EN | OT | Isaiah | Chapter 57 | Verse 4] Against whom do ye sport yourselves? Against whom make ye a wide mouth, and draw out the tongue? Are ye not children of transgression, a seed of falsehood,
[KJV | EN | OT | Isaiah | Chapter 57 | Verse 5] Inflaming yourselves with idols under every green tree, Slaying the children in the valleys under the clifts of the rocks?
[KJV | EN | OT | Isaiah | Chapter 57 | Verse 6] Among the smooth stones of the stream is thy portion; They, they are thy lot: Even to them hast thou poured a drink offering, Thou hast offered a meat offering. Should I receive comfort in these?
[KJV | EN | OT | Isaiah | Chapter 57 | Verse 7] Upon a lofty and high mountain hast thou set thy bed: Even thither wentest thou up to offer sacrifice.
[KJV | EN | OT | Isaiah | Chapter 57 | Verse 8] Behind the doors also and the posts hast thou set up thy remembrance: For thou hast discovered thyself to another than me, and art gone up; Thou hast enlarged thy bed, and made thee a covenant with them; Thou lovedst their bed where thou sawest it.
[KJV | EN | OT | Isaiah | Chapter 57 | Verse 9] And thou wentest to the king with ointment, And didst increase thy perfumes, And didst send thy messengers far off, And didst debase thyself even unto hell.
[KJV | EN | OT | Isaiah | Chapter 57 | Verse 10] Thou art wearied in the greatness of thy way; Yet saidst thou not, There is no hope: Thou hast found the life of thine hand; Therefore thou wast not grieved.
[KJV | EN | OT | Isaiah | Chapter 57 | Verse 11] And of whom hast thou been afraid or feared, that thou hast lied, And hast not remembered me, nor laid it to thy heart? Have not I held my peace even of old, And thou fearest me not?
[KJV | EN | OT | Isaiah | Chapter 57 | Verse 12] I will declare thy righteousness, And thy works; for they shall not profit thee.
[KJV | EN | OT | Isaiah | Chapter 57 | Verse 13] When thou criest, let thy companies deliver thee; But the wind shall carry them all away; vanity shall take them: But he that putteth his trust in me shall possess the land, And shall inherit my holy mountain;
[KJV | EN | OT | Isaiah | Chapter 57 | Verse 14] And shall say, Cast ye up, cast ye up, prepare the way, Take up the stumblingblock out of the way of my people.
[KJV | EN | OT | Isaiah | Chapter 57 | Verse 15] For thus saith the high and lofty One That inhabiteth eternity, whose name is Holy; I dwell in the high and holy place, With him also that is of a contrite and humble spirit, To revive the spirit of the humble, And to revive the heart of the contrite ones.
[KJV | EN | OT | Isaiah | Chapter 57 | Verse 16] For I will not contend for ever, Neither will I be always wroth: For the spirit should fail before me, And the souls which I have made.
[KJV | EN | OT | Isaiah | Chapter 57 | Verse 17] For the iniquity of his covetousness was I wroth, and smote him: I hid me, and was wroth, And he went on frowardly in the way of his heart.
[KJV | EN | OT | Isaiah | Chapter 57 | Verse 18] I have seen his ways, and will heal him: I will lead him also, and restore comforts unto him and to his mourners.
[KJV | EN | OT | Isaiah | Chapter 57 | Verse 19] I create the fruit of the lips; Peace, peace to him that is far off, and to him that is near, saith the Lord; And I will heal him.
[KJV | EN | OT | Isaiah | Chapter 57 | Verse 20] But the wicked are like the troubled sea, When it cannot rest, Whose waters cast up mire and dirt.
[KJV | EN | OT | Isaiah | Chapter 57 | Verse 21] There is no peace, saith my God, to the wicked.
