[KJV | EN | OT | Isaiah | Chapter 13 | Verse 1] The burden of Babylon, which Isaiah the son of Amoz did see.
[KJV | EN | OT | Isaiah | Chapter 13 | Verse 2] Lift ye up a banner upon the high mountain, Exalt the voice unto them, shake the hand, That they may go into the gates of the nobles.
[KJV | EN | OT | Isaiah | Chapter 13 | Verse 3] I have commanded my sanctified ones, I have also called my mighty ones for mine anger, Even them that rejoice in my highness.
[KJV | EN | OT | Isaiah | Chapter 13 | Verse 4] The noise of a multitude in the mountains, like as of a great people; A tumultuous noise of the kingdoms of nations gathered together: The Lord of hosts mustereth the host of the battle.
[KJV | EN | OT | Isaiah | Chapter 13 | Verse 5] They come from a far country, from the end of the heaven, Even the Lord, and the weapons of his indignation, To destroy the whole land.
[KJV | EN | OT | Isaiah | Chapter 13 | Verse 6] Howl ye; for the day of the Lord is at hand; It shall come as a destruction from the Almighty.
[KJV | EN | OT | Isaiah | Chapter 13 | Verse 7] Therefore shall all hands be faint, And every man’s heart shall melt:
[KJV | EN | OT | Isaiah | Chapter 13 | Verse 8] And they shall be afraid: pangs and sorrows shall take hold of them; They shall be in pain as a woman that travaileth: They shall be amazed one at another; Their faces shall be as flames.
[KJV | EN | OT | Isaiah | Chapter 13 | Verse 9] Behold, the day of the Lord cometh, Cruel both with wrath and fierce anger, To lay the land desolate: And he shall destroy the sinners thereof out of it.
[KJV | EN | OT | Isaiah | Chapter 13 | Verse 10] For the stars of heaven and the constellations thereof shall not give their light: The sun shall be darkened in his going forth, And the moon shall not cause her light to shine.
[KJV | EN | OT | Isaiah | Chapter 13 | Verse 11] And I will punish the world for their evil, And the wicked for their iniquity; And I will cause the arrogancy of the proud to cease, And will lay low the haughtiness of the terrible.
[KJV | EN | OT | Isaiah | Chapter 13 | Verse 12] I will make a man more precious than fine gold; Even a man than the golden wedge of Ophir.
[KJV | EN | OT | Isaiah | Chapter 13 | Verse 13] Therefore I will shake the heavens, And the earth shall remove out of her place, In the wrath of the Lord of hosts, And in the day of his fierce anger.
[KJV | EN | OT | Isaiah | Chapter 13 | Verse 14] And it shall be as the chased roe, And as a sheep that no man taketh up: They shall every man turn to his own people, And flee every one into his own land.
[KJV | EN | OT | Isaiah | Chapter 13 | Verse 15] Every one that is found shall be thrust through; And every one that is joined unto them shall fall by the sword.
[KJV | EN | OT | Isaiah | Chapter 13 | Verse 16] Their children also shall be dashed to pieces before their eyes; Their houses shall be spoiled, and their wives ravished.
[KJV | EN | OT | Isaiah | Chapter 13 | Verse 17] Behold, I will stir up the Medes against them, Which shall not regard silver; And as for gold, they shall not delight in it.
[KJV | EN | OT | Isaiah | Chapter 13 | Verse 18] Their bows also shall dash the young men to pieces; And they shall have no pity on the fruit of the womb; Their eye shall not spare children.
[KJV | EN | OT | Isaiah | Chapter 13 | Verse 19] And Babylon, the glory of kingdoms, The beauty of the Chaldees’ excellency, Shall be as when God overthrew Sodom and Gomorrah.
[KJV | EN | OT | Isaiah | Chapter 13 | Verse 20] It shall never be inhabited, Neither shall it be dwelt in from generation to generation: Neither shall the Arabian pitch tent there; Neither shall the shepherds make their fold there.
[KJV | EN | OT | Isaiah | Chapter 13 | Verse 21] But wild beasts of the desert shall lie there; And their houses shall be full of doleful creatures; And owls shall dwell there, And satyrs shall dance there.
[KJV | EN | OT | Isaiah | Chapter 13 | Verse 22] And the wild beasts of the islands shall cry in their desolate houses, And dragons in their pleasant palaces: And her time is near to come, And her days shall not be prolonged.
