[KJV | EN | OT | Isaiah | Chapter 29 | Verse 1] Woe to Ariel, to Ariel, the city where David dwelt! Add ye year to year; let them kill sacrifices.
[KJV | EN | OT | Isaiah | Chapter 29 | Verse 2] Yet I will distress Ariel, And there shall be heaviness and sorrow: And it shall be unto me as Ariel.
[KJV | EN | OT | Isaiah | Chapter 29 | Verse 3] And I will camp against thee round about, And will lay siege against thee with a mount, And I will raise forts against thee.
[KJV | EN | OT | Isaiah | Chapter 29 | Verse 4] And thou shalt be brought down, and shalt speak out of the ground, And thy speech shall be low out of the dust, And thy voice shall be, as of one that hath a familiar spirit, out of the ground, And thy speech shall whisper out of the dust.
[KJV | EN | OT | Isaiah | Chapter 29 | Verse 5] Moreover the multitude of thy strangers shall be like small dust, And the multitude of the terrible ones shall be as chaff that passeth away: Yea, it shall be at an instant suddenly.
[KJV | EN | OT | Isaiah | Chapter 29 | Verse 6] Thou shalt be visited of the Lord of hosts With thunder, and with earthquake, and great noise, With storm and tempest, and the flame of devouring fire.
[KJV | EN | OT | Isaiah | Chapter 29 | Verse 7] And the multitude of all the nations that fight against Ariel, Even all that fight against her and her munition, and that distress her, Shall be as a dream of a night vision.
[KJV | EN | OT | Isaiah | Chapter 29 | Verse 8] It shall even be as when a hungry man dreameth, and behold, he eateth; But he awaketh, and his soul is empty: Or as when a thirsty man dreameth, and behold, he drinketh; But he awaketh, and behold, he is faint, and his soul hath appetite: So shall the multitude of all the nations be, That fight against mount Zion.
[KJV | EN | OT | Isaiah | Chapter 29 | Verse 9] Stay yourselves, and wonder; Cry ye out, and cry: They are drunken, but not with wine; They stagger, but not with strong drink.
[KJV | EN | OT | Isaiah | Chapter 29 | Verse 10] For the Lord hath poured out upon you the spirit of deep sleep, And hath closed your eyes: The prophets and your rulers, the seers hath he covered.
[KJV | EN | OT | Isaiah | Chapter 29 | Verse 11] And the vision of all is become unto you as the words of a book that is sealed, Which men deliver to one that is learned, Saying, Read this, I pray thee: And he saith, I cannot; for it is sealed:
[KJV | EN | OT | Isaiah | Chapter 29 | Verse 12] And the book is delivered to him that is not learned, Saying, Read this, I pray thee: And he saith, I am not learned.
[KJV | EN | OT | Isaiah | Chapter 29 | Verse 13] Wherefore the Lord said, Forasmuch as this people draw near me with their mouth, And with their lips do honour me, But have removed their heart far from me, And their fear towards me is taught by the precept of men:
[KJV | EN | OT | Isaiah | Chapter 29 | Verse 14] Therefore, behold, I will proceed to do a marvellous work amongst this people, Even a marvellous work and a wonder: For the wisdom of their wise men shall perish, And the understanding of their prudent men shall be hid.
[KJV | EN | OT | Isaiah | Chapter 29 | Verse 15] Woe unto them that seek deep to hide their counsel from the Lord, And their works are in the dark, And they say, Who seeth us? and who knoweth us?
[KJV | EN | OT | Isaiah | Chapter 29 | Verse 16] Surely your turning of things upside down shall be esteemed as the potter’s clay: For shall the work say of him that made it, He made me not? Or shall the thing framed say of him that framed it, He had no understanding?
[KJV | EN | OT | Isaiah | Chapter 29 | Verse 17] Is it not yet a very little while, And Lebanon shall be turned into a fruitful field, And the fruitful field shall be esteemed as a forest?
[KJV | EN | OT | Isaiah | Chapter 29 | Verse 18] And in that day shall the deaf hear the words of the book, And the eyes of the blind shall see out of obscurity, and out of darkness.
[KJV | EN | OT | Isaiah | Chapter 29 | Verse 19] The meek also shall increase their joy in the Lord, And the poor among men shall rejoice in the Holy One of Israel.
[KJV | EN | OT | Isaiah | Chapter 29 | Verse 20] For the terrible one is brought to nought, and the scorner is consumed, And all that watch for iniquity are cut off:
[KJV | EN | OT | Isaiah | Chapter 29 | Verse 21] That make a man an offender for a word, And lay a snare for him that reproveth in the gate, And turn aside the just for a thing of nought.
[KJV | EN | OT | Isaiah | Chapter 29 | Verse 22] Therefore thus saith the Lord, who redeemed Abraham, concerning the house of Jacob, Jacob shall not now be ashamed, Neither shall his face now wax pale.
[KJV | EN | OT | Isaiah | Chapter 29 | Verse 23] But when he seeth his children, the work of mine hands, in the midst of him, They shall sanctify my name, And sanctify the Holy One of Jacob, And shall fear the God of Israel.
[KJV | EN | OT | Isaiah | Chapter 29 | Verse 24] They also that erred in spirit shall come to understanding, And they that murmured shall learn doctrine.
