[KJV | EN | OT | Isaiah | Chapter 63 | Verse 1] Who is this that cometh from Edom, With dyed garments from Bozrah? This that is glorious in his apparel, Travelling in the greatness of his strength? I that speak in righteousness, mighty to save.
[KJV | EN | OT | Isaiah | Chapter 63 | Verse 2] Wherefore art thou red in thine apparel, And thy garments like him that treadeth in the winefat?
[KJV | EN | OT | Isaiah | Chapter 63 | Verse 3] I have trodden the winepress alone; And of the people there was none with me: For I will tread them in mine anger, And trample them in my fury; And their blood shall be sprinkled upon my garments, And I will stain all my raiment.
[KJV | EN | OT | Isaiah | Chapter 63 | Verse 4] For the day of vengeance is in mine heart, And the year of my redeemed is come.
[KJV | EN | OT | Isaiah | Chapter 63 | Verse 5] And I looked, and there was none to help; And I wondered that there was none to uphold: Therefore mine own arm brought salvation unto me; And my fury, it upheld me.
[KJV | EN | OT | Isaiah | Chapter 63 | Verse 6] And I will tread down the people in mine anger, And make them drunk in my fury, And I will bring down their strength to the earth.
[KJV | EN | OT | Isaiah | Chapter 63 | Verse 7] I will mention the lovingkindnesses of the Lord, and the praises of the Lord, According to all that the Lord hath bestowed on us, And the great goodness towards the house of Israel, Which he hath bestowed on them according to his mercies, And according to the multitude of his lovingkindnesses.
[KJV | EN | OT | Isaiah | Chapter 63 | Verse 8] For he said, Surely they are my people, Children that will not lie: So he was their Saviour.
[KJV | EN | OT | Isaiah | Chapter 63 | Verse 9] In all their affliction he was afflicted, And the angel of his presence saved them: In his love and in his pity he redeemed them; And he bare them, and carried them all the days of old.
[KJV | EN | OT | Isaiah | Chapter 63 | Verse 10] But they rebelled, and vexed his holy Spirit: Therefore he was turned to be their enemy, and he fought against them.
[KJV | EN | OT | Isaiah | Chapter 63 | Verse 11] Then he remembered the days of old, Moses, and his people, saying, Where is he that brought them up out of the sea with the shepherd of his flock? Where is he that put his holy Spirit within him?
[KJV | EN | OT | Isaiah | Chapter 63 | Verse 12] That led them by the right hand of Moses with his glorious arm, Dividing the water before them, to make himself an everlasting name?
[KJV | EN | OT | Isaiah | Chapter 63 | Verse 13] That led them through the deep, As a horse in the wilderness, that they should not stumble?
[KJV | EN | OT | Isaiah | Chapter 63 | Verse 14] As a beast goeth down into the valley, The Spirit of the Lord caused him to rest: So didst thou lead thy people, To make thyself a glorious name.
[KJV | EN | OT | Isaiah | Chapter 63 | Verse 15] Look down from heaven, and behold From the habitation of thy holiness and of thy glory: Where is thy zeal and thy strength, The sounding of thy bowels and of thy mercies towards me? are they restrained?
[KJV | EN | OT | Isaiah | Chapter 63 | Verse 16] Doubtless thou art our father, Though Abraham be ignorant of us, And Israel acknowledge us not: Thou, O Lord, art our father, our redeemer; Thy name is from everlasting.
[KJV | EN | OT | Isaiah | Chapter 63 | Verse 17] O Lord, why hast thou made us to err from thy ways, And hardened our heart from thy fear? Return for thy servants’ sake, The tribes of thine inheritance.
[KJV | EN | OT | Isaiah | Chapter 63 | Verse 18] The people of thy holiness have possessed it but a little while: Our adversaries have trodden down thy sanctuary.
[KJV | EN | OT | Isaiah | Chapter 63 | Verse 19] We are thine: thou never barest rule over them; They were not called by thy name.
