[KJV | EN | OT | Isaiah | Chapter 37 | Verse 1] And it came to pass, when king Hezekiah heard it, that he rent his clothes, and covered himself with sackcloth, and went into the house of the Lord.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 2] And he sent Eliakim, who was over the household, and Shebna the scribe, and the elders of the priests covered with sackcloth, unto Isaiah the prophet the son of Amoz.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 3] And they said unto him, Thus saith Hezekiah, This day is a day of trouble, and of rebuke, and of blasphemy: for the children are come to the birth, and there is not strength to bring forth.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 4] It may be the Lord thy God will hear the words of Rabshakeh, whom the king of Assyria his master hath sent to reproach the living God, and will reprove the words which the Lord thy God hath heard: wherefore lift up thy prayer for the remnant that is left.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 5] So the servants of king Hezekiah came to Isaiah.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 6] And Isaiah said unto them, Thus shall ye say unto your master, Thus saith the Lord, Be not afraid of the words that thou hast heard, wherewith the servants of the king of Assyria have blasphemed me.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 7] Behold, I will send a blast upon him, and he shall hear a rumour, and return to his own land; and I will cause him to fall by the sword in his own land.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 8] So Rabshakeh returned, and found the king of Assyria warring against Libnah: for he had heard that he was departed from Lachish.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 9] And he heard say concerning Tirhakah king of Ethiopia, He is come forth to make war with thee. And when he heard it, he sent messengers to Hezekiah, saying,
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 10] Thus shall ye speak to Hezekiah king of Judah, saying, Let not thy God, in whom thou trustest, deceive thee, saying, Jerusalem shall not be given into the hand of the king of Assyria.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 11] Behold, thou hast heard what the kings of Assyria have done to all lands by destroying them utterly; and shalt thou be delivered?
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 12] Have the gods of the nations delivered them which my fathers have destroyed, as Gozan, and Haran, and Rezeph, and the children of Eden which were in Telassar?
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 13] Where is the king of Hamath, and the king of Arphad, and the king of the city of Sepharvaim, Hena, and Ivah?
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 14] And Hezekiah received the letter from the hand of the messengers, and read it: and Hezekiah went up unto the house of the Lord, and spread it before the Lord.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 15] And Hezekiah prayed unto the Lord, saying,
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 16] O Lord of hosts, God of Israel, that dwellest between the cherubims, thou art the God, even thou alone, of all the kingdoms of the earth: thou hast made heaven and earth.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 17] Incline thine ear, O Lord, and hear; open thine eyes, O Lord, and see: and hear all the words of Sennacherib, which hath sent to reproach the living God.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 18] Of a truth, Lord, the kings of Assyria have laid waste all the nations, and their countries,
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 19] and have cast their gods into the fire: for they were no gods, but the work of men’s hands, wood and stone: therefore they have destroyed them.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 20] Now therefore, O Lord our God, save us from his hand, that all the kingdoms of the earth may know that thou art the Lord, even thou only.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 21] Then Isaiah the son of Amoz sent unto Hezekiah, saying, Thus saith the Lord God of Israel, Whereas thou hast prayed to me against Sennacherib king of Assyria:
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 22] this is the word which the Lord hath spoken concerning him; The virgin, the daughter of Zion, hath despised thee, and laughed thee to scorn; The daughter of Jerusalem hath shaken her head at thee.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 23] Whom hast thou reproached and blasphemed? And against whom hast thou exalted thy voice, And lifted up thine eyes on high? Even against the Holy One of Israel.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 24] By thy servants hast thou reproached the Lord, and hast said, By the multitude of my chariots am I come up To the height of the mountains, to the sides of Lebanon; And I will cut down the tall cedars thereof, and the choice fir trees thereof: And I will enter into the height of his border, and the forest of his Carmel.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 25] I have digged, and drunk water; And with the sole of my feet have I dried up all the rivers of the besieged places.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 26] Hast thou not heard long ago, how I have done it; And of ancient times, that I have formed it? Now have I brought it to pass, that thou shouldest be to lay waste Defenced cities into ruinous heaps.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 27] Therefore their inhabitants were of small power, They were dismayed and confounded: They were as the grass of the field, and as the green herb, As the grass on the housetops, and as corn blasted before it be grown up.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 28] But I know thy abode, and thy going out, and thy coming in, And thy rage against me.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 29] Because thy rage against me, and thy tumult, is come up into mine ears, Therefore will I put my hook in thy nose, and my bridle in thy lips, And I will turn thee back by the way by which thou camest.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 30] And this shall be a sign unto thee, Ye shall eat this year such as groweth of itself; And the second year that which springeth of the same: And in the third year sow ye, and reap, And plant vineyards, and eat the fruit thereof.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 31] And the remnant that is escaped of the house of Judah Shall again take root downward, and bear fruit upward.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 32] For out of Jerusalem shall go forth a remnant, And they that escape out of mount Zion: The zeal of the Lord of hosts shall do this.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 33] Therefore thus saith the Lord concerning the king of Assyria, He shall not come into this city, Nor shoot an arrow there, Nor come before it with shields, Nor cast a bank against it.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 34] By the way that he came, by the same shall he return, And shall not come into this city, saith the Lord.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 35] For I will defend this city to save it For mine own sake, and for my servant David’s sake.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 36] Then the angel of the Lord went forth, and smote in the camp of the Assyrians an hundred and fourscore and five thousand: and when they arose early in the morning, behold, they were all dead corpses.
[KJV | EN | OT | Isaiah | Chapter 37 | Verse 37] So Sennacherib king of Assyria departed, and went and returned, and dwelt at Nineveh.
