[DARBY | EN | NT | Philippians | Chapter 1 | Verse 1] Paul and Timotheus, bondmen of Jesus Christ, to all the saints in Christ Jesus who are in Philippi, with [the] overseers and ministers;
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 2] grace to you, and peace from God our Father and [the] Lord Jesus Christ.
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 3] I thank my God for my whole remembrance of you,
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 4] constantly in my every supplication, making the supplication for you all with joy,
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 5] because of your fellowship with the gospel, from the first day until now;
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 6] having confidence of this very thing, that he who has begun in you a good work will complete it unto Jesus Christ's day:
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 7] as it is righteous for me to think this as to you all, because ye have me in your hearts, and that both in my bonds and in the defence and confirmation of the glad tidings ye are all participators in my grace.
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 8] For God is my witness how I long after you all in [the] bowels of Christ Jesus.
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 9] And this I pray, that your love may abound yet more and more in full knowledge and all intelligence,
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 10] that ye may judge of and approve the things that are more excellent, in order that ye may be pure and without offence for Christ's day,
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 11] being complete as regards the fruit of righteousness, which [is] by Jesus Christ, to God's glory and praise.
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 12] But I would have you know, brethren, that the circumstances in which I am have turned out rather to the furtherance of the glad tidings,
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 13] so that my bonds have become manifest [as being] in Christ in all the praetorium and to all others;
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 14] and that the most of the brethren, trusting in [the] Lord through my bonds, dare more abundantly to speak the word of God fearlessly.
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 15] Some indeed also for envy and strife, but some also for good will, preach the Christ.
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 16] These indeed out of love, knowing that I am set for the defence of the glad tidings;
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 17] but those out of contention, announce the Christ, not purely, supposing to arouse tribulation for my bonds.
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 18] What is it then? at any rate, in every way, whether in pretext or in truth, Christ is announced; and in this I rejoice, yea, also I will rejoice;
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 19] for I know that this shall turn out for me to salvation, through your supplication and [the] supply of the Spirit of Jesus Christ;
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 20] according to my earnest expectation and hope, that in nothing I shall be ashamed, but in all boldness, as always, now also Christ shall be magnified in my body whether by life or by death.
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 21] For for me to live [is] Christ, and to die gain;
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 22] but if to live in flesh [is my lot], this is for me worth the while: and what I shall choose I cannot tell.
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 23] But I am pressed by both, having the desire for departure and being with Christ, [for] [it is] very much better,
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 24] but remaining in the flesh [is] more necessary for your sakes;
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 25] and having confidence of this, I know that I shall remain and abide along with you all, for your progress and joy in faith;
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 26] that your boasting may abound in Christ Jesus through me by my presence again with you.
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 27] Only conduct yourselves worthily of the glad tidings of the Christ, in order that whether coming and seeing you, or absent, I may hear of what concerns you, that ye stand firm in one spirit, with one soul, labouring together in the same conflict with the faith of the glad tidings;
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 28] and not frightened in anything by the opposers, which is to them a demonstration of destruction, but of your salvation, and that from God;
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 29] because to you has been given, as regards Christ, not only the believing on him but the suffering for him also,
[DARBY | EN | NT | Philippians | Chapter 1 | Verse 30] having the same conflict which ye have seen in me, and now hear of in me.
