[IRV | PA | OT | Deuteronomy | Chapter 4 | Verse 1] ਹੇ ਇਸਰਾਏਲ, ਹੁਣ ਉਨ੍ਹਾਂ ਬਿਧੀਆਂ ਅਤੇ ਕਨੂੰਨਾਂ ਨੂੰ ਸੁਣੋ ਜਿਹੜੇ ਮੈਂ ਤੁਹਾਨੂੰ ਸਿਖਾਉਂਦਾ ਹਾਂ ਕਿ ਤੁਸੀਂ ਉਨ੍ਹਾਂ ਨੂੰ ਪੂਰਾ ਕਰੋ, ਤਾਂ ਜੋ ਤੁਸੀਂ ਜੀਉਂਦੇ ਰਹੋ ਅਤੇ ਜਾ ਕੇ ਉਸ ਦੇਸ਼ ਨੂੰ ਅਧਿਕਾਰ ਵਿੱਚ ਲੈ ਲਓ ਜਿਹੜਾ ਯਹੋਵਾਹ ਤੁਹਾਡੇ ਪੁਰਖਿਆਂ ਦਾ ਪਰਮੇਸ਼ੁਰ ਤੁਹਾਨੂੰ ਦਿੰਦਾ ਹੈ।
[IRV | PA | OT | Deuteronomy | Chapter 4 | Verse 2] ਜਿਹੜੇ ਹੁਕਮ ਮੈਂ ਤੁਹਾਨੂੰ ਦਿੰਦਾ ਹਾਂ, ਉਨ੍ਹਾਂ ਵਿੱਚ ਨਾ ਤਾਂ ਕੁਝ ਵਧਾਓ ਅਤੇ ਨਾ ਉਨ੍ਹਾਂ ਵਿੱਚੋਂ ਕੁਝ ਘਟਾਓ ਤਾਂ ਜੋ ਤੁਸੀਂ ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਹੁਕਮਾਂ ਦੀ ਪਾਲਨਾ ਕਰੋ, ਜਿਹੜੇ ਮੈਂ ਤੁਹਾਨੂੰ ਦਿੰਦਾ ਹਾਂ।
[IRV | PA | OT | Deuteronomy | Chapter 4 | Verse 3] ਜੋ ਕੁਝ ਯਹੋਵਾਹ ਨੇ ਬਆਲ ਪਓਰ ਦੇ ਕਾਰਨ ਕੀਤਾ ਉਹ ਸਭ ਤੁਹਾਡੀਆਂ ਅੱਖਾਂ ਨੇ ਵੇਖਿਆ ਹੈ, ਕਿਉਂ ਜੋ ਜਿਹੜੇ ਮਨੁੱਖ ਬਆਲ-ਪਓਰ ਪਰਾਏ ਦੇਵਤੇ ਦੇ ਪਿੱਛੇ ਹੋ ਗਏ ਸਨ, ਉਨ੍ਹਾਂ ਸਾਰਿਆਂ ਨੂੰ ਯਹੋਵਾਹ ਤੁਹਾਡੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਤੁਹਾਡੇ ਵਿੱਚੋਂ ਨਾਸ ਕਰ ਦਿੱਤਾ ਹੈ,
[IRV | PA | OT | Deuteronomy | Chapter 4 | Verse 4] ਪਰ ਤੁਸੀਂ ਜਿਹੜੇ ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਨਾਲ ਬਣੇ ਰਹੇ, ਅੱਜ ਤੱਕ ਸਾਰੇ ਜੀਉਂਦੇ ਹੋ।
[IRV | PA | OT | Deuteronomy | Chapter 4 | Verse 5] ਵੇਖੋ, ਜਿਵੇਂ ਯਹੋਵਾਹ ਮੇਰੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਮੈਨੂੰ ਹੁਕਮ ਦਿੱਤਾ ਸੀ, ਮੈਂ ਤੁਹਾਨੂੰ ਬਿਧੀਆਂ ਅਤੇ ਕਨੂੰਨ ਸਿਖਾਏ ਹਨ ਤਾਂ ਜੋ ਤੁਸੀਂ ਉਸ ਦੇਸ਼ ਵਿੱਚ ਜਿਸ ਨੂੰ ਅਧਿਕਾਰ ਵਿੱਚ ਲੈਣ ਲਈ ਤੁਸੀਂ ਜਾਂਦੇ ਹੋ, ਉਨ੍ਹਾਂ ਦੇ ਅਨੁਸਾਰ ਕਰੋ।
[IRV | PA | OT | Deuteronomy | Chapter 4 | Verse 6] ਤੁਸੀਂ ਉਹਨਾਂ ਨੂੰ ਮੰਨੋ ਅਤੇ ਪੂਰੇ ਕਰੋ ਕਿਉਂ ਜੋ ਉਹਨਾਂ ਲੋਕਾਂ ਦੀ ਨਜ਼ਰ ਵਿੱਚ ਤੁਹਾਡੀ ਬੁੱਧੀ ਅਤੇ ਸਮਝ ਇਸੇ ਗੱਲ ਤੋਂ ਪ੍ਰਗਟ ਹੋਵੇਗੀ ਅਰਥਾਤ ਜਿਹੜੇ ਇਨ੍ਹਾਂ ਸਾਰੀਆਂ ਬਿਧੀਆਂ ਨੂੰ ਸੁਣ ਕੇ ਆਖਣਗੇ ਕਿ ਬੇਸ਼ਕ ਇਹ ਵੱਡੀ ਕੌਮ ਬੁੱਧਵਾਨ ਅਤੇ ਸਮਝਦਾਰ ਲੋਕਾਂ ਦੀ ਹੈ।
[IRV | PA | OT | Deuteronomy | Chapter 4 | Verse 7] ਕਿਉਂ ਜੋ ਕਿਹੜੀ ਅਜਿਹੀ ਵੱਡੀ ਕੌਮ ਹੈ, ਜਿਸ ਦਾ ਪਰਮੇਸ਼ੁਰ ਉਸ ਦੇ ਐਨੇ ਨਜ਼ਦੀਕ ਹੈ, ਜਿਨ੍ਹਾਂ ਕਿ ਯਹੋਵਾਹ ਸਾਡਾ ਪਰਮੇਸ਼ੁਰ ਸਾਡੇ ਨਜ਼ਦੀਕ ਹੈ, ਜਦ ਕਦੀ ਅਸੀਂ ਉਸ ਦੇ ਅੱਗੇ ਬੇਨਤੀ ਕਰਦੇ ਹਾਂ?
[IRV | PA | OT | Deuteronomy | Chapter 4 | Verse 8] ਅਤੇ ਕਿਹੜੀ ਅਜਿਹੀ ਵੱਡੀ ਕੌਮ ਹੈ ਜਿਸ ਦੇ ਕੋਲ ਅਜਿਹੀ ਧਾਰਮਿਕ ਬਿਧੀਆਂ ਅਤੇ ਕਨੂੰਨ ਹਨ, ਜਿੰਨ੍ਹੀ ਕਿ ਇਹ ਸਾਰੀ ਬਿਵਸਥਾ ਜਿਹੜੀ ਮੈਂ ਅੱਜ ਤੁਹਾਡੇ ਅੱਗੇ ਰੱਖਦਾ ਹਾਂ?
[IRV | PA | OT | Deuteronomy | Chapter 4 | Verse 9] ਇਸ ਲਈ ਚੌਕਸ ਰਹੋ ਅਤੇ ਆਪਣੇ ਮਨ ਦੀ ਬਹੁਤ ਰਾਖੀ ਕਰੋ, ਕਿਤੇ ਅਜਿਹਾ ਨਾ ਹੋਵੇ ਕਿ ਤੁਸੀਂ ਉਨ੍ਹਾਂ ਗੱਲਾਂ ਨੂੰ ਭੁੱਲ ਜਾਓ ਜਿਹੜੀਆਂ ਤੁਸੀਂ ਆਪਣੀਆਂ ਅੱਖਾਂ ਨਾਲ ਵੇਖੀਆਂ ਹਨ ਅਤੇ ਉਹ ਜੀਵਨ ਭਰ ਲਈ ਤੁਹਾਡੇ ਦਿਲ ਵਿੱਚੋਂ ਨਿੱਕਲ ਜਾਣ, ਪਰ ਤੁਸੀਂ ਉਨ੍ਹਾਂ ਨੂੰ ਆਪਣੇ ਪੁੱਤਰਾਂ ਅਤੇ ਪੋਤਿਆਂ ਨੂੰ ਸਿਖਾਇਓ।
[IRV | PA | OT | Deuteronomy | Chapter 4 | Verse 10] ਜਿਸ ਦਿਨ ਤੁਸੀਂ ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਅੱਗੇ ਹੋਰੇਬ ਵਿੱਚ ਖੜ੍ਹੇ ਹੋਏ ਸੀ, ਜਦ ਯਹੋਵਾਹ ਨੇ ਮੈਨੂੰ ਆਖਿਆ, “ਲੋਕਾਂ ਨੂੰ ਮੇਰੇ ਲਈ ਇਕੱਠੇ ਕਰ ਅਤੇ ਮੈਂ ਲੋਕਾਂ ਨੂੰ ਆਪਣੀਆਂ ਗੱਲਾਂ ਸੁਣਾਵਾਂਗਾ ਕਿ ਉਹ ਜਦ ਤੱਕ ਧਰਤੀ ਉੱਤੇ ਜੀਉਂਦੇ ਰਹਿਣ ਮੇਰੇ ਤੋਂ ਡਰਨਾ ਸਿੱਖਣ ਅਤੇ ਆਪਣੇ ਬੱਚਿਆਂ ਨੂੰ ਵੀ ਸਿਖਾਉਣ।”
[IRV | PA | OT | Deuteronomy | Chapter 4 | Verse 11] ਤਦ ਤੁਸੀਂ ਨੇੜੇ ਆ ਕੇ ਉਸ ਪਰਬਤ ਦੇ ਹੇਠ ਖੜ੍ਹੇ ਹੋ ਗਏ ਅਤੇ ਉਹ ਪਰਬਤ ਅੱਗ ਨਾਲ ਬਲਦਾ ਸੀ ਅਤੇ ਉਸ ਦੀ ਲੌ ਅਕਾਸ਼ ਤੱਕ ਪਹੁੰਚਦੀ ਸੀ ਅਤੇ ਉਸ ਦੇ ਚੁਫ਼ੇਰੇ ਹਨ੍ਹੇਰਾ, ਬੱਦਲ ਅਤੇ ਕਾਲੀਆਂ ਘਟਾਂ ਸਨ।
