[IRV | PA | OT | Deuteronomy | Chapter 26 | Verse 1] ਅਜਿਹਾ ਹੋਵੇਗਾ ਕਿ ਜਦ ਤੁਸੀਂ ਉਸ ਦੇਸ਼ ਵਿੱਚ ਪਹੁੰਚ ਜਾਓ ਜਿਹੜਾ ਯਹੋਵਾਹ ਤੁਹਾਡਾ ਪਰਮੇਸ਼ੁਰ ਤੁਹਾਨੂੰ ਵਿਰਾਸਤ ਵਿੱਚ ਦਿੰਦਾ ਹੈ ਅਤੇ ਉਸ ਉੱਤੇ ਅਧਿਕਾਰ ਕਰਕੇ ਉਸ ਵਿੱਚ ਵੱਸ ਜਾਓ,
[IRV | PA | OT | Deuteronomy | Chapter 26 | Verse 2] ਤਦ ਜੋ ਦੇਸ਼ ਯਹੋਵਾਹ ਤੇਰਾ ਪਰਮੇਸ਼ੁਰ ਤੈਨੂੰ ਦੇਣ ਵਾਲਾ ਹੈ, ਤੂੰ ਉਸ ਦੀ ਜ਼ਮੀਨ ਦੇ ਸਾਰੇ ਪਹਿਲੇ ਫਲਾਂ ਵਿੱਚੋਂ ਜਿਹੜੇ ਤੂੰ ਆਪਣੇ ਘਰ ਲੈ ਆਵੇਂਗਾ, ਉਨ੍ਹਾਂ ਵਿੱਚੋਂ ਕੁਝ ਲੈ ਕੇ ਟੋਕਰੀ ਵਿੱਚ ਰੱਖੀਂ ਅਤੇ ਉਸ ਸਥਾਨ ਨੂੰ ਜਾਵੀਂ ਜਿਹੜਾ ਯਹੋਵਾਹ ਤੇਰਾ ਪਰਮੇਸ਼ੁਰ ਆਪਣਾ ਨਾਮ ਵਸਾਉਣ ਲਈ ਚੁਣੇਗਾ।
[IRV | PA | OT | Deuteronomy | Chapter 26 | Verse 3] ਅਤੇ ਉਨ੍ਹਾਂ ਦਿਨਾਂ ਵਿੱਚ ਜੋ ਜਾਜਕ ਹੋਵੇ ਤੂੰ ਉਸ ਦੇ ਕੋਲ ਜਾ ਆਖੀਂ, “ਮੈਂ ਅੱਜ ਦੇ ਦਿਨ ਇਹ ਗੱਲ ਯਹੋਵਾਹ ਤੇਰੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਅੱਗੇ ਦੱਸਦਾ ਹਾਂ ਕਿ ਮੈਂ ਉਸ ਦੇਸ਼ ਵਿੱਚ ਆ ਗਿਆ ਹਾਂ ਜਿਸ ਨੂੰ ਸਾਨੂੰ ਦੇਣ ਦੀ ਯਹੋਵਾਹ ਨੇ ਸਾਡੇ ਪੁਰਖਿਆਂ ਨਾਲ ਸਹੁੰ ਖਾਧੀ ਸੀ।”
[IRV | PA | OT | Deuteronomy | Chapter 26 | Verse 4] ਤਦ ਜਾਜਕ ਉਸ ਟੋਕਰੀ ਨੂੰ ਤੇਰੇ ਹੱਥੋਂ ਲੈ ਕੇ ਯਹੋਵਾਹ ਤੇਰੇ ਪਰਮੇਸ਼ੁਰ ਦੀ ਜਗਵੇਦੀ ਦੇ ਅੱਗੇ ਰੱਖ ਦੇਵੇ।
[IRV | PA | OT | Deuteronomy | Chapter 26 | Verse 5] ਫੇਰ ਤੂੰ ਉੱਤਰ ਦੇ ਕੇ ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਸਨਮੁਖ ਆਖੀਂ, “ਮੇਰਾ ਪਿਤਾ ਇੱਕ ਅਰਾਮੀ ਮਨੁੱਖ ਸੀ ਜੋ ਮਰਨ ਵਾਲਾ ਸੀ, ਉਹ ਥੋੜ੍ਹੇ ਜਿਹੇ ਹੀ ਸਨ ਅਤੇ ਉਹ ਮਿਸਰ ਵਿੱਚ ਜਾ ਕੇ ਉੱਥੇ ਟਿਕਿਆ ਅਤੇ ਉੱਥੇ ਉਹ ਇੱਕ ਵੱਡੀ, ਬਲਵੰਤ ਅਤੇ ਬਹੁਤ ਸਾਰੇ ਲੋਕਾਂ ਨਾਲ ਭਰੀ ਹੋਏ ਕੌਮ ਬਣ ਗਿਆ।
[IRV | PA | OT | Deuteronomy | Chapter 26 | Verse 6] ਤਦ ਮਿਸਰੀਆਂ ਨੇ ਸਾਡੇ ਨਾਲ ਬੁਰਾ ਵਰਤਾਉ ਕੀਤਾ ਅਤੇ ਸਾਨੂੰ ਦੁੱਖ ਦੇਣ ਲੱਗ ਪਏ ਅਤੇ ਸਾਡੇ ਤੋਂ ਸਖ਼ਤ ਟਹਿਲ ਸੇਵਾ ਕਰਵਾਈ।
[IRV | PA | OT | Deuteronomy | Chapter 26 | Verse 7] ਤਦ ਅਸੀਂ ਯਹੋਵਾਹ ਆਪਣੇ ਪੁਰਖਿਆਂ ਦੇ ਪਰਮੇਸ਼ੁਰ ਅੱਗੇ ਦੁਹਾਈ ਦਿੱਤੀ ਅਤੇ ਯਹੋਵਾਹ ਨੇ ਸਾਡੀ ਸੁਣੀ ਅਤੇ ਸਾਡੇ ਕਸ਼ਟ, ਸਾਡੇ ਦੁੱਖ ਅਤੇ ਸਾਡੇ ਉੱਤੇ ਹੋਣ ਵਾਲਾ ਜ਼ੁਲਮ ਵੇਖਿਆ,
[IRV | PA | OT | Deuteronomy | Chapter 26 | Verse 8] ਤਦ ਯਹੋਵਾਹ ਬਲਵੰਤ ਹੱਥ, ਪਸਾਰੀ ਹੋਈ ਬਾਂਹ, ਵੱਡੇ ਡਰਾਵਿਆਂ, ਨਿਸ਼ਾਨਾਂ ਅਤੇ ਅਚਰਜ਼ ਕੰਮਾਂ ਨਾਲ ਸਾਨੂੰ ਮਿਸਰ ਤੋਂ ਬਾਹਰ ਕੱਢ ਲਿਆਇਆ,
[IRV | PA | OT | Deuteronomy | Chapter 26 | Verse 9] ਅਤੇ ਸਾਨੂੰ ਇਸ ਸਥਾਨ ਵਿੱਚ ਪਹੁੰਚਾਇਆ ਅਤੇ ਸਾਨੂੰ ਇਹ ਦੇਸ਼ ਦਿੱਤਾ ਹੈ ਜਿਸ ਵਿੱਚ ਦੁੱਧ ਅਤੇ ਸ਼ਹਿਦ ਵਗਦਾ ਹੈ।
[IRV | PA | OT | Deuteronomy | Chapter 26 | Verse 10] ਹੁਣ ਵੇਖ, ਮੈਂ ਉਸ ਧਰਤੀ ਦਾ ਪਹਿਲਾ ਫਲ ਲਿਆਇਆ ਹਾਂ ਜਿਹੜੀ ਹੇ ਯਹੋਵਾਹ, ਤੂੰ ਮੈਨੂੰ ਦਿੱਤੀ ਹੈ।” ਤਦ ਤੂੰ ਉਹ ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਅੱਗੇ ਰੱਖੀਂ ਅਤੇ ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਨੂੰ ਮੱਥਾ ਟੇਕੀਂ।
[IRV | PA | OT | Deuteronomy | Chapter 26 | Verse 11] ਇਸ ਤਰ੍ਹਾਂ ਤੂੰ ਉਸ ਸਾਰੀ ਭਲਿਆਈ ਲਈ ਜਿਹੜੀ ਯਹੋਵਾਹ ਤੇਰੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਤੈਨੂੰ ਅਤੇ ਤੇਰੇ ਘਰਾਣੇ ਨੂੰ ਦਿੱਤੀ ਹੈ, ਲੇਵੀਆਂ ਅਤੇ ਆਪਣੇ ਵਿਚਕਾਰ ਰਹਿਣ ਵਾਲੇ ਪਰਦੇਸੀਆਂ ਸਮੇਤ ਅਨੰਦ ਕਰੀਂ।
[IRV | PA | OT | Deuteronomy | Chapter 26 | Verse 12] ਤੀਜੇ ਸਾਲ ਵਿੱਚ, ਜੋ ਦਸਵੰਧ ਦਾ ਸਾਲ ਹੈ, ਜਦ ਤੂੰ ਆਪਣੇ ਸਾਰੇ ਵਾਧੇ ਦਾ ਦਸਵੰਧ ਕੱਢ ਲਵੇਂ ਤਾਂ ਤੂੰ ਉਸ ਨੂੰ ਲੇਵੀ, ਪਰਦੇਸੀ, ਯਤੀਮ ਅਤੇ ਵਿਧਵਾ ਨੂੰ ਦੇਵੀਂ ਤਾਂ ਜੋ ਉਹ ਤੇਰੇ ਫਾਟਕਾਂ ਦੇ ਅੰਦਰ ਖਾ ਕੇ ਰੱਜ ਜਾਣ,
[IRV | PA | OT | Deuteronomy | Chapter 26 | Verse 13] ਫੇਰ ਤੂੰ ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਅੱਗੇ ਆਖੀਂ, “ਮੈਂ ਤੇਰੇ ਦਿੱਤੇ ਹੋਏ ਸਾਰੇ ਹੁਕਮਾਂ ਅਨੁਸਾਰ ਆਪਣੇ ਘਰ ਤੋਂ ਪਵਿੱਤਰ ਚੀਜ਼ਾਂ ਲੈ ਕੇ ਲੇਵੀ, ਪਰਦੇਸੀ, ਯਤੀਮ ਅਤੇ ਵਿਧਵਾ ਨੂੰ ਦਿੱਤੀਆਂ ਹਨ। ਮੈਂ ਤੇਰੇ ਕਿਸੇ ਵੀ ਹੁਕਮ ਦਾ ਉਲੰਘਣ ਨਹੀਂ ਕੀਤਾ, ਨਾ ਹੀ ਮੈਂ ਉਨ੍ਹਾਂ ਨੂੰ ਭੁੱਲਿਆ ਹਾਂ।
