[IRV | PA | OT | Deuteronomy | Chapter 34 | Verse 1] ਮੂਸਾ ਮੋਆਬ ਦੇ ਮੈਦਾਨ ਤੋਂ ਨਬੋ ਪਰਬਤ ਨੂੰ ਪਿਸਗਾਹ ਚੋਟੀ ਉੱਤੇ ਚੜ੍ਹ ਗਿਆ, ਜਿਹੜਾ ਯਰੀਹੋ ਦੇ ਅੱਗੇ ਹੈ ਅਤੇ ਯਹੋਵਾਹ ਨੇ ਉਸ ਨੂੰ ਦਾਨ ਤੱਕ ਗਿਲਆਦ ਦਾ ਸਾਰਾ ਦੇਸ਼ ਵਿਖਾਇਆ
[IRV | PA | OT | Deuteronomy | Chapter 34 | Verse 2] ਅਤੇ ਸਾਰਾ ਨਫ਼ਤਾਲੀ, ਇਫ਼ਰਾਈਮ ਅਤੇ ਮਨੱਸ਼ਹ ਦਾ ਦੇਸ਼ ਅਤੇ ਪੱਛਮ ਦੇ ਸਮੁੰਦਰ ਤੱਕ ਯਹੂਦਾਹ ਦਾ ਸਾਰਾ ਦੇਸ਼,
[IRV | PA | OT | Deuteronomy | Chapter 34 | Verse 3] ਅਤੇ ਦੱਖਣ ਦਾ ਦੇਸ਼ ਅਤੇ ਸੋਆਰ ਤੱਕ ਯਰੀਹੋ ਦੀ ਘਾਟੀ ਦਾ ਮੈਦਾਨ ਜਿਹੜਾ ਖਜ਼ੂਰ ਦੇ ਰੁੱਖਾਂ ਦਾ ਸ਼ਹਿਰ ਹੈ, ਵਿਖਾ ਦਿੱਤਾ।
[IRV | PA | OT | Deuteronomy | Chapter 34 | Verse 4] ਤਦ ਯਹੋਵਾਹ ਨੇ ਉਸ ਨੂੰ ਆਖਿਆ, “ਇਹ ਉਹ ਦੇਸ਼ ਹੈ ਜਿਸ ਦੀ ਸਹੁੰ ਮੈਂ ਅਬਰਾਹਾਮ, ਇਸਹਾਕ ਅਤੇ ਯਾਕੂਬ ਨਾਲ ਖਾਧੀ ਸੀ ਕਿ ਮੈਂ ਇਹ ਤੇਰੇ ਵੰਸ਼ ਨੂੰ ਦਿਆਂਗਾ। ਮੈਂ ਤੈਨੂੰ ਤੇਰੀਆਂ ਅੱਖਾਂ ਤੋਂ ਇਹ ਦੇਸ਼ ਵਿਖਾ ਦਿੱਤਾ ਹੈ ਪਰ ਤੂੰ ਪਾਰ ਲੰਘ ਕੇ ਉੱਥੇ ਨਹੀਂ ਜਾਵੇਂਗਾ।”
[IRV | PA | OT | Deuteronomy | Chapter 34 | Verse 5] ਇਸ ਲਈ ਯਹੋਵਾਹ ਦੇ ਬਚਨ ਅਨੁਸਾਰ ਯਹੋਵਾਹ ਦਾ ਦਾਸ ਮੂਸਾ ਉੱਥੇ ਮੋਆਬ ਦੇਸ਼ ਵਿੱਚ ਮਰ ਗਿਆ
[IRV | PA | OT | Deuteronomy | Chapter 34 | Verse 6] ਅਤੇ ਉਹ ਨੇ ਉਸ ਨੂੰ ਮੋਆਬ ਦੇਸ਼ ਵਿੱਚ ਬੈਤ ਪਓਰ ਦੇ ਸਾਹਮਣੇ ਇੱਕ ਘਾਟੀ ਵਿੱਚ ਦਫ਼ਨਾ ਦਿੱਤਾ, ਅਤੇ ਅੱਜ ਦੇ ਦਿਨ ਤੱਕ ਕੋਈ ਨਹੀਂ ਜਾਣਦਾ ਕਿ ਉਸ ਦੀ ਕਬਰ ਕਿੱਥੇ ਹੈ।
[IRV | PA | OT | Deuteronomy | Chapter 34 | Verse 7] ਮੂਸਾ ਇੱਕ ਸੌ ਵੀਹ ਸਾਲਾਂ ਦਾ ਸੀ ਜਦ ਉਸ ਦੀ ਮੌਤ ਹੋਈ ਪਰ ਨਾ ਉਸ ਦੀਆਂ ਅੱਖਾਂ ਧੁੰਦਲੀਆਂ ਹੋਈਆਂ ਅਤੇ ਨਾ ਹੀ ਉਸ ਦਾ ਬਲ ਘਟਿਆ ਸੀ।
[IRV | PA | OT | Deuteronomy | Chapter 34 | Verse 8] ਇਸਰਾਏਲੀ ਮੂਸਾ ਲਈ ਮੋਆਬ ਦੇ ਮੈਦਾਨ ਵਿੱਚ ਤੀਹ ਦਿਨ ਤੱਕ ਸੋਗ ਕਰਦੇ ਰਹੇ, ਇਸ ਤਰ੍ਹਾਂ ਮੂਸਾ ਦੇ ਸੋਗ ਅਤੇ ਵਿਰਲਾਪ ਕਰਨ ਦੇ ਦਿਨ ਪੂਰੇ ਹੋਏ।
[IRV | PA | OT | Deuteronomy | Chapter 34 | Verse 9] ਨੂਨ ਦੇ ਪੁੱਤਰ ਯਹੋਸ਼ੁਆ ਬੁੱਧੀ ਦੇ ਆਤਮਾ ਨਾਲ ਭਰਪੂਰ ਸੀ ਕਿਉਂ ਜੋ ਮੂਸਾ ਨੇ ਆਪਣੇ ਹੱਥ ਉਸ ਉੱਤੇ ਰੱਖੇ ਸਨ। ਇਸਰਾਏਲੀ ਉਸ ਦੀ ਸੁਣਦੇ ਸਨ ਅਤੇ ਉਸੇ ਤਰ੍ਹਾਂ ਹੀ ਕਰਦੇ ਸਨ ਜਿਵੇਂ ਯਹੋਵਾਹ ਨੇ ਮੂਸਾ ਨੂੰ ਹੁਕਮ ਦਿੱਤਾ ਸੀ।
[IRV | PA | OT | Deuteronomy | Chapter 34 | Verse 10] ਅਤੇ ਇਸਰਾਏਲ ਵਿੱਚ ਮੂਸਾ ਵਰਗਾ ਫੇਰ ਕੋਈ ਨਬੀ ਨਹੀਂ ਉੱਠਿਆ ਜਿਸ ਨੂੰ ਯਹੋਵਾਹ ਆਹਮੋ-ਸਾਹਮਣੇ ਜਾਣਦਾ ਸੀ
[IRV | PA | OT | Deuteronomy | Chapter 34 | Verse 11] ਅਤੇ ਉਸ ਨੂੰ ਯਹੋਵਾਹ ਨੇ ਫ਼ਿਰਊਨ ਅਤੇ ਉਸ ਦੇ ਸਾਰੇ ਕਰਮਚਾਰੀਆਂ ਦੇ ਸਾਹਮਣੇ ਅਤੇ ਉਸ ਦੇ ਸਾਰੇ ਦੇਸ਼ ਵਿੱਚ ਨਿਸ਼ਾਨ ਅਤੇ ਅਚਰਜ਼ ਕੰਮ ਵਿਖਾਲਣ ਲਈ ਭੇਜਿਆ ਸੀ
