[IRV | PA | OT | Deuteronomy | Chapter 18 | Verse 1] ਲੇਵੀ ਜਾਜਕਾਂ ਸਗੋਂ ਲੇਵੀ ਦੇ ਸਾਰੇ ਗੋਤ ਦਾ ਇਸਰਾਏਲ ਦੇ ਨਾਲ ਕੋਈ ਭਾਗ ਜਾਂ ਵਿਰਾਸਤ ਨਾ ਹੋਵੇਗੀ। ਉਹ ਯਹੋਵਾਹ ਨੂੰ ਚੜ੍ਹਾਈਆਂ ਗਈਆਂ ਅੱਗ ਦੀਆਂ ਭੇਟਾਂ ਅਤੇ ਉਸ ਦੇ ਭਾਗ ਵਿੱਚੋਂ ਖਾਣਗੇ।
[IRV | PA | OT | Deuteronomy | Chapter 18 | Verse 2] ਉਨ੍ਹਾਂ ਦਾ ਆਪਣੇ ਭਰਾਵਾਂ ਦੇ ਵਿਚਕਾਰ ਕੋਈ ਭਾਗ ਨਾ ਹੋਵੇਗਾ। ਯਹੋਵਾਹ ਹੀ ਉਨ੍ਹਾਂ ਦੀ ਵਿਰਾਸਤ ਹੈ, ਜਿਵੇਂ ਉਸ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਬਚਨ ਦਿੱਤਾ ਹੈ।
[IRV | PA | OT | Deuteronomy | Chapter 18 | Verse 3] ਪਰਜਾ ਵੱਲੋਂ ਜਿਹੜੇ ਬਲੀ ਚੜ੍ਹਾਉਂਦੇ ਹਨ, ਜਾਜਕਾਂ ਦਾ ਇਹ ਹੱਕ ਹੋਵੇਗਾ - ਭਾਵੇਂ ਉਹ ਬਲ਼ਦ ਚੜ੍ਹਾਉਣ ਭਾਵੇਂ ਲੇਲਾ, ਉਹ ਜਾਜਕ ਨੂੰ ਮੋਢਾ, ਦੋਵੇਂ ਗੱਲੀਆਂ ਅਤੇ ਢਿੱਡ ਦੇਣ।
[IRV | PA | OT | Deuteronomy | Chapter 18 | Verse 4] ਤੁਸੀਂ ਆਪਣੀ ਪਹਿਲੀ ਉਪਜ ਦਾ ਅੰਨ, ਨਵੀਂ ਮਧ ਅਤੇ ਤੇਲ ਅਤੇ ਆਪਣੇ ਇੱਜੜ ਦੀ ਪਹਿਲੀ ਕਤਰੀ ਹੋਈ ਉੱਨ, ਉਸ ਨੂੰ ਦਿਓ,
[IRV | PA | OT | Deuteronomy | Chapter 18 | Verse 5] ਕਿਉਂ ਜੋ ਯਹੋਵਾਹ ਤੁਹਾਡੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਉਸ ਨੂੰ ਤੁਹਾਡੇ ਸਾਰੇ ਗੋਤਾਂ ਵਿੱਚੋਂ ਚੁਣ ਲਿਆ ਹੈ ਕਿ ਉਹ ਅਤੇ ਉਹ ਦੇ ਪੁੱਤਰ ਯਹੋਵਾਹ ਦੇ ਨਾਮ ਦੀ ਉਪਾਸਨਾ ਕਰਨ ਲਈ ਸਦਾ ਖੜ੍ਹੇ ਰਿਹਾ ਕਰਨ।
[IRV | PA | OT | Deuteronomy | Chapter 18 | Verse 6] ਫੇਰ ਜੇਕਰ ਕੋਈ ਲੇਵੀ ਇਸਰਾਏਲ ਦੇ ਕਿਸੇ ਵੀ ਨਗਰ ਵਿੱਚੋਂ ਆਵੇ ਜਿੱਥੇ ਉਹ ਪਰਦੇਸੀ ਹੋ ਕੇ ਰਹਿੰਦਾ ਹੈ, ਅਤੇ ਆਪਣੇ ਦਿਲ ਦੀ ਸਾਰੀ ਇੱਛਿਆ ਨਾਲ ਉਸ ਸਥਾਨ ਨੂੰ ਜਾਵੇ ਜਿਹੜਾ ਯਹੋਵਾਹ ਚੁਣੇਗਾ,
[IRV | PA | OT | Deuteronomy | Chapter 18 | Verse 7] ਤਦ ਉਹ ਵੀ ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਨਾਮ ਵਿੱਚ ਟਹਿਲ ਸੇਵਾ ਕਰੇਗਾ, ਜਿਵੇਂ ਉਸ ਦੇ ਸਾਰੇ ਲੇਵੀ ਭਰਾ ਕਰਦੇ ਹਨ, ਜਿਹੜੇ ਉੱਥੇ ਯਹੋਵਾਹ ਦੇ ਅੱਗੇ ਖੜ੍ਹੇ ਰਹਿੰਦੇ ਹਨ।
[IRV | PA | OT | Deuteronomy | Chapter 18 | Verse 8] ਜੋ ਕੁਝ ਉਸ ਨੂੰ ਆਪਣੇ ਪੁਰਖਿਆਂ ਦੀ ਜਾਇਦਾਦ ਦੀ ਵਿੱਕਰੀ ਤੋਂ ਮਿਲੇ, ਉਸ ਨੂੰ ਛੱਡ ਉਹ ਸਾਰੇ ਭੋਜਨ ਵਿੱਚੋਂ ਇੱਕੋ ਜਿਹਾ ਹਿੱਸਾ ਖਾਣ।
[IRV | PA | OT | Deuteronomy | Chapter 18 | Verse 9] ਜਦ ਤੁਸੀਂ ਉਸ ਦੇਸ਼ ਵਿੱਚ ਪਹੁੰਚ ਜਾਓ ਜਿਹੜਾ ਯਹੋਵਾਹ ਤੁਹਾਡਾ ਪਰਮੇਸ਼ੁਰ ਤੁਹਾਨੂੰ ਦੇਣ ਵਾਲਾ ਹੈ, ਤਦ ਤੁਸੀਂ ਉੱਥੋਂ ਦੀਆਂ ਕੌਮਾਂ ਦੇ ਵਾਂਗੂੰ ਘਿਣਾਉਣੇ ਕੰਮ ਕਰਨੇ ਨਾ ਸਿੱਖਿਓ।
[IRV | PA | OT | Deuteronomy | Chapter 18 | Verse 10] ਤੁਹਾਡੇ ਵਿੱਚ ਅਜਿਹਾ ਕੋਈ ਨਾ ਪਾਇਆ ਜਾਵੇ ਜਿਹੜਾ ਆਪਣੇ ਪੁੱਤਰ ਜਾਂ ਧੀ ਨੂੰ ਅੱਗ ਦੇ ਵਿੱਚੋਂ ਦੀ ਲੰਘਾਵੇ, ਜਾਂ ਭਵਿੱਖ ਦੱਸਣ ਵਾਲਾ, ਜਾਂ ਮਹੂਰਤ ਵੇਖਣ ਵਾਲਾ, ਜਾਂ ਮੰਤਰ ਪੜ੍ਹਨ ਵਾਲਾ, ਜਾਂ ਜਾਦੂਗਰ,
[IRV | PA | OT | Deuteronomy | Chapter 18 | Verse 11] ਜਾਂ ਝਾੜਾ-ਫੂਕੀ ਕਰਨ ਵਾਲਾ, ਜਾਂ ਜਿੰਨ੍ਹ ਤੋਂ ਪੁੱਛਾਂ ਲੈਣ ਵਾਲਾ, ਜਾਂ ਭੂਤਾਂ ਨੂੰ ਕੱਢਣ ਵਾਲਾ, ਜਾਂ ਮਰਿਆਂ ਹੋਇਆਂ ਨੂੰ ਜਗਾਉਣ ਵਾਲਾ ਹੋਵੇ।
