[IRV | PA | OT | Deuteronomy | Chapter 6 | Verse 1] ਇਹ ਉਹ ਹੁਕਮਨਾਮੇ, ਬਿਧੀਆਂ ਅਤੇ ਕਨੂੰਨ ਹਨ, ਜਿਨ੍ਹਾਂ ਨੂੰ ਤੁਹਾਨੂੰ ਸਿਖਾਉਣ ਦਾ ਹੁਕਮ ਯਹੋਵਾਹ ਤੁਹਾਡੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਦਿੱਤਾ ਹੈ, ਤਾਂ ਜੋ ਤੁਸੀਂ ਇਨ੍ਹਾਂ ਨੂੰ ਉਸ ਧਰਤੀ ਵਿੱਚ ਪੂਰਾ ਕਰੋ, ਜਿਸ ਉੱਤੇ ਅਧਿਕਾਰ ਕਰਨ ਲਈ ਤੁਸੀਂ ਪਾਰ ਜਾਂਦੇ ਹੋ,
[IRV | PA | OT | Deuteronomy | Chapter 6 | Verse 2] ਤਾਂ ਜੋ ਤੁਸੀਂ ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਤੋਂ ਡਰੋ ਅਤੇ ਉਸ ਦੀਆਂ ਸਾਰੀਆਂ ਬਿਧੀਆਂ ਅਤੇ ਹੁਕਮਾਂ ਨੂੰ ਜਿਨ੍ਹਾਂ ਦਾ ਮੈਂ ਤੁਹਾਨੂੰ ਹੁਕਮ ਦਿੰਦਾ ਹਾਂ ਤੁਸੀਂ, ਤੁਹਾਡੇ ਪੁੱਤਰ ਅਤੇ ਤੁਹਾਡੇ ਪੋਤਰੇ ਜੀਵਨ ਭਰ ਮੰਨਣ, ਤਾਂ ਜੋ ਤੁਹਾਡੇ ਦਿਨ ਲੰਮੇ ਹੋਣ।
[IRV | PA | OT | Deuteronomy | Chapter 6 | Verse 3] ਹੇ ਇਸਰਾਏਲ, ਸੁਣੋ ਅਤੇ ਇਸੇ ਤਰ੍ਹਾਂ ਹੀ ਕਰਨ ਦਾ ਜਤਨ ਕਰੋ ਤਾਂ ਜੋ ਤੁਹਾਡਾ ਭਲਾ ਹੋਵੇ ਅਤੇ ਜਿਵੇਂ ਯਹੋਵਾਹ ਤੁਹਾਡੇ ਪੁਰਖਿਆਂ ਦੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਤੁਹਾਨੂੰ ਬਚਨ ਦਿੱਤਾ ਹੈ, ਤੁਸੀਂ ਉਸ ਦੇਸ਼ ਵਿੱਚ ਜਿੱਥੇ ਦੁੱਧ ਅਤੇ ਸ਼ਹਿਦ ਵਗਦਾ ਹੈ ਬਹੁਤ ਹੀ ਵੱਧ ਜਾਓ।
[IRV | PA | OT | Deuteronomy | Chapter 6 | Verse 4] ਹੇ ਇਸਰਾਏਲ, ਸੁਣ! ਯਹੋਵਾਹ ਸਾਡਾ ਪਰਮੇਸ਼ੁਰ ਇੱਕੋ ਹੀ ਯਹੋਵਾਹ ਹੈ।
[IRV | PA | OT | Deuteronomy | Chapter 6 | Verse 5] ਤੁਸੀਂ ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਨੂੰ ਆਪਣੇ ਸਾਰੇ ਦਿਲ, ਆਪਣੀ ਸਾਰੀ ਜਾਨ ਅਤੇ ਆਪਣੀ ਸਾਰੀ ਸ਼ਕਤੀ ਨਾਲ ਪਿਆਰ ਕਰੋ
[IRV | PA | OT | Deuteronomy | Chapter 6 | Verse 6] ਅਤੇ ਇਹ ਗੱਲਾਂ, ਜਿਨ੍ਹਾਂ ਦਾ ਹੁਕਮ ਮੈਂ ਅੱਜ ਤੁਹਾਨੂੰ ਦਿੰਦਾ ਹਾਂ, ਤੁਹਾਡੇ ਦਿਲ ਵਿੱਚ ਬਣੀਆਂ ਰਹਿਣ।
[IRV | PA | OT | Deuteronomy | Chapter 6 | Verse 7] ਤੁਸੀਂ ਇਹਨਾਂ ਨੂੰ ਆਪਣੇ ਬੱਚਿਆਂ ਨੂੰ ਸਿਖਾਇਓ। ਤੁਸੀਂ ਆਪਣੇ ਘਰ ਵਿੱਚ ਬੈਠਦਿਆਂ, ਰਾਹ ਵਿੱਚ ਤੁਰਦਿਆਂ, ਲੇਟਦਿਆਂ ਅਤੇ ਉੱਠਦਿਆਂ ਇਹਨਾਂ ਗੱਲਾਂ ਦੀ ਚਰਚਾ ਕਰਦੇ ਰਹਿਣਾ।
[IRV | PA | OT | Deuteronomy | Chapter 6 | Verse 8] ਤੁਸੀਂ ਉਹਨਾਂ ਨੂੰ ਨਿਸ਼ਾਨੀਆਂ ਲਈ ਆਪਣੇ ਹੱਥ ਉੱਤੇ ਬੰਨ੍ਹਣਾ ਅਤੇ ਉਹ ਤੁਹਾਡੀਆਂ ਅੱਖਾਂ ਦੇ ਵਿਚਕਾਰ ਟਿੱਕੇ ਵਾਂਗੂੰ ਹੋਣ।
[IRV | PA | OT | Deuteronomy | Chapter 6 | Verse 9] ਤੁਸੀਂ ਉਹਨਾਂ ਨੂੰ ਆਪਣੇ ਘਰਾਂ ਦੀਆਂ ਚੁਗਾਠਾਂ ਉੱਤੇ ਅਤੇ ਆਪਣੇ ਫਾਟਕਾਂ ਉੱਤੇ ਲਿਖਿਓ।
[IRV | PA | OT | Deuteronomy | Chapter 6 | Verse 10] ਜਦ ਯਹੋਵਾਹ ਤੁਹਾਡਾ ਪਰਮੇਸ਼ੁਰ ਤੁਹਾਨੂੰ ਉਸ ਦੇਸ਼ ਵਿੱਚ ਪਹੁੰਚਾਵੇ, ਜਿਸ ਨੂੰ ਤੁਹਾਨੂੰ ਦੇਣ ਦੀ ਉਸਨੇ ਤੁਹਾਡੇ ਪੁਰਖਿਆਂ ਨਾਲ ਅਰਥਾਤ ਅਬਰਾਹਾਮ, ਇਸਹਾਕ ਅਤੇ ਯਾਕੂਬ ਨਾਲ ਸਹੁੰ ਖਾਧੀ ਸੀ ਅਤੇ ਜਦ ਉਹ ਤੈਨੂੰ ਵੱਡੇ ਅਤੇ ਚੰਗੇ ਸ਼ਹਿਰ ਜਿਹੜੇ ਤੁਸੀਂ ਨਹੀਂ ਬਣਾਏ
[IRV | PA | OT | Deuteronomy | Chapter 6 | Verse 11] ਅਤੇ ਚੰਗੀਆਂ ਚੀਜ਼ਾਂ ਨਾਲ ਭਰੇ ਹੋਏ ਘਰ, ਜਿਹੜੇ ਤੁਸੀਂ ਨਹੀਂ ਭਰੇ ਅਤੇ ਪੁੱਟੇ ਹੋਏ ਹੌਦ ਜਿਹੜੇ ਤੁਸੀਂ ਨਹੀਂ ਪੁੱਟੇ, ਅੰਗੂਰੀ ਬਾਗ਼ ਅਤੇ ਜ਼ੈਤੂਨ ਦੇ ਰੁੱਖ ਜਿਹੜੇ ਤੁਸੀਂ ਨਹੀਂ ਲਾਏ ਦੇਵੇਗਾ, ਜਿਨ੍ਹਾਂ ਤੋਂ ਤੁਸੀਂ ਖਾਓਗੇ ਅਤੇ ਰੱਜ ਜਾਓਗੇ,
[IRV | PA | OT | Deuteronomy | Chapter 6 | Verse 12] ਤਦ ਤੁਸੀਂ ਚੌਕਸ ਰਹਿਓ, ਕਿਤੇ ਅਜਿਹਾ ਨਾ ਹੋਵੇ ਕਿ ਤੁਸੀਂ ਯਹੋਵਾਹ ਨੂੰ ਭੁੱਲ ਜਾਓ, ਜਿਹੜਾ ਤੁਹਾਨੂੰ ਮਿਸਰ ਦੇਸ਼ ਤੋਂ ਅਰਥਾਤ ਗੁਲਾਮੀ ਦੇ ਘਰ ਤੋਂ ਕੱਢ ਲਿਆਇਆ ਹੈ।
[IRV | PA | OT | Deuteronomy | Chapter 6 | Verse 13] ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਤੋਂ ਡਰੋ, ਉਸੇ ਦੀ ਸੇਵਾ ਕਰੋ ਅਤੇ ਉਸ ਦੇ ਨਾਮ ਦੀ ਸਹੁੰ ਖਾਓ।
[IRV | PA | OT | Deuteronomy | Chapter 6 | Verse 14] ਤੁਸੀਂ ਦੂਜੇ ਦੇਵਤਿਆਂ ਦੇ ਪਿੱਛੇ ਨਾ ਜਾਇਓ ਅਰਥਾਤ ਉਨ੍ਹਾਂ ਲੋਕਾਂ ਦੇ ਦੇਵਤਿਆਂ ਦੇ ਪਿੱਛੇ ਜਿਹੜੇ ਤੁਹਾਡੇ ਆਲੇ-ਦੁਆਲੇ ਹਨ,
[IRV | PA | OT | Deuteronomy | Chapter 6 | Verse 15] ਕਿਉਂ ਜੋ ਯਹੋਵਾਹ ਤੁਹਾਡਾ ਪਰਮੇਸ਼ੁਰ, ਜੋ ਤੁਹਾਡੇ ਵਿਚਕਾਰ ਹੈ, ਇੱਕ ਅਣਖ ਵਾਲਾ ਪਰਮੇਸ਼ੁਰ ਹੈ, ਅਜਿਹਾ ਨਾ ਹੋਵੇ ਕਿ ਯਹੋਵਾਹ ਤੁਹਾਡੇ ਪਰਮੇਸ਼ੁਰ ਦਾ ਕ੍ਰੋਧ ਤੁਹਾਡੇ ਉੱਤੇ ਭੜਕੇ ਅਤੇ ਉਹ ਤੁਹਾਨੂੰ ਧਰਤੀ ਉੱਤੋਂ ਮਿਟਾ ਦੇਵੇ।
[IRV | PA | OT | Deuteronomy | Chapter 6 | Verse 16] ਤੁਸੀਂ ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੀ ਪ੍ਰੀਖਿਆ ਨਾ ਲੈਣਾ, ਜਿਵੇਂ ਤੁਸੀਂ ਮੱਸਾਹ ਵਿੱਚ ਕੀਤਾ ਸੀ।
