[IRV | PA | OT | Deuteronomy | Chapter 31 | Verse 1] ਮੂਸਾ ਨੇ ਜਾ ਕੇ ਸਾਰੇ ਇਸਰਾਏਲ ਨਾਲ ਇਹ ਗੱਲਾਂ ਕੀਤੀਆਂ
[IRV | PA | OT | Deuteronomy | Chapter 31 | Verse 2] ਅਤੇ ਉਸ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਆਖਿਆ, “ਅੱਜ ਮੈਂ ਇੱਕ ਸੌ ਵੀਹ ਸਾਲਾਂ ਦਾ ਹਾਂ। ਮੈਂ ਹੁਣ ਹੋਰ ਅੰਦਰ ਬਾਹਰ ਆ ਜਾ ਨਹੀਂ ਸਕਦਾ ਅਤੇ ਯਹੋਵਾਹ ਨੇ ਮੈਨੂੰ ਆਖਿਆ ਹੈ ਕਿ ਤੂੰ ਇਸ ਯਰਦਨ ਤੋਂ ਪਾਰ ਨਹੀਂ ਜਾਵੇਂਗਾ।
[IRV | PA | OT | Deuteronomy | Chapter 31 | Verse 3] ਯਹੋਵਾਹ ਤੁਹਾਡਾ ਪਰਮੇਸ਼ੁਰ ਤੁਹਾਡੇ ਅੱਗੇ-ਅੱਗੇ ਜਾਵੇਗਾ ਅਤੇ ਇਨ੍ਹਾਂ ਕੌਮਾਂ ਨੂੰ ਤੁਹਾਡੇ ਅੱਗਿਓਂ ਮਿਟਾ ਦੇਵੇਗਾ, ਅਤੇ ਤੁਸੀਂ ਉਹਨਾਂ ਉੱਤੇ ਅਧਿਕਾਰ ਕਰੋਗੇ। ਯਹੋਸ਼ੁਆ ਤੁਹਾਡੇ ਅੱਗੇ-ਅੱਗੇ ਪਾਰ ਜਾਵੇਗਾ ਜਿਵੇਂ ਯਹੋਵਾਹ ਨੇ ਆਖਿਆ ਹੈ।
[IRV | PA | OT | Deuteronomy | Chapter 31 | Verse 4] ਯਹੋਵਾਹ ਉਹਨਾਂ ਨਾਲ ਉਸੇ ਤਰ੍ਹਾਂ ਹੀ ਕਰੇਗਾ ਜਿਵੇਂ ਉਸ ਨੇ ਅਮੋਰੀਆਂ ਦੇ ਰਾਜਿਆਂ ਸੀਹੋਨ ਅਤੇ ਓਗ ਨਾਲ ਅਤੇ ਉਹਨਾਂ ਦੇ ਦੇਸ਼ ਨਾਲ ਕੀਤਾ ਸੀ, ਜਿਨ੍ਹਾਂ ਨੂੰ ਉਸ ਨੇ ਮਿਟਾ ਦਿੱਤਾ।
[IRV | PA | OT | Deuteronomy | Chapter 31 | Verse 5] ਜਦ ਯਹੋਵਾਹ ਉਹਨਾਂ ਨੂੰ ਤੁਹਾਡੇ ਅੱਗੇ ਹਰਾ ਦੇਵੇਗਾ ਤਦ ਤੁਸੀਂ ਉਹਨਾਂ ਨਾਲ ਉਸ ਸਾਰੇ ਹੁਕਮ ਦੇ ਅਨੁਸਾਰ ਕਰਿਓ, ਜਿਹੜਾ ਮੈਂ ਤੁਹਾਨੂੰ ਦਿੱਤਾ ਸੀ।
[IRV | PA | OT | Deuteronomy | Chapter 31 | Verse 6] ਤਕੜੇ ਹੋਵੋ, ਹੌਂਸਲਾ ਰੱਖੋ, ਉਹਨਾਂ ਤੋਂ ਨਾ ਡਰੋ ਅਤੇ ਨਾ ਕੰਬੋ ਕਿਉਂ ਜੋ ਯਹੋਵਾਹ ਤੁਹਾਡਾ ਪਰਮੇਸ਼ੁਰ ਤੁਹਾਡੇ ਨਾਲ-ਨਾਲ ਜਾਂਦਾ ਹੈ! ਉਹ ਨਾ ਤਾਂ ਤੁਹਾਨੂੰ ਛੱਡੇਗਾ ਅਤੇ ਨਾ ਤੁਹਾਨੂੰ ਤਿਆਗੇਗਾ।”
[IRV | PA | OT | Deuteronomy | Chapter 31 | Verse 7] ਤਦ ਮੂਸਾ ਨੇ ਸਾਰੇ ਇਸਰਾਏਲ ਦੇ ਵੇਖਦਿਆਂ ਯਹੋਸ਼ੁਆ ਨੂੰ ਸੱਦ ਕੇ ਆਖਿਆ, “ਤਕੜਾ ਹੋ ਅਤੇ ਹੌਂਸਲਾ ਰੱਖ, ਕਿਉਂ ਜੋ ਤੂੰ ਇਸ ਪਰਜਾ ਨਾਲ ਉਸ ਦੇਸ਼ ਵਿੱਚ ਜਾਵੇਂਗਾ, ਜਿਸ ਨੂੰ ਦੇਣ ਦੀ ਯਹੋਵਾਹ ਨੇ ਉਨ੍ਹਾਂ ਦੇ ਪੁਰਖਿਆਂ ਨਾਲ ਸਹੁੰ ਖਾਧੀ ਸੀ ਅਤੇ ਤੂੰ ਇਨ੍ਹਾਂ ਨੂੰ ਉਸ ਦੇਸ਼ ਦਾ ਅਧਿਕਾਰੀ ਬਣਾਵੇਂਗਾ।
[IRV | PA | OT | Deuteronomy | Chapter 31 | Verse 8] ਯਹੋਵਾਹ ਆਪ ਤੇਰੇ ਅੱਗੇ-ਅੱਗੇ ਜਾਵੇਗਾ। ਉਹ ਤੇਰੇ ਨਾਲ ਹੋਵੇਗਾ, ਉਹ ਨਾ ਤਾਂ ਤੈਨੂੰ ਛੱਡੇਗਾ ਅਤੇ ਨਾ ਤਿਆਗੇਗਾ। ਇਸ ਲਈ ਨਾ ਡਰ ਅਤੇ ਨਾ ਘਬਰਾ!”
[IRV | PA | OT | Deuteronomy | Chapter 31 | Verse 9] ਤਦ ਮੂਸਾ ਨੇ ਇਸ ਬਿਵਸਥਾ ਨੂੰ ਲਿਖ ਕੇ ਲੇਵੀ ਜਾਜਕਾਂ ਨੂੰ ਜਿਹੜੇ ਯਹੋਵਾਹ ਦੇ ਨੇਮ ਦਾ ਸੰਦੂਕ ਚੁੱਕਦੇ ਸਨ, ਅਤੇ ਇਸਰਾਏਲ ਦੇ ਸਾਰੇ ਬਜ਼ੁਰਗਾਂ ਨੂੰ ਸੌਂਪ ਦਿੱਤੀ।
[IRV | PA | OT | Deuteronomy | Chapter 31 | Verse 10] ਤਦ ਮੂਸਾ ਨੇ ਇਹ ਆਖ ਕੇ ਉਨ੍ਹਾਂ ਨੂੰ ਹੁਕਮ ਦਿੱਤਾ, “ਸੱਤ-ਸੱਤ ਸਾਲਾਂ ਦੇ ਅੰਤ ਵਿੱਚ ਅਰਥਾਤ ਛੁਟਕਾਰੇ ਦੇ ਠਹਿਰਾਏ ਹੋਏ ਸਮੇਂ ਉੱਤੇ ਡੇਰਿਆਂ ਦੇ ਪਰਬ ਵਿੱਚ,
[IRV | PA | OT | Deuteronomy | Chapter 31 | Verse 11] ਜਦ ਸਾਰਾ ਇਸਰਾਏਲ ਆ ਕੇ, ਯਹੋਵਾਹ ਤੁਹਾਡੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਸਨਮੁਖ ਉਸ ਸਥਾਨ ਉੱਤੇ ਹਾਜ਼ਰ ਹੋਵੇ ਜਿਹੜਾ ਉਹ ਚੁਣੇਗਾ, ਤਦ ਤੁਸੀਂ ਸਾਰੇ ਇਸਰਾਏਲ ਦੇ ਸੁਣਦਿਆਂ ਉਨ੍ਹਾਂ ਦੇ ਅੱਗੇ ਇਸ ਬਿਵਸਥਾ ਨੂੰ ਪੜ੍ਹ ਦੇ ਸੁਣਾਇਓ।
